Cell,clusters
RU1195A_164698952747238,22
RU1195A_164822387379510,15
RU1195A_205861497519011,18
RU1195A_226884396104038,12
RU1195A_131235501194477,4
RU1195A_157491698030899,12
RU1195A_125238538099051,12
RU1195A_169012844481900,22
RU1195A_126889101285788,14
RU1195A_156049540791198,22
RU1195A_161952140512604,6
RU1195A_231358946797414,14
RU1195A_121735006337388,22
RU1195A_230738055776108,14
RU1195A_121955392342948,12
RU1195A_125033675441894,14
RU1195A_156515966564270,12
RU1195A_195548207237932,12
RU1195A_156051944717236,0
RU1195A_126888208362845,7
RU1195A_191139710688494,4
RU1195A_201106048047918,14
RU1195A_129663543924518,12
RU1195A_130676055205748,12
RU1195A_205913459412325,8
RU1195A_125247350520118,12
RU1195A_200907387235115,20
RU1195A_196114203401061,12
RU1195A_200992200772907,12
RU1195A_121733825907117,1
RU1195A_155914221836149,4
RU1195A_134402925092076,12
RU1195A_165191500615075,12
RU1195A_131165964155315,14
RU1195A_130213165514155,22
RU1195A_230731524979124,12
RU1195A_135132245347630,12
RU1195A_122487995521460,6
RU1195A_227501959499124,12
