Cell,clusters
RU1215_192110488599350,9
RU1215_134396885264734,9
RU1215_236167967390627,9
RU1215_126700256909158,9
RU1215_191227457912238,9
RU1215_165371920926949,9
RU1215_197074384468331,9
RU1215_192868120639403,15
RU1215_169081813809523,9
RU1215_165926910676268,15
RU1215_236845392416053,15
RU1215_134385041794869,9
RU1215_240633674881885,9
RU1215_196592931551669,15
RU1215_231161155672372,15
RU1215_126913556699555,9
RU1215_169245935057260,9
RU1215_191622876120812,15
RU1215_126836636870492,9
RU1215_130134903830900,9
RU1215_170113814416091,9
RU1215_122506907905324,9
RU1215_160218181974749,9
RU1215_135503625796013,9
RU1215_231684156640102,15
RU1215_161529235884766,15
RU1215_121886418524445,9
RU1215_170181056706798,9
RU1215_200994199096540,15
RU1215_126767500842843,15
RU1215_134405294319973,15
RU1215_192739567164131,9
RU1215_170328400522652,9
RU1215_157604606302117,9
RU1215_200967489804533,9
RU1215_165190305467318,9
RU1215_164693538170652,9
RU1215_195402151901595,9
RU1215_204840369573163,9
RU1215_135501343287597,9
RU1215_200493076498790,9
RU1215_160243548838324,9
RU1215_165260085651363,9
RU1215_129508106455971,9
RU1215_157632255637403,9
RU1215_170120946793181,9
RU1215_241184490081196,9
RU1215_200975959607534,9
RU1215_235619313109925,9
RU1215_192247812246379,9
RU1215_199944362650021,9
RU1215_240489958651813,15
RU1215_130204830717677,9
RU1215_191141961485147,9
RU1215_191215678642397,9
RU1215_204292734203627,9
RU1215_201532546660588,9
RU1215_126889147357606,15
RU1215_125813226654428,9
RU1215_134448003045603,9
RU1215_169640025839924,15
RU1215_170677515504949,15
RU1215_191714009726364,9
RU1215_239997917017836,9
RU1215_170120946038700,13
RU1215_122369615711006,9
RU1215_227516830148957,15
RU1215_235559336720621,9
RU1215_125798180343020,9
RU1215_156034527258924,9
RU1215_230600482085157,15
RU1215_130134935264478,9
RU1215_156034481379171,9
RU1215_165800190270243,9
RU1215_200914891369716,9
RU1215_155911449373043,9
RU1215_192188591331635,15
RU1215_196654134050021,9
RU1215_162080078117598,15
RU1215_226952088079796,15
RU1215_122307625539822,9
RU1215_226213488146844,9
RU1215_192110508304677,9
RU1215_191139665332588,9
RU1215_133896502359963,15
RU1215_196524392500580,9
RU1215_165180776009116,9
RU1215_239396857965867,9
RU1215_135562681571126,9
RU1215_169707644016949,9
RU1215_191088273778926,15
RU1215_121408871910259,15
RU1215_204968385996723,9
RU1215_192318660295413,15
RU1215_201446646769515,15
RU1215_197264034158317,9
RU1215_125102556830134,9
RU1215_230816721550565,9
RU1215_191097655184243,15
RU1215_133967208136030,9
RU1215_232250198157597,9
RU1215_227517816064286,9
RU1215_191208130828707,9
RU1215_130751365240620,9
RU1215_195536637353261,9
RU1215_197075221530854,9
RU1215_241054862458077,9
