Cell,clusters
RU1124A_LN_169081814308645,12
RU1124A_LN_134583266982645,12
RU1124A_LN_122369634426077,12
RU1124A_LN_156600492538277,12
RU1124A_LN_165729296602997,12
RU1124A_LN_130132653501228,12
RU1124A_LN_227501958716317,12
RU1124A_LN_156994689223518,12
RU1124A_LN_239517117831916,12
RU1124A_LN_231289973763483,4
RU1124A_LN_196569604668830,12
RU1124A_LN_192197434395995,12
RU1124A_LN_160370412706611,6
RU1124A_LN_240482289306973,12
RU1124A_LN_228058981911908,12
RU1124A_LN_135080723832219,12
RU1124A_LN_170113786927846,12
RU1124A_LN_241030005380901,4
RU1124A_LN_204746121234868,12
RU1124A_LN_135143760284013,12
RU1124A_LN_227920840181998,12
RU1124A_LN_170251106602229,12
RU1124A_LN_200923748915619,12
RU1124A_LN_170120927665572,12
RU1124A_LN_157606869161819,12
RU1124A_LN_200905106049956,12
RU1124A_LN_204959688637853,12
RU1124A_LN_235128497556195,12
RU1124A_LN_204342172018974,12
RU1124A_LN_169082591563125,12
RU1124A_LN_227303201064822,12
RU1124A_LN_196653210070246,12
RU1124A_LN_161394762337587,12
RU1124A_LN_192788825331547,12
RU1124A_LN_228052642248547,12
RU1124A_LN_129515622676324,12
RU1124A_LN_191020345707443,12
RU1124A_LN_165800190045604,12
RU1124A_LN_122487982382324,12
RU1124A_LN_170139154300196,7
RU1124A_LN_231754888833963,12
RU1124A_LN_156572842866550,12
RU1124A_LN_165851851601758,12
RU1124A_LN_161943462794989,12
RU1124A_LN_195622430272347,12
RU1124A_LN_155843772504364,12
RU1124A_LN_121889806006179,12
RU1124A_LN_200511195134310,12
RU1124A_LN_241097665042869,12
RU1124A_LN_135135304509286,12
RU1124A_LN_160370412603805,12
RU1124A_LN_131081017092019,7
RU1124A_LN_239589224041179,12
RU1124A_LN_165875774043878,12
RU1124A_LN_192788844112803,12
RU1124A_LN_197075222027635,12
RU1124A_LN_195488065210614,12
RU1124A_LN_191713996852523,12
RU1124A_LN_226952056367029,11
RU1124A_LN_199944362972957,12
RU1124A_LN_164822414645084,12
RU1124A_LN_160243549686644,12
RU1124A_LN_170181076380404,12
RU1124A_LN_125257147866412,12
RU1124A_LN_170251091077998,12
RU1124A_LN_240617734650741,4
RU1124A_LN_135562654242542,12
RU1124A_LN_200923780369316,12
RU1124A_LN_121405261400996,12
RU1124A_LN_239543692704181,12
RU1124A_LN_126913556639011,12
RU1124A_LN_131227032869667,7
RU1124A_LN_122291500797157,12
RU1124A_LN_160438211496803,12
RU1124A_LN_169707658922787,12
RU1124A_LN_197185785476963,12
RU1124A_LN_165782058055542,12
RU1124A_LN_227920871123828,12
RU1124A_LN_195975959137013,4
RU1124A_LN_204970292100021,12
RU1124A_LN_121416388340076,12
RU1124A_LN_197057055767924,12
RU1124A_LN_157469180848028,12
RU1124A_LN_232321046965046,12
RU1124A_LN_126682823510947,12
RU1124A_LN_156031709013814,12
RU1124A_LN_239543724463987,12
RU1124A_LN_191621955505437,12
RU1124A_LN_134462229572381,4
RU1124A_LN_130003804575515,12
RU1124A_LN_235678522268596,12
RU1124A_LN_234992266800428,12
RU1124A_LN_235122024143717,12
RU1124A_LN_170755630225124,12
RU1124A_LN_235067428784886,12
RU1124A_LN_196095835031283,12
RU1124A_LN_131234281404843,4
RU1124A_LN_160364237896949,14
RU1124A_LN_169019658062245,14
RU1124A_LN_126150260177822,12
RU1124A_LN_129661683521949,7
RU1124A_LN_231906435582827,7
RU1124A_LN_200502425049003,12
RU1124A_LN_191097654429558,12
RU1124A_LN_240018586822430,14
RU1124A_LN_165739006212853,12
RU1124A_LN_134463456696667,12
RU1124A_LN_166479170291443,12
RU1124A_LN_227501946559724,12
RU1124A_LN_133924285699878,12
RU1124A_LN_122444884359014,12
RU1124A_LN_131149871077787,12
RU1124A_LN_204198512842653,12
RU1124A_LN_197051867679140,12
RU1124A_LN_197120286996406,5
RU1124A_LN_231357469805875,4
RU1124A_LN_240489959143718,12
RU1124A_LN_131302226770653,12
RU1124A_LN_121748858300150,12
RU1124A_LN_134590783678254,12
RU1124A_LN_133921888425763,12
RU1124A_LN_169019644204917,12
RU1124A_LN_129998569782171,12
RU1124A_LN_135071999679412,4
RU1124A_LN_228049586174750,12
RU1124A_LN_131095887530782,12
RU1124A_LN_166402801126765,7
RU1124A_LN_160904061831004,12
RU1124A_LN_121339884194548,12
RU1124A_LN_231358960876902,7
RU1124A_LN_166428482128612,22
RU1124A_LN_131234266503020,12
RU1124A_LN_239517103245100,12
