Cell,clusters
RU779D_134946238130460,15
RU779D_241054849649590,15
RU779D_195536665037549,2
RU779D_192729635019110,15
RU779D_125127924279013,15
RU779D_197057102408414,15
RU779D_170677547232043,15
RU779D_135562668657004,22
RU779D_165191500294965,15
RU779D_200015261395294,15
RU779D_165180748249964,15
RU779D_201119826630958,15
RU779D_235000944805747,15
RU779D_231821373003678,2
RU779D_239939129399659,15
RU779D_199937952016693,1
RU779D_161952140573987,15
RU779D_156033721743787,15
RU779D_200967503961444,15
RU779D_227862602464564,15
RU779D_156049514057012,15
RU779D_170678333685091,1
RU779D_165808933100326,0
RU779D_227373263473076,22
RU779D_125049781730141,15
RU779D_125236612545965,15
RU779D_192171277203246,15
RU779D_122350441511259,15
RU779D_120726943353571,15
RU779D_126150260767475,0
RU779D_196653222386931,15
RU779D_161409782142875,15
RU779D_129998538328795,4
RU779D_192197449071349,15
RU779D_241055686643099,15
RU779D_157062500636915,15
RU779D_134394584360694,15
RU779D_125720885382004,22
RU779D_121405248261539,15
RU779D_160218209250077,15
RU779D_165260071491316,15
RU779D_230748972865459,15
RU779D_161394735134940,6
RU779D_226410741578139,4
RU779D_169589800392412,15
RU779D_241046930769837,6
RU779D_236107972335525,15
RU779D_205932383857061,15
RU779D_232319570532213,15
RU779D_230746940988643,15
RU779D_134602621635382,15
RU779D_191621909079861,15
RU779D_157604606593891,15
RU779D_129447708970275,15
RU779D_204342126143899,15
RU779D_232236059581278,15
RU779D_130143793605405,15
RU779D_134592153210078,15
RU779D_235197332834731,15
RU779D_227516844980574,15
RU779D_161317559123371,15
RU779D_157004353457398,2
RU779D_192815687687459,15
RU779D_197057070349534,15
RU779D_161409008266652,15
RU779D_170797774788829,15
RU779D_196707177676070,15
RU779D_134396865531102,15
RU779D_156034527508331,15
RU779D_130213184387830,15
RU779D_129997362354077,15
RU779D_130599819568860,22
RU779D_227983014640420,2
RU779D_130615971526949,15
RU779D_160783822179243,15
RU779D_121184472710556,15
RU779D_121254265710373,13
RU779D_121751140223835,15
RU779D_191096715691885,13
RU779D_121390228688158,22
RU779D_192745088957147,22
RU779D_157673057601435,15
RU779D_192883152841588,15
RU779D_196115518937830,15
RU779D_165714264279910,15
RU779D_125606142040875,15
RU779D_239939110198502,2
RU779D_170678320805798,15
RU779D_230663188856118,15
RU779D_157604587425077,15
RU779D_231366194060134,15
RU779D_135573405817766,22
RU779D_236230124981099,15
RU779D_192739540589299,12
RU779D_129663562333603,15
RU779D_196569604445925,2
RU779D_231900112906980,15
RU779D_164710495696629,12
RU779D_226760915347300,1
RU779D_196499933453619,15
RU779D_200493029545715,15
RU779D_197137720883931,22
RU779D_200570500934884,15
RU779D_130693115525853,15
