Cell,ELF5,ZBTB18,MECOM,TEAD4,GLIS3,SIX1,EBF3,CD44,RORA,KMT2A,ETS1,NFKB1,SP110,ZBTB7A,CUX2,PRDM16,NEUROG2,SOX9,FOS,GATA6,NFATC2,TCF7L2,PROX1,STAT4,FOXP1,STAT1,RUNX2,MEIS2,GRHL2,FOSB,ARID5B,CREB1,REL,NFE2L2,PPARG,JUN,ICAM1,RARB,NFIB,REST,SIX4,ZBTB20,NCAM1,TCF4,CUX1,PLAGL1,RARG,SOX6,ZEB1,BBX,EHF,JUND,FOXO3,BCL6,BACH1,CD24,JUNB,RUNX1,PBX1,NPAS2,SMAD3,NR3C2,LMX1B,AHR,EPCAM,NR2F2,TBX15,TCF7L1,ESR1,TEAD1,SP100,RORB,TCF12,SOX5,EPAS1,BACH2,PKNOX2,HSF2,EGR1,LCOR,NFIA,STAT2,HIF1A,NFIX,THRB,ASCL1
RU1080C_170740629326260,0.00013504841,0.075708754,0.0037096648,0.0023929991,0.00069566286,0.6753052,0.13010462,0.01867608,0.014385481,0.22013213,0.19461934,0.029608093,0.0015324536,0.097312406,0.00062224915,0.010911565,0.0026570552,0.07643879,0.7424644,0.003003607,0.013916505,0.02902758,0.20280097,0.0005075933,0.25756225,0.04963109,0.0009130537,0.05015979,0.039709277,0.041191578,0.015907872,0.08535642,0.01659231,0.2947429,0.001939395,1.6277798,0.00070800754,0.00065022695,0.4919224,0.0055475705,0.043041732,0.119250044,0.096387304,0.35918722,0.06947919,0.00060421554,5.968537e-05,0.018534863,0.017313154,0.08363619,0.15582936,2.146001,0.1039187,0.0092039965,0.028056948,1.8612093,0.34410745,0.027659412,0.12988797,0.0011857396,0.0020950148,7.359777e-05,5.5362034e-06,0.0027309938,0.7658733,0.1128173,0.0016294271,0.0016821098,1.3050859e-05,0.12345327,0.0052035223,0.0007151338,0.15178072,0.0008573845,0.030382121,0.0003881225,1.568757e-05,0.10068972,0.11270728,0.06935884,0.09369963,0.014137329,0.21156347,0.016041834,0.0009536944,2.1045074
RU1080C_126681628727134,0.0011795913,0.36013788,0.07494435,0.0059564672,0.0013529242,2.026961,0.6321669,0.012849497,0.11334626,2.3194466,0.897456,0.11267801,0.0017266149,0.44257042,6.2711966e-05,0.099416755,0.0062534767,0.3674814,2.4620328,0.0015546787,0.2898973,0.11102197,1.5245676,0.0032022777,1.057299,0.25658065,0.0004916046,0.07597489,0.08926883,0.3334447,0.08402613,0.561853,0.2303227,0.850323,0.005180024,3.8152168,0.006496308,0.0011495553,2.3235466,0.0056916103,0.3000431,0.88388586,1.3547367,1.8665274,0.66493076,0.00078832265,0.0025353914,0.50743383,0.22983618,0.52746063,0.7799679,3.982028,0.51198745,0.26830992,0.3372364,3.0142975,1.434475,0.1434825,0.53921014,0.0018075493,0.011639078,3.174014e-05,3.7878447e-06,0.00069915765,2.6523979,0.8383425,0.008765361,0.011872185,0.0018421819,0.64279443,0.0068762577,0.00052885624,0.4504792,0.009325075,0.4289092,0.00095386256,0.0019593146,0.34046322,0.61938256,0.3628948,0.31172642,0.16614383,0.73695827,0.028144006,0.00016123154,4.144919
RU1080C_133846975789853,0.003622909,0.40760973,0.074099705,0.00447182,0.004767152,2.1955254,0.6329295,0.007092012,0.11119585,2.3083036,0.9868712,0.1598662,0.0036954111,0.5461064,3.6751757e-08,0.086134575,0.010363164,0.3618033,2.4549367,0.0048958976,0.26612568,0.119935654,1.720741,0.0032164932,1.2244202,0.29507995,0.00024369215,0.11266457,0.08835545,0.25682205,0.11302942,0.58924055,0.2789479,0.85905135,0.0051325434,3.9061263,0.012034509,0.0030679526,2.4930005,0.011740792,0.3574771,0.9613655,1.5334942,2.0822926,0.74927574,0.0016013853,0.003054023,0.5044744,0.29241166,0.46811777,0.98759884,3.7156832,0.58115774,0.22146986,0.41598558,3.2871342,1.5881076,0.15652008,0.7140108,0.001170533,0.010969403,6.143962e-06,3.9346943e-08,0.0011608443,3.0320342,0.98979867,0.0017761758,0.011189142,0.00013471015,0.67708397,0.005864686,7.181587e-06,0.5924654,0.009967857,0.498045,0.0021810695,0.0023205588,0.38127342,0.55403954,0.40320206,0.39531347,0.15667233,0.8778498,0.031010343,0.00031754348,4.430226
RU1080C_240559720974574,0.0018090415,0.39992714,0.075198166,0.004847106,0.0046330346,2.1712916,0.68554246,0.029848404,0.17743541,2.4704745,0.7834918,0.10196876,0.0030175096,0.48512754,0.001646121,0.12109441,0.0077272938,0.44051853,2.528588,0.0024374614,0.27164984,0.16378376,1.5909876,0.005282718,1.1649973,0.25010353,0.0014711522,0.13629344,0.09310733,0.36886021,0.17037177,0.58919024,0.3223497,0.98554456,0.0027851209,3.8073137,0.0051928274,0.0016506052,2.4181824,0.014537431,0.35694826,1.1116103,1.5395707,2.101605,0.6900905,0.0036242157,0.0035905035,0.5358897,0.35390142,0.6284086,0.75183547,3.8490965,0.5791445,0.2785791,0.33254763,2.886288,1.4852072,0.14521515,0.58126545,0.00550264,0.009688426,0.00016824169,0.00012890903,0.0030446907,2.3587058,0.98937887,0.009616627,0.00955068,0.0007846301,0.7186284,0.011499937,0.004710219,0.5012069,0.016373849,0.3879862,0.004125703,0.004619072,0.36678886,0.62645745,0.44469038,0.3529135,0.17963402,0.8160077,0.055308305,0.0005206458,3.9878721
RU1080C_155888882432884,0.0041610296,0.3174425,0.03112926,0.003094288,0.0063230456,2.25278,0.72102195,0.07028713,0.26280254,2.1970294,0.5191365,0.062808305,0.0024613463,0.4783471,0.00024692173,0.15219942,0.0049464223,0.5927154,2.4883058,0.002766702,0.17933695,0.22088622,1.2113773,0.013470143,1.1915046,0.27567604,0.0027866748,0.19549015,0.050793413,0.46792978,0.33786914,0.5814688,0.33091465,1.0333762,0.0027537218,3.5462728,0.013763059,0.0011114653,2.314813,0.014677182,0.28997436,1.2596854,1.5497855,2.2078428,0.7612161,0.0013829984,0.004661932,0.6480313,0.48477617,0.73074144,0.43563494,4.0013127,0.5579371,0.269433,0.2100102,2.864971,1.6658884,0.14341685,0.63286275,0.002251397,0.0069246935,0.00016712798,6.8571026e-05,0.0040531796,2.248886,1.2660253,0.008124828,0.008871452,0.0007096781,0.7775435,0.005328831,0.004791467,0.4491013,0.02314603,0.28900865,0.003943249,0.015864257,0.3992268,0.58109385,0.4482092,0.31529108,0.18561745,0.8790648,0.112083554,0.0002775822,3.2546577
RU1080C_239595634449246,0.0005038136,0.076384895,0.017460128,0.012130081,0.002940225,0.4918062,0.09999045,0.050838172,0.05831394,0.37874496,0.13718405,0.038138032,0.0073247952,0.11670372,0.0043999297,0.017034868,0.008990242,0.088514514,1.1495029,0.0047271205,0.03824119,0.02843039,0.279396,0.0015408238,0.24889529,0.08120033,0.0077563743,0.09275834,0.019602101,0.1558517,0.036824428,0.12405886,0.046489883,0.29084316,0.0029054212,1.7402989,0.002978895,0.0035004276,0.5983648,0.013047631,0.054647904,0.22340026,0.21626769,0.39347538,0.14039187,0.006575264,0.0010181008,0.036369067,0.054472204,0.14840771,0.107855864,1.9275001,0.13012885,0.042149987,0.055560533,1.659557,0.5745248,0.051458765,0.2840869,0.00839609,0.0094453115,0.00066947856,1.111385e-05,0.005359355,0.89788514,0.16933437,0.0057355575,0.010594431,0.0002022884,0.22065267,0.023890216,0.0063171196,0.13036396,0.0058354177,0.05592669,0.0024691245,0.000109216395,0.12280925,0.3111459,0.11254876,0.16567142,0.045849163,0.27282265,0.061093546,0.0018257004,1.9418157
RU1080C_206068851271990,0.00067488046,0.39976045,0.103869595,0.009915615,0.0011413654,1.8843429,0.65429085,0.01050665,0.1403251,2.5079706,0.91256857,0.10070953,0.0023212607,0.448083,0.00011004135,0.07920317,0.0037803098,0.4495416,2.5460088,0.0012921885,0.33516493,0.122654065,1.6344079,0.0022295879,1.2026452,0.23195636,0.00040842174,0.083932474,0.09146309,0.42378664,0.08974473,0.5850824,0.25647718,1.0275055,0.0027138777,3.7521155,0.0034463073,0.00051791006,2.4771657,0.0035684588,0.2984191,0.9718957,1.4294099,1.7923546,0.6634297,0.000709607,0.002261536,0.42775607,0.23790067,0.518402,0.7071789,4.2081046,0.5295836,0.32968125,0.29623017,2.7984524,1.306266,0.1721096,0.52753836,0.0048747454,0.010594135,5.4282784e-05,3.450309e-05,0.0007977684,2.2725217,0.82298714,0.010824635,0.008654765,0.0008904817,0.68993944,0.011432188,0.0017438637,0.42703146,0.010172377,0.48743197,0.0005970791,0.0025455737,0.32161194,0.7884391,0.36771426,0.30918565,0.19668749,0.697393,0.03143914,0.0001320445,4.2882266
RU1080C_192729635834790,2.2874861e-05,0.03223265,0.003258987,0.013676628,0.00024307796,0.69547987,0.0710685,0.006992124,0.008018402,0.12782185,0.13689096,0.024396228,0.0018859131,0.09377345,0.0011366492,0.0024092002,0.00378684,0.05149043,0.6124445,0.0027335568,0.021643993,0.010919346,0.15896836,0.0004308396,0.24866697,0.16272397,0.00036811078,0.046929076,0.026383128,0.035465263,0.033183962,0.11617995,0.016852748,0.3382446,0.00084532157,1.3009082,0.000759912,0.0010940087,0.4908172,0.005041623,0.01384189,0.10926553,0.074330136,0.3580126,0.057145845,0.0005415208,0.00010689595,0.0106423125,0.008231825,0.055098265,0.15146507,2.0143309,0.07529987,0.002974184,0.017891021,2.0208318,0.35705438,0.03660448,0.08900532,7.9931146e-05,0.0015848906,3.128076e-05,1.15930625e-05,0.0006212458,0.9313234,0.09577731,0.0021834187,0.0008061182,3.0743915e-06,0.11196466,0.00633292,0.0005490146,0.203868,0.0007348617,0.015297093,0.0009828636,1.6443888e-06,0.12734303,0.10045894,0.0833947,0.07774894,0.041928746,0.3100464,0.021587359,0.00061413,1.9354538
RU1080C_165309463509860,0.00514266,0.20842725,0.07184117,0.12212425,0.008328902,1.7883569,0.4602514,0.011696344,0.16256411,2.170993,0.6350785,0.15241766,0.010691126,0.42696843,1.18007865e-05,0.0279728,0.0014034765,0.30833298,2.98536,0.00014099538,0.18081945,0.10953772,1.4336239,0.00030276814,1.3552179,0.52410793,0.00026425146,0.28364038,0.109241836,0.31762856,0.06606303,0.49368823,0.42650136,1.2296891,0.006897746,3.761748,0.002542397,2.5968571e-05,2.8194444,0.0017901663,0.39659882,0.7584682,1.634273,1.6490054,0.7004112,0.00030696133,0.011843932,0.3272743,0.32022187,0.1495506,0.6428185,3.473272,0.69171435,0.3892314,0.36716112,3.3828456,1.895508,0.15193933,0.5196322,0.0043736636,0.03709999,4.033832e-06,9.731814e-08,0.009457897,3.1954186,0.8633017,4.052437e-05,0.024511516,4.1551815e-05,0.7867487,0.0068967436,0.00044640448,0.43094075,0.023447584,0.40594074,0.005016352,0.00035226278,0.62086666,0.62429523,0.5570031,0.32070768,0.18338156,1.1193125,0.013489879,0.0029522462,4.4408674
RU1080C_135081900567837,0.0074315555,0.3810976,0.060876522,0.005841638,0.004927537,2.3706636,0.5906966,0.02025737,0.24818043,2.2079747,0.9974979,0.17084667,0.0061850925,0.557639,5.701607e-05,0.11019451,0.004112935,0.47274268,2.9779902,0.0018993166,0.29237288,0.14156656,1.6791058,0.004297296,1.295483,0.3184813,0.0014909385,0.15158157,0.10100091,0.40765828,0.11459839,0.5748493,0.3626411,1.0317217,0.006776331,4.059284,0.010900363,0.001308554,2.3212283,0.02214704,0.40337887,0.9515002,1.5405833,1.9010817,0.7944294,0.0022800332,0.0058264537,0.46121755,0.35352,0.51670605,0.9993435,3.8280506,0.66925377,0.30881518,0.44283834,3.376246,1.7728372,0.16349389,0.69975007,0.004669971,0.01708356,0.00022836833,1.438992e-05,0.0058698365,2.9769752,1.0838166,0.0012392831,0.017249074,0.0044552777,0.78763676,0.006930732,0.00035452726,0.5930903,0.012705221,0.52259994,0.0021495146,0.001222332,0.46233636,0.6000965,0.4876593,0.39956492,0.21140887,0.9773519,0.03418816,0.0006363949,4.514479
