Cell,NFIX,TCF7L2,HIF1A,STAT4,ICAM1,ELF5,PKNOX2,ESR1,GRHL2,ZEB1,TRPS1,LMX1B,PRDM16,EPAS1,SP100,NR2F2,AHR,EGR1,NR6A1,TCF7L1,JUND,EPCAM,HSF2,TCF12,RORA,NR3C2,PPARG,ARID5B,RUNX1,FOSB,ASCL1,NFIA,SOX6,CREB1,TFDP1,STAT2,REL,SIX1,PROX1,TBX15,GATA6,SP110,RUNX2,PBX1,JUNB,NFIB,BACH1,EBF3,MEIS2,HES1,BCL6,REST,FOS,SOX9,ETS1,GLIS3,LCOR,TCF4,RBPJ,NFYC,ZBTB7A,ZBTB20,BACH2,RARG,NFE2L2,EHF,FOXP1,BBX,JUN,KMT2A,THRB,NPAS2,ZBTB18,CUX2,SMAD3,SOX5,MECOM,NCAM1,FOXO3,RARB,SOX11,SIX4,PLAGL1,STAT1,TEAD1,RORB,NFATC2,CUX1,TEAD4,NFKB1,CD44
RU1322A_LN_133924258008493,0.19096678,0.03026283,0.57224774,0.001348933,0.00037792337,0.0010318005,0.009532554,8.457429e-07,0.099743225,0.00023211751,0.1242709,1.4521363e-06,1.1123214e-05,0.0013572082,0.17832594,0.8794522,0.03298263,0.55329293,0.054306023,2.679569e-05,4.0079308,2.3454642,0.59289145,0.25942978,0.056366477,0.036867578,0.028780045,0.3300568,0.00592514,0.44919863,0.00016087639,0.05669312,0.003792914,0.5219287,0.8776028,0.0859091,0.51737916,0.38151863,0.4743874,0.01447582,0.055085585,0.10946613,1.1349903,0.7166235,1.2649732,1.6889694,0.3266363,1.7449538e-05,0.41556683,0.089607604,0.052478142,0.6097273,0.7722655,1.2605402,0.025222855,0.269384,0.29218814,1.8146445,0.8536628,0.49804416,0.6191075,0.7441138,0.07349688,0.01455666,0.45433357,1.1171468,0.29766315,1.2262174,3.2171886,1.2563865,0.09596637,0.00082746474,0.1245145,0.04559874,0.08110322,0.031838674,0.0050352453,0.015611465,0.80152494,0.07791978,0.26699486,0.19907987,0.048841808,0.43921217,0.25760353,0.02367907,0.0051532835,0.3233596,0.10713813,0.23214015,1.8824339
RU1322A_LN_162078856755548,0.06765201,0.0037843916,0.269493,0.0009391279,0.0023970786,2.965949e-05,0.00014553346,2.8608934e-05,0.013300872,0.005042563,0.011731843,4.175112e-06,0.00038923952,0.018600415,0.051148288,0.35454297,0.005923946,0.22982153,0.0028555451,0.0007363459,2.3363783,1.1171559,0.072325505,0.10632061,0.0137434155,0.02224522,0.0027659175,0.019673288,0.020806534,0.13997346,0.07260323,0.020559281,0.0015545785,0.13507871,0.46487042,0.03221065,0.13667081,0.09608837,0.08275734,0.0010374064,0.020235438,0.043716826,0.3209453,0.12442981,0.36780307,0.3726486,0.031130971,0.0016323455,0.02534265,0.03132833,0.031795528,0.25186682,0.4791085,0.32202986,0.054504674,0.049398076,0.050085075,0.7751826,0.32301718,0.116595015,0.055156324,0.14371896,0.003360252,0.00021323304,0.16522428,0.7249248,0.044003144,0.22445609,1.486514,0.22548297,0.025641216,0.00012603827,0.060418252,0.0037741202,0.029015576,0.04325245,0.0013449389,0.009771736,0.13065407,0.030157788,0.10338538,0.024217453,0.0011845555,0.17362247,0.035509553,0.020858083,0.0031770584,0.1350784,0.010722222,0.08431576,0.45716238
RU1322A_LN_160921510067628,0.18791322,0.028642256,0.5625523,0.0010854269,0.00039016613,0.00042979946,0.009140228,0.0,0.09378843,7.613946e-05,0.123887904,0.0,5.6043637e-06,0.0007576573,0.21086289,0.84640694,0.036880948,0.5902499,0.05162512,2.029332e-05,4.009126,2.3699148,0.5971047,0.25583723,0.04904755,0.031720337,0.032966524,0.3457001,0.00543114,0.47393215,5.5168573e-05,0.0628148,0.0048099495,0.50125015,0.9348251,0.09846897,0.52527964,0.39782733,0.46938056,0.013336857,0.049380235,0.12311513,1.168113,0.6728515,1.3285501,1.7127764,0.3180243,0.0,0.3924973,0.082600944,0.055209067,0.6009942,0.8047662,1.2160887,0.022279875,0.26216218,0.28737646,1.8250141,0.82969403,0.51318055,0.63168126,0.7077118,0.08165463,0.015464227,0.4670821,1.0739965,0.29550427,1.1940333,3.2299979,1.2515274,0.088262066,0.0009996049,0.12314292,0.046083435,0.078766234,0.032199796,0.003995172,0.011704716,0.7803203,0.0710155,0.23384738,0.20212993,0.045640822,0.52999616,0.25801167,0.02538413,0.00522264,0.31611288,0.108641855,0.2452135,1.9996203
RU1322A_LN_199937951382750,0.14895989,0.021977557,0.5734322,0.0021564683,0.0016455255,2.9005394e-05,0.008939264,2.1305921e-05,0.1127594,0.001678044,0.10045013,4.2134835e-07,6.376579e-05,0.0029780762,0.219227,0.77134556,0.044404928,0.77152187,0.045136362,0.0011468272,3.9072313,2.1887596,0.5663351,0.22473718,0.06125489,0.052412912,0.025207393,0.2625017,0.0012315721,0.5855231,0.0026575874,0.024992662,0.0055351765,0.5034005,1.1072942,0.12097242,0.56526136,0.34879515,0.47623006,0.014384237,0.053567495,0.12088799,1.014346,0.60855,1.3970413,1.6890043,0.3017128,0.0002577009,0.420852,0.08656215,0.04000175,0.52204597,1.3296558,1.0837984,0.03277981,0.29775792,0.33812663,1.7136434,0.9154078,0.43580294,0.56352615,0.6403992,0.0681662,0.00830256,0.5024298,1.2072909,0.2574955,1.0767659,3.505777,1.3295504,0.14414513,0.0036641373,0.09552547,0.059964973,0.07875343,0.026162118,0.008496719,0.020075314,0.6766609,0.08547123,0.25093997,0.22148226,0.081446394,0.6415558,0.26015455,0.026549809,0.006631845,0.34078503,0.14805691,0.20199871,1.5969988
RU1322A_LN_129998524144931,0.2287701,0.03162874,0.62851655,0.0011002171,0.0009164654,0.00014904517,0.006262186,3.928102e-07,0.09926101,0.0007226081,0.14602347,0.0,9.364836e-06,0.00032526624,0.20010756,0.9411088,0.03307977,0.57325894,0.05447388,9.737632e-06,4.047792,2.4169216,0.65755415,0.2770084,0.050525643,0.04182817,0.028445728,0.35618454,0.007710073,0.5034588,0.0001704531,0.06525581,0.0073812874,0.53259194,0.92158055,0.10228276,0.5706144,0.44469568,0.5565012,0.019125056,0.06183421,0.14347886,1.2252909,0.69070214,1.342853,1.768823,0.37651628,1.4491468e-05,0.42927864,0.12378531,0.059033066,0.6358818,0.75878793,1.2875371,0.032292984,0.2664407,0.32190722,1.86406,0.87421644,0.5094687,0.6555431,0.7646184,0.085676454,0.01506677,0.5063878,1.1119684,0.30279696,1.2909826,3.1776228,1.3632524,0.07959448,0.0007785613,0.12446996,0.05161846,0.07170706,0.037405916,0.003699293,0.021735363,0.84500784,0.083266415,0.28227255,0.23574704,0.046226695,0.59214437,0.26162368,0.03463087,0.0063088154,0.3580662,0.0984728,0.26323685,2.000573
RU1322A_LN_232328294456675,0.043186314,0.0058379346,0.30479494,0.0009961165,0.0034968175,2.4719864e-05,9.662917e-06,3.030123e-05,0.0047160517,0.013746925,0.0041686064,3.1149773e-06,0.0010507858,0.015195904,0.06438107,0.2392868,0.0062796627,0.20372894,0.0016701017,0.0040631965,1.9718109,0.9186651,0.04841198,0.06987187,0.029034676,0.01649263,0.0022656263,0.02345097,0.036323115,0.11316292,0.27451295,0.049949277,0.0055239256,0.13059965,0.41790986,0.02998429,0.10822846,0.1435216,0.073840275,0.0021397127,0.013284004,0.039054073,0.22049545,0.10526628,0.3876897,0.29915968,0.016075017,0.0034392267,0.028413458,0.051403716,0.040766217,0.1499836,0.5451425,0.3361533,0.05105835,0.018994244,0.046618838,0.7196913,0.23303093,0.13847372,0.027735755,0.13850918,0.0017153126,0.00029533508,0.14442632,0.5309343,0.048431348,0.17460461,1.3774805,0.24105147,0.0072872415,0.00037453216,0.07024429,0.0023207008,0.014917019,0.041879095,0.004067646,0.032855783,0.102923445,0.009253012,0.10721295,0.033247348,0.0057220086,0.13719413,0.037873074,0.008958516,0.0028671026,0.10331003,0.0061391043,0.071838036,0.31122255
RU1322A_LN_169777302563229,0.33758312,0.0458169,0.58315307,0.0071446374,0.009545327,2.2035496e-07,0.025606032,1.9438465e-07,0.15862559,0.0010102146,0.12577108,3.9681427e-06,2.9177306e-06,0.0001533156,0.42543352,1.2756575,0.033529837,1.0356255,0.058194313,2.4775086e-06,4.1123323,2.35957,0.524029,0.36262238,0.044521052,0.03916385,0.038163397,0.44932547,0.004865749,0.8378194,0.00019790836,0.029609693,0.0040763775,0.68782043,0.79663837,0.14967372,0.7006943,0.42676196,0.6850025,0.027525917,0.06032794,0.2122495,1.3287283,0.7809264,1.7784134,1.9889513,0.34451494,2.09591e-06,0.5063902,0.18406704,0.08449746,0.72687733,1.4873644,1.4587637,0.04210729,0.36700848,0.33529106,2.1536515,0.89767635,0.5421004,0.67321825,1.0004314,0.081201985,0.013463189,0.64003855,2.061931,0.3236345,1.3870381,3.492276,1.5424677,0.10609364,0.00052355544,0.17130776,0.06959464,0.09655908,0.020063072,0.0022894405,0.023879422,0.7762121,0.08477377,0.39075398,0.27577004,0.059620295,1.0597433,0.29332486,0.06850514,0.010844957,0.35429484,0.04274624,0.22433703,1.7525996
RU1322A_LN_169081813821726,0.20921409,0.042451058,0.62577707,0.001775503,0.00198297,0.0003695892,0.0007277981,1.767412e-05,0.14533393,0.0019157876,0.12483828,6.0880675e-06,0.00012685377,0.009506735,0.2763855,0.8464852,0.037678998,0.5798877,0.054682143,7.582708e-05,3.9805229,2.0884073,0.5744938,0.22043382,0.12922326,0.025756799,0.00487773,0.27068785,0.0026694944,0.51834977,0.0025394012,0.07476098,0.008687481,0.46016747,0.5929824,0.059972234,0.5732091,0.3362435,0.43733808,0.013234041,0.05556197,0.08291895,0.8799504,0.7592488,1.0474846,1.2348186,0.32823616,0.00037753026,0.6349037,0.059725404,0.083207384,0.711895,1.3134309,1.2630196,0.02011547,0.34453136,0.3327716,1.547773,1.147888,0.35563496,0.40031445,0.8765909,0.08610898,0.0074502346,0.49438718,1.1960135,0.3075561,1.4050046,3.045593,1.2283764,0.099838555,0.00014723693,0.14249876,0.032499306,0.0680191,0.017786568,0.004217057,0.0137114385,0.8387984,0.11636598,0.36590526,0.2098376,0.04352943,0.3621191,0.2145449,0.02183367,0.006089633,0.32102787,0.0974933,0.20416236,1.4672474
RU1322A_LN_227905807702243,0.11479304,0.025773758,0.59037066,0.0031050222,0.00027935306,3.1904903e-05,0.0030283895,0.0,0.078204975,6.6421984e-05,0.08161602,4.355275e-07,4.8103917e-08,0.00017487108,0.17233245,0.64878553,0.034671485,0.50399226,0.047872584,0.0009631011,3.600728,2.3612862,0.5908067,0.19852094,0.039247353,0.03914099,0.03884493,0.255364,0.00072405115,0.33914742,0.00022439458,0.044519547,0.002801872,0.45497283,1.1901758,0.06411678,0.509192,0.42318267,0.38590294,0.009823737,0.038166184,0.08630396,0.89698035,0.57514054,1.3287141,1.6806636,0.30189908,5.5265905e-06,0.36030096,0.066434145,0.030610044,0.4742232,0.8178023,0.9061157,0.026118077,0.23178335,0.28548214,1.644467,0.89668524,0.4514461,0.5411954,0.52474153,0.08284623,0.009824741,0.49561915,0.8897283,0.20194481,0.9981198,3.2722561,1.1546094,0.15418336,0.006265297,0.07866955,0.049659044,0.07598909,0.026411206,0.0017953462,0.011241327,0.5943324,0.056396145,0.15332119,0.17925616,0.057124194,0.5316784,0.26143697,0.020351615,0.001963199,0.27826604,0.21325418,0.19763696,1.7075171
RU1322A_LN_235122023909291,0.12016312,0.019016776,0.5348475,0.001782831,0.00013775499,1.7974497e-05,0.003175323,4.2373363e-10,0.061893504,6.3894e-05,0.0809515,1.8543193e-06,1.2345997e-07,0.0005627367,0.18166709,0.6274938,0.028621152,0.46327794,0.039964158,0.0003177644,3.565527,2.3011107,0.5144534,0.18958807,0.026989827,0.03081597,0.046056043,0.23873505,0.0009901805,0.32034305,0.00057401333,0.052898254,0.0015252987,0.39706847,1.1187245,0.08004955,0.4399535,0.4252261,0.3499558,0.010167674,0.033817213,0.09685627,0.8728401,0.558192,1.2313181,1.5916729,0.27179438,2.4786177e-06,0.32445404,0.050407246,0.029567257,0.44028252,0.7815663,0.8541146,0.022320004,0.20817862,0.24815358,1.5736431,0.795325,0.43220884,0.49827546,0.50732446,0.06893021,0.0077966307,0.42417705,0.86566657,0.20299873,0.9161897,3.1908405,1.0209448,0.1363756,0.0028770596,0.0727714,0.050576616,0.07199275,0.026666533,0.0023985328,0.009633972,0.5463401,0.05311371,0.13880855,0.16264607,0.045861427,0.5031213,0.21190754,0.018993517,0.0026212407,0.2665161,0.17687955,0.17583327,1.6835012
