Neuroendocrine	na	UCHL1	CHGA	CHGB	SYP	CALCA	PCSK2	PCSK1	SNAP25	ENO2	PROP1	ASCL1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Dian_up_mets	na	LHX1	LGI1	LINGO1	ADGRL3	TMEM178A	GCGR	DBN1	MFAP2	GNG4	NECAB2	MPDZ	LNX1	HOXB9	LYPD1	NFIX	NTSR2	GRIK3	SLC6A15	ANKFN1	ALB	FBF1	NPAS3	SGIP1	CPLX1	FBLN7	GLP1R	GAP43	CDA	FNDC4	CRTAC1	DCHS1	BCAT1	FSCN1	FEV	NEUROD4	AGAP2	SNCAIP	DPYSL4	DDR2	RBFOX3	UNC5D	IGFBP2	DDAH1	FLI1	FLII	MDGA1	PAX9	DCAF12L1	NFIB	GPR179	RAB33A	SFRP1	DCX	CRYBB1	EPHA5	NCKAP5L	PSD2	EBF4	AARD	ELN	SMIM6	ADAM12	IL17B	RPS6KA6	BOC	NGFR	RIMKLA	PHOX2A	VASH2	UTS2R	APOA1	GFRA4	HSPA12A	TMEM108	SLC29A4	PDE1B	PDZRN4	HOXB8	CFAP251	TRO	DOCK4	LRRN3	PDZRN3	TMEM74	PCDH10	PRPH	HOXB7	APOA2	AHSG	TUBB3	HTR3A	PRKCB	RAB6B	HIP1	LGALS1	SLIT1	SLIT3	FSTL5	SATB1	CAPN6	SEMA6C	CLGN	CACNG5	MAPT	PODN	PLXNC1	FBLN1	RBFOX1	TCTE1	PTPRG	LIN7A	ADCYAP1R1	EYA2	PTGER4	KCNA3	HEPACAM2	PTGDS	FGFRL1	GNB4	NELL2	DLK2	RNF165	RGMB	CNKSR2	CDH11	VEGFC	PLCE1	GPC2	SLIT2	SLIT3	TTC9B	SRCIN1	SNAPC3	SCN1A	CNTFR	NME4	RIT2	LGI3	GALR1	SLC6A1	NRSN2	DES	STC1	ASTN1	ELOVL2	NCAN	NDN	SEMA3D	TUB	SCRT1	SLITRK3	FGFR4	ADRA2C	B3GALT1	RTN4RL2	GREB1	KCND2	KIF21B	FUT10	BID	NTRK1	RAMP3	POU2F2	EFNB3	GNB3	DPF3	TCEAL3	GC	GRM3	SHF	ZFP57	ADAMTS10	CALB1	PXDN	DMBX1	PSIP1	DGKI	CHODL	PLAAT1	PCDHA11	BCL6B	SEPTIN3	TGFB2	KCNH4	SOX8	MYCL	FEZ1	LZTS1	CALCR	CERS1	RNF182	KCTD15	PMP22	PXMP2	GABRA4	FGL2	TLCD5	JAM3	KCNH5	MARCHF1	OPCML	SLITRK1	MICAL2	HACD4	BMP8B	HOXB6	EPDR1	CACNG7	ADAM33	ZBTB46	PDE10A	MEX3A	CD248	PPP1R1A	MLLT3	TCAP	ACTC1	SLC35F1	TRAF3IP3	CSDC2	ASPHD2	RGS20	APC2	ANAPC2	SLC25A23	PCDHB2	SRGAP3	DMRT2	BGLAP	GNAI1	GDPD5	CHST5	GPER1	SOBP	IGFBP4	LGI2	CMTM7	CELF5	DPYSL3	FAM135B	TMEM229A	TMEM151B	CDK6	OSBP2	METRN	GABRD	SLC38A3	TYRO3	GALNT13	CDH18	SRM	SRMS	KCND3	SNED1	KANK2	PWWP3B	SACS	CTHRC1	SPDEF	TRIT1	UGGT2	GPR45	PCDH18	FHL1	CFH	VCAN	THY1	PRELID3A	CACNA1D	VWC2	DSCAM	FAT4	SLITRK6	SORD	KCNJ3	LONRF2	ATP1A3	CACNG4	ARPP21	SULT4A1	IGSF10	NRG1	EPHA8	MPPED1	HRK	PAK3	ARHGEF7	SLC10A4	EHD3	FAM171A2	PTPRD	RCOR2	PPFIA4	PPIE	COX8BP	FGFR1	PODXL2	LHFPL2	PPP1R14B	SMAD9	NAALADL1	ZDHHC21	LTBP1	DMC1	HID1	ZSCAN18	DIO1	DIDO1	CACNA2D2	DCTD	GRIK2	GRIK5	DOC2A	CCL25	MEX3B	NAT8L	B3GAT1	FGD3	CLCN1	HTR1B	RTN1	H2BC14	HHEX	ABCG2	NDUFA4L2	GABRA5	PDE9A	CALD1	GFRA2	SH2D5	GAMT	NKX6-2	ARHGAP24	SHD	PRR7	XDH	RIPPLY2	VLDLR	SCX	SLC25A21	MMP2	GRIA3	ANK2	SOX11	ANKRD34B	ADGRB3	DRP2	DPYSL2	GALNT16	PNMA8A	PHACTR3	ERC2	SIRPA	MYL4	MGAT4B	H2AC11	MYCN	TRPV4	LYNX1	CDK2AP1	ONECUT2	CBLN1	PPFIA2	LRRN1	LRCH4	VAT1L	PLEKHG4	SPRED1	AMBP	BMP1	ABCB4	GPM6B	USP29	CSRP2	ZEB1	TUSC1	STARD13	PRRT2	NSG2	MYT1L	SLC29A2	H1-5	PLD5	RBP7	NR2F2	PCDHB5	CHRD	MARCKSL1	CACNG2	FAM13C	SH3PXD2B	NRG3	RUFY3	LYPD6	SHC2	KCNN2	PDE3A	SGCD	SOX5	DLEU7	PTCH2	PCBP4	NRP2	NELL2	RASA3	HAUS6	TUBB2B	DLGAP3	LMO3	CCDC30	KITLG	USP51	PROZ	TMEM132A	DTX1	NACAD	RRM2	FAM124A	PCK1	CPNE2	PTPRS	SEMA4G	HS6ST2	BEND5	SMARCA2	CACNA1E	MAGI1	CNKSR3	UBTD2	ST8SIA2	RELN	SERF1A	ALDOB	TSPAN18	EPHA3	TMEM145	ROR1	RORA	TUBB	GRM7	MMP16	SLC9A5	ZG16	PCDHA3	VASH1	RIMS4	NKD2	ADCY3	ADCY8	HS3ST4	ANKS1B	CLEC2L	LRR1	AKAP6	PHLDB1	ZDHHC17																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
Dian_down_mets	na	SCGB1A1	SCGB3A2	SCGB3A1	ANXA1	RGS4	ALDH1A3	KLK1	LY6G6C	TSPAN8	CLDN4	DPEP2	SFTPB	SPRR1A	CD74	DCN	GABRP	ADGRG6	SDC4	HP	DLC1	SFTPD	F5	KCNIP1	TACSTD2	THBS1	VSIG2	UPK3A	GSTA4	FGF5	DMKN	FETUB	PIEZO2	ENPEP	ALDH1A1	MUC1	FAM110C	S100A14	S100A11P1	RASGRF1	SCN7A	MUC20	IGF2	ADGRF5	SCD	HSPA1A	FXYD3	PRDM1	EPAS1	EHF	BACE2	ARHGEF5	CTSH	SFN	REXO2	GPX2	SLC34A2	CXCL13	ZFP36L1	GJA1	HCRTR1	DHRS3	FMO2	FMO4	LAMC2	COLGALT2	SFTPA1	ADORA2B	CLDN7	CHAD	TINAGL1	SLC26A9	ICAM1	GSTM2	ANXA3	MGST1	CYP4B1	IRAK3	CDH1	FZR1	SPINT1	CASP4	AREG	CLU	KLK13	FOSL1	LCN2	SELP	SELENOP	IFIT1	PYGL	HSPB1	DUSP2	CLDN18	PTGS2	PIK3AP1	HES1	GATD3	HNMT	HSPA1B	MCOLN3	CALCB	LYPD2	PLS1	PIGR	LRRK2	TMEM30B	OSMR	CLDN10	CAPN13	EGFR	CYBA	MFSD6L	IFITM1	SCG2	S100A10	CAPG	SFTA2	DBNL	AOC1	GPA33	CSRNP1	SERPINE1	SNTB1	ITGB5	CEACAM1	TMEM54	TMTC1	ERBB3	IL1RN	PRELP	LRATD1	CARTPT	KRT18	PCOLCE	CNPY1	S100A11	GAL	PPP1R3B	EPS8L1	TUBA8	EGR3	DAPK2	RTP4	NTMT2	CNKSR1	IFIT3	SCNN1G	RAI14	PPIC	STING1	GSTT2	LAMP3	FXYD2	LGALS3	STAT4	ARTN	IYD	CCDC68	TOR3A	CEBPA	EPHA2	ISG20	ZFP36	RAB11FIP1	CLSTN2	NOTUM	FHDC1	RNF186	OAS2	ATP6V1C2	KRT8	EGR4	SEC14L4	CACNA2D4	RHOV	COX6A2	SMOC2	S1PR1	RBMS3	SLC18A1	MAPKAPK3	TMEM125	RBPMS	COL8A1	KRT19	NR1I4	CA2	RAB25	CRB3	IAPP	CLDN9	SLC44A3	LCP1	TOX4	MAL	MRTFA	TIRAP	KRT83	GALNT3	OASL	PARP14	SELENBP1	CCN1	KIAA1217	ZBP1	CCKAR	SH3YL1	PLAAT3	S100G	KRT23	EFEMP1	STX1A	ATF3	RET	SQOR	ZFPM2	RIMBP2	TRAF1	IL22RA1	ST14	CIB3	KCNJ15	TIMP3	AHNAK	TEKT5	CXCL17	PIRT	SRGAP1	SLC16A5	F3	CNTN1	CHMP4C	KCNIP2	GPRC5A	RARG	ARC	NOL3	KLK10	HGF	IL6	SOS1	ILDR1	PDGFB	VWF	INPP5J	SCNN1B	TMEM154	CNN2	SYNPO	POF1B	MUC4	CTSS	PDLIM2	PKP3	PRR15L	RIGI	ANXA2	SAMD9L	ERRFI1	PRSS8	RSPO4	CCDC24	RESP18	R3HDML	TRPV3	CXCL16	SGK1	UPP1	TNFRSF1B	BST2	CD44	BCL2L14	LMOD2	IFITM3	COL15A1	ARHGEF16	SOX13	SLC6A14	CD14	ANO9	MICAL1	PKD1L1	WFDC3	IRX3	IL18R1	CP	KIRREL3	P2RY6	B3GAT2	GSTT1	HS3ST3B1	MYO5C	NPPB	TMEM176A	MYOF	PPP1R3A	TMEM184A	CLIC3	ZNF750	IL13RA1	LTF	LGALS9	PON1	AP1M2	VWA5A	ARHGAP36	NGF	PDZK1IP1	GPX8	MET	SLTM	CX3CL1	FCGRT	DDX60	OVOL2	ACSS1	SAT1	SLC38A1	SLC40A1	FUT1	CHI3L1	HBEGF	PBXIP1	TYROBP	ENTREP2	PGLYRP1	ADAMTS5	TRPC1	ENTPD3	CDC14B	LIMCH1	ITGB3	CLDN6	NR1D1	IFIH1	SYNJ2	DRAM1	MMP12	TMPRSS13	DSP	EPSTI1	SDCBP2	LGALS3BP	TSPAN11	FOSL2	ERBB2	CXCL2	ESRP1	PON3	MAPK13	GZMA	BGN	FGD2	B2M	TENT5A	ANXA7	SIGIRR	TMPRSS4	RAB27B	RASSF6	DYNLRB2	BCR	GLB1L2	PDE2A	PTK2B	PLEKHB1	FOXQ1	CABP7	REPS2	OSBPL5	INSL6	MARCHF10	DNAJA4	JAKMIP1	CLDN23	LRG1	GSTM1	USP18	OSGIN1	CLDN2	FAM117A	SLC2A13	CLCA4	MGST2	GSDMA	MYH14	MYH7B	PRKAR1B	OVOL1	TENT5B	HPN	FMO4	IGSF5	LDHB	FGFBP1	PPL	EPS8L2	TMEM132D	CCDC154	ESPN	KRT80	GJB4	EFNA1	ALDH2	P2RX4	CLDN3	ISG15	EDN3	ARHGAP27	TSPAN1	BTG2	CLIC5	CLIC6	NXPH3	RUNX1	SPRY1	AGER	WWTR1	KCNQ1	HCAR2	EGLN3	TTLL10	IL6R	PERP	ALDH1A2	BICDL2	RHOD	SORBS3	SRXN1	FA2H	PTPN6	RRAS	TNFRSF12A	RSAD2	CGNL1	METRNL	NECTIN4	KLF4	KLHL41	UBA7	SERPINB8	FAM83F	TOX2	SERPINH1	TMEM102	RHBDF1	MUC5B	KCNF1	SFTPC	CASR	MUC5AC	ABCC3	PSD4	SSTR3	ELF5	MARVELD3	CCDC51	FZD1	GRM5	PNLIPRP1	NPR1	SEMA7A	TMC4	SH3GL3	RREB1	KCNK16	MVP	PCDH9	CDH13	NR3C2	MCTP2	YAP1	BSPRY	FZD5	HSD11B1	VAV3	KCNS3	THBS2	WNK4	SH3RF2	AMOTL2	CTSC	PCDH7	TMPRSS2	GAL3ST1	S100A6	IFNLR1	CD36	DNM3	ESRP2	ACKR3	DOCK5	FAM187B	EDN1	IGFBP7	CKMT1A	CKMT1B	IRF6	ARID5A	C3	TLR3	ATP7B	RENBP	LYPD6B	OLFML2A	ARHGAP8	GEM	GMNN	AGA	RPS4Y2	ELF3	EMP2	OMP	DCXR	TCN2	MAP3K6	DNASE1L1	NTN1	FBXO2	MAOB	SNPH	ENPP3	TNK1	PPARG	NPTX1	DPEP3	CDCP1	TMEM79	ATP2B4	CALCA	RAB19	PHLDA1	S100A16	HRNR	DENND2D	CDC14A	PLAUR	NUPR1	MYO5B	PKP2	GP2	SLCO2A1	ENPP1	HS3ST3A1	ANXA4	LPAR5	CD109	VAMP8	CYP1B1	EGFLAM	SPHK1	MX2	CRYL1	PIK3CG	WFDC1	NR4A1	SLPI	CBLC	MMACHC	GPC4	LDLRAP1	LMO7	NRGN	SUSD2	AOX1	SLC49A4	C1QB	MGMT	SLC44A4	COL6A5	KLF6	PLXNA4	SCGB1C1	TENT5C	KRT7	SLC46A3	GMFG	VMP1	UNC93B1	PTPN13	ETS2	PRSS23	FAM174B	CPA5	JADE2	OCLN	PRM1	RORB	ANXA8	PLK2	GCC1	CCL5	LIPH	INHBB	FAM83E	SNX33	MANSC1	TRIB1	PAPPA	NCKAP5	PPM1J	TMEM139	STAMBPL1	PTGES	SEC14L3	AHNAK2	ASS1	PTPRN	TGIF1	WHRN	IL5	TERF1	NOTCH1	DHX58	INSL3	AHR	ICAM4	PLA2G1B	SLC22A18	IER3	TNS2	CCRL2	SERPINB9	TNFRSF14	F2RL1	DLGAP2	SULT2B1	PLEKHN1	HSPA4L	IRF7	ASPA	ATP1B1	DMPK	CMTM8	ANO1	SLC17A9	SLC35F3	PSCA	ELMO3	PROM2	RAMP1	ZBTB42	PAOX	BMP2	GSTK1	ABCC4	SLCO4C1	SPARC	SAMD4A	RIPK4	IER5	STRA6	LRTM2	NR2F6	ITPRID1	TSPAN9	CRHR2	RASD1	SLC39A8	DGKA	MYD88	PRDM16	MALL	NCOA7	LHFPL1	FES	PRKCH	CAPN5	SLC35F5	HCST	SLC35A1	CD9	COL18A1	KLC3	EDA	PAX1	IL20RA	SMAGP	SHISA5	CABLES1	CFC1	MAFK	TMEM37	ACADM	MPEG1	GRB14	SP140	MORC1	DHRS7	IKBKE	MARVELD2	FHIP1A	RAB37	ACP5	GALNT6	FAM234A	SPOCK3	MAP3K8	DAPP1	PROK2	PLXNA1	RNF152	MR1	BHLHA15	HAS1	HNF1A-AS1	DDX18	ABLIM1	PDGFA	MYO1D	SERPING1	KCNK3	GSTA3	NIBAN1	F11R	FMOD	SLC25A29	SSC4D	TPD52L1	GCNT3	LATS2	CST6	CSTB	CD164L2	FCER1G	PYY	CXCL1	SERTAD1	EPHX1	LLGL2	NGEF	TNF	TGFB3	FAM3D	POR	PORCN	SPINK5	BATF	SGMS2	BCL3	SLC9A9	GBP3	WLS	TRPM6	ROBO1	SOWAHB	PTPRT	CAV1	RAB38	TRPM4	GADD45G	IL17RC	LIF	NRCAM	GLIS3	LY6D	PLEKHA6	GALNT18	SORCS2	PON2	PIWIL4	SLC35D3	TTC9	TFF2	RAD21L1	ZP1	TMEM220	KCNV1	NEBL	CATSPERD	ARRDC4	SLC7A4	TMEM106A	KLHL38	ADD3	ATP2A3	GCNT4	FAM114A1	GNS	PLEKHG6	CTSK	SYT4	CREG1	ACE2	MYC	CCN2	DENND2B	PGF	KCNJ1	PLXDC2	GUCA1B	ABLIM2	IFI44	MYLIP	CITED4	IGF2BP2	SCIN	EPCAM	NFATC4	PLAT	CLMN	GJB3	IZUMO1	ADGRE5	FAM83H	ENTPD2	VIM	RGS2	SOX21	TLR5	OSBPL3	BCL6	ACACB	DACT2	ANKRD33B	SELENOP	ARHGAP31	MGST3	STAP2	DNAJB1	TRIM16	FAM43A	CDC42EP1	GPR88	P4HA2	CISH	NPY	KCNC4	TMEM171	SLC24A3	ITGB6	TRIM56	NFKB2	PRR15	PFKM	EMP1	CD79B	C1QC	CRYBG2	CAV2	GDPD2	PCSK1	CD200	PLCB1	LAPTM5	TNKS1BP1	ARHGAP45	GNGT2	TLR4	SYTL2	SPSB2	ANTXR1	TMEM71	HACD2	ANKRD35	ABO	GPX3	SYTL1	NEDD9	AGO4	WEE2	FAM83B	STAT6	EGR2	ARAP1	YPEL4	KLK11	ACAA2	ADAM28	PGR	FGFR2	MAP3K15	TXNIP	TMEM116	SWAP70	ACTN1	SLC4A5	SLC4A4	SPARCL1	IRAK2	ALDH3B1	ANXA11	ILDR2	FUT2	LAD1	MYH3	IL18	INHBA	PDE4A	BNIPL	DKKL1	PHYH	CTSE	THSD4	TPPP	SORL1	ADM	CTBS	FSTL4	WWC2	TMEM213	ABCA1	RBM47	MAN2A1	PDZD2	LRRIQ3	PALMD	FHL2	SBNO2	NIBAN2	HNF1B	NAPEPLD	SLC10A3	PPARGC1B	CAPSL	GSTO1	ANXA5	STEAP4	NR4A3	PLEKHG5	MEIG1	SLC4A3	FMO3	CHRNB1	PRKCA	ARL4A	SLC25A35	GALNT4	MTUS2	SLC39A4	NHERF1	SEMA3B	PTPRN2	CIDEA	SPINT2	NFKBIZ	SHISA2	TMBIM1	PCSK2	FRK	CAMK2D	PLPP3	JUNB	VIL1	RNASE4	HPSE	HDC	HECA	CMKLR1	IL10RB	DOCK1	CTSZ	RHBG	RAB27A	REST	SMAD3	VTCN1	NTN4	MLF2	CTSB	NFE2L2	POPDC2	TUBA4A	ECSCR	PLA2G4A	LUZP2	EFNB1	COL23A1	PPP1R15A	ZC3H10	GRHL1	INPP4B	KREMEN1	FFAR2	EFHC1	ADM2	FAT2	NALF2	DNAJB13	PNPO	AKR1B10	PAWR	PPP1R14D	ASAH2	TNFRSF11B	BTF3P11	UTP20	IRF8	CTSD	ENTPD1	LY6G6D	LY6G6F	SIDT1	TRIM29	NPW	KCNB1	ITM2C	ODF3B	CREBL2	PLEKHA4	ELF1	ELOF1	RERG	KCNJ11	VNN1	TGM2	STARD5	GIPC2	SORT1	UNC5A	GREM2	TEC	IFI27L1	NUCB1	NEU2	TNR	RNF39	CXCL10	SSTR5	KNDC1	BAIAP2L1	HSPA2	CASQ2	TMEM158	FASTKD1	TNFRSF21	ICAM2	JUN	CTSL	SCNN1A	SDR42E1	SNCG	FUCA2	KLF5	TIMP2	ITPKC	SP100	LRRN2	IGSF8	STK32C	TAPBP	BPIFB1	LY6G6E	TJP3	ALDH1B1	ID4	ADAMTSL2	RHOC	KDR	S100A1	SLC22A4	FCGR3A	FCGR3B	KLF9	LIMA1	RYR2	CREB3L2	CCNO	TMEM150C	UBC	IL17RE	ACSF2	SKAP2	B3GNT2	HS3ST1	KCNK1	GGACT	ARG1	TINAGL1	COMP	MPZL3	CNTN3	PSEN2	FAM3B	TMEM88	NECTIN2	PLIN3	ZNF483	LPCAT4	TICAM1	CLCA2	MAB21L3	TENM4	EDN2	IQSEC3	COQ8B	GPR20	CCDC33	TRIM21	RBP4	TMEM40	MACC1	SSH3	COBL	PLSCR1	AK1	PER3	PADI4	STK32A	B4GALT2	FGGY	PLS3	RASEF	LYN	EPHB4	VILL	CPA2	ECHDC1	ATP2C2	ALAS1	SPON1	OCM	DUS2	FBXW7	KCNK10	ZNF462	FOSB	PABPC1L	CREB3L1	ELL2	JAG1	MYADML2	STBD1	FN3K	KHK	SLC16A12	P2RY2	FOXO1	BTG1
Axon_list	na	ALCAM	CXCR4	DBN1	DCC	DCK	DCLK1	DCX	EFNA1	EFNA3	EFNA4	EFNA5	EFNB1	EFNB2	EFNB3	EPHA3	EPHA4	EPHA7	EPHA8	EPHB1	EPHB2	EPHB3	EPHB4	EPHB6	FEZ1	FSCN1	GAP43	KIF2A	L1CAM	LRP8	MAP1B	MAPT	NCAM1	NFASC	NRP1	NRP2	NTN1	RELN	ROBO1	ROBO2	ROBO3	ROBO4	SEMA3A	SEMA3B	SEMA3C	SEMA3D	SEMA3E	SEMA3F	SEMA3G	SEMA4B	SEMA4C	SEMA4D	SEMA4F	SEMA4G	SEMA5A	SEMA5B	SEMA6A	SEMA6B	SEMA6C	SEMA6D	SEMA7A	SLIT1	SLIT2	SLIT3	TIAM1	TUBB3	UNC5A	UNC5B	UNC5C	VLDLR																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
16TshFv16TshC.DEG_up	na	EFNB2	GSTT1	CLCN5	ALDOC	NUAK1	CAMKK1	ALCAM	STXBP5L	FAIM2	PELI3	PLCE1	PTPRN	EPHA4	CACHD1	SEZ6L2	IRX3	ANXA2	CARD10	FGF1	ZCCHC12	PHYHIPL	VSTM2L	PTPN3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
16TshFv16TshC.DEG_down	na	SIPA1L2	DLL3	INSRR	TTLL5	TTLL10	XBP1	XBP1P1	RDH5	OPN3	NFATC2	NCEH1	LNX1	CCDC136	GRPR	ANK1	SFRP1	NECAB2	TFDP2	LMO2	RNF125	FOXA1	DNAJB5	DPP10	PPP1R14A	CCN3	PLXNA1	RPL10	FAM13A	LRRC17	GRM7	COL28A1	CTXN3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
WTvsshFOXA1_down	na	FOXA1	DLGAP3	ATP2A3	ALDH1A1	HOXB9	HOXB5	RET	DNAJC6	HOXB8	HOXB2	R3HDML	ST14	CDH1	FZR1	FAM9B	HOXB6	KCNK1	CLDN3	SHISA6	ESRP1	SPINT1	TMEM184A	SH3GL3	FAM9C	CLDN7	TMEM54	GRB7	CLDN6	SOX21	HOXB7	AP1M2	SLC44A2	TMEM30B																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
WTvsshNFIB_up	na	BTBD6	SIPA1L2	MORC3	CD3G	SOX6	NHSL2	DOCK9	PLK2	AQP4	COL6A2	ITPR3	CX3CL1	COL6A1	CER1	C3CER1	TGM2	SEMA6B	TTC7B	NPY1R	TRIL	CDHR1	SPON1	NPTX1	HS3ST4	KCNK13	PLK3	HLF	EPAS1	GRIA2	PLXNA4	HCN4	IGFBP2	HCN1	MICAL2	NKAIN1	BMF	FAR2	CDKN1C	EMP1	PAK5	SPNS2	LHFPL2	ST18	MAP1A	METAP1	DOK7	ADGRB2	MAP2K6	SLC36A1	GRK3	ATP2B2	ATP2B4	HCN2	ACTC1	TTC9B	SH3PXD2A	SOCS2	ATP8A1	OSTF1	DENND4A	EPS8	LRP11	PLXND1	ACTN1	LIX1L	CDK5R1	ROBO1	UST	RGS16	RETREG1	PCDH10	CHN2	HOMER2	MBIP	DLL1	ERO1B	ZDHHC9	GABRB3	STXBP1	ABTB3	RASSF4	RIN2	CRIM1	PKIB	MT-ND4L	TPD52	SKIL	CYFIP2	KLHL13	GNAO1	TULP3	SSH2	MT-CO1	CASTOR2	BTG1	FOXA1	MT-ND5	NKX2-1	JADE1	PROX1	MT-ND4	NCEH1	MKRN1	FBXL16	TMEM164	CLCA4	CITED2	DMRTA2	DUSP16	TMEM184C	DDX6	RYBP	ANKH	ANK1	CDKN2C	MFNG																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
WTvsshNFIB_down	na	RHOC	DPYSL3	FN1	CLSTN1	RBM24	AIF1L	RGS2	RPS6KA1	MAT2B	KCNIP3	SFRP1	CUEDC1	BOK	MDN1	MYCL	SHISA2	COL18A1	LRRN1	LRCH4	LFNG	C2CD4A	FNBP1L	STK33	TSC22D4	THSD7B	MGAT4B	PAG1	KY	GRB14	BCAR3	ZBTB7B	SFTPC	NXPH4	ACOT1	MDFI	SCX	MYL9	REEP6	ARHGAP28	IER5L	ITPK1	ANGPT1	SULF2	SEL1L3	PRICKLE2	RAMP2	GALNT4	NECAB2	MEST	IGSF9	SNCAIP	MSRB3	TMEM178A	GFRA4	CCNG1	EPRS1	QARS1	STARD10	CRIP2	CDK6	FBN1	THRSP	ALDOC	PPFIBP2	CDH4	LIPG	EYA2	ENPP1	SPTB	EDA2R	STC1	CDKN2AIP	PDGFRL	PTPN14	BOC	AK1	LINGO1	LLGL2	SPARC	CABP1	S100G	PVALB	MB	MGAT5B	PRDM6	SHISA8	SPTBN2	DUSP4	EEF2K	COL28A1	NFIB	CRYAB	CDO1	GAS1	MYH14	MYH7B	WFDC2	SNAP91	ESPN	KRT18	CLSTN3	MMP2	SOX9	ISLR2	BCAN	COL15A1	TAGLN2	ASS1	SGCG	GOLGA7B	VWF	DHRS7C	TLL1	NOS1	NANOS1	RET	BMP8B	PRRX2	KCNH3	FGF13	NGFR	KCNK2	DSP	LMO7	LY6E	CLDN7	BFSP1	TMEM132B	CHL1	DDX11	ANXA1	TSHZ2	ATP2A3	KLC3	HOXB4	HOXB5	CEBPA	TMPRSS13	BEX1	S100A14	S100A11P1	LSR	RNASE1	HOXB9	HOXB6	BIK	GNAI1	CDCP1	RAB25	DNAJC6	PSD4	BSPRY	MGP	ESRP2	PKP1	KCNK1	OVOL1	FAM83F	TSPAN1	GJA5	NEFL	ST14	LCP2	SYT5	ST8SIA3	BEX4	NXF3	ADD3	ARHGEF16	ZNF35	CNPY1	TACC2	SKAP1	TMPRSS4	CLDN4	GRB7	MYO5B	SUSD4	TMEM184A	SMOC2	SPINT1	HOXB7	NDN	ID4	LAD1	CAST	POLR1G	ERC2	SH3GL3	RIPK4	PARP16	MAPK13	HOXB2	SLC40A1	KDF1	R3HDML	TMEM54	HOXB8	KRT8	SOX21	CLDN6	CLDN3	SLC44A2	TMEM30B	ESRP1	NT5DC2	CDH1	FZR1	CRAMP1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
WTvsshFOXA1_only_down	na	FOXA1	DLGAP3	ALDH1A1	FAM9B	SHISA6	FAM9C	AP1M2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
