,NFIA,BACH2,JUN,RUNX1,JUND,SOX9,NFIX,TCF4,TEAD1,TCF7L2,ESR1,NCAM1,SMAD3,PBX1,EPCAM,NFKB1,NFIB,EGR1,NR6A1,NFYC,EHF,PROX1,TBX15,KMT2A,SIX4,STAT2,ICAM1,MEIS2,STAT1,BACH1,RORA_RORB,GRHL2,RBPJ,CREB1,HSF2,SIX1,SOX11,NFATC2,FOS,ETS1,HES1,ZBTB20,TCF7L1,CUX2,FOXO3,PKNOX2,ZEB1,JUNB,TFDP1,LMX1B,REST,THRB,ASCL1
PBX1,,,,1.085086061116928,,,,,,,,,,,,,1.4599636458695313,,,,2.1125065836339196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.112817335467311
EPCAM,,,-3.0007092242510764,,,,,13.681678923098612,,,,,,,,,,,7.425496272689692,,,,,,,,,,2.4967100953574097,,,,,,,,,,-5.736643006408901,,1.9851748487350167,,,,,,,,,,,,
NFKB1,,,,1.7928135861323975,,,,,,,,,,,,,3.679743863965335,,,,1.2020116781424839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1872799638603198
NFIB,,,,,,,,22.53828046707033,,,,,,,,,,,,,,,,,,,,,22.370321751186854,,,,,,10.273869975278373,,,,,,,,10.79610072806517,,,8.881935385357195,-8.837737046878598,,,,,27.701553478985858,14.251907491459857
EGR1,,,,-5.86581413933835,-0.767957194880669,,,,,,,,,,,,-1.674766035480745,,,,0.5193802015505418,,,,,,,15.476662708335475,,,11.288395032212215,,,,,,,,,,,,,,,,,,8.82775381043842,,,,
NR6A1,,,,,,,,,,,,,,,,,,,0.8786832410629407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFYC,,,,,,,,,,,,,,,,,,,,0.874204498647864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EHF,,,,1.1540361207477092,,,,,,,,,,,,,0.2580018528195501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROX1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7650229125429708,,,,,1.0974256635694062,,,,,,,,,,,,,,,
TBX15,0.13476200836822172,,,,,,-5.978105844661717,,,,1.477087062125841,,,,,,,,,,,,,,,,,,,,,3.7303452125575713,,,,14.196531100294816,,5.2200905531160675,,,,,,,,,,,,,,,
