,NFIA,BACH2,JUN,RUNX1,JUND,SOX9,NFIX,TCF4,TEAD1,TCF7L2,ESR1,NCAM1,SMAD3,PBX1,EPCAM,NFKB1,NFIB,EGR1,NR6A1,NFYC,EHF,PROX1,TBX15,KMT2A,SIX4,STAT2,ICAM1,MEIS2,STAT1,BACH1,RORA_RORB,GRHL2,RBPJ,CREB1,HSF2,SIX1,SOX11,NFATC2,FOS,ETS1,HES1,ZBTB20,TCF7L1,CUX2,FOXO3,PKNOX2,ZEB1,JUNB,TFDP1,LMX1B,REST,THRB,ASCL1
NFIA,,,,9.506417940696581,,,10.077320325723264,11.953256875053935,,,,,,,,,14.143151412274499,,,,11.08294232239822,,,,,,,9.457281053847046,18.300806486497542,,,,,,,,,,,,,,,,,,,,,,,,
BACH2,,,,,,,,,0.818277532975147,,,,,,,,0.6806472585555191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8342316945721886
JUN,,,,4.364336406933965,,,,13.101290895569788,,,,,,,,,,4.679501978564296,,,4.5126705604260104,,,,,,,,,,,,,,,,,,10.774413417572905,,,,,,,,,6.665292204690745,,,,,
RUNX1,,,,,10.69812068567629,,,,10.26546553785196,18.581288844109515,,,,10.594067869526508,,,8.300126208658329,,,,,,,,,,,,15.03640316773306,,,,,,,,,,12.82918878766458,,,,,,,,,,,,,,
JUND,,,,,0.8673146842500459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOX9,,,,,,0.8630265360197057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFIX,,,,2.9227838630771186,,,,,,,,,,,,,,,,,,,,,,,,,3.374753183582322,,2.642135775076427,,,,4.696379939304252,,,5.442296227753244,,,,,,,,,,,,,,,
TCF4,,,,,,,,0.8992516053713505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAD1,,,,3.4272175502984643,,,,13.662038149912357,,,,,,2.7813987632985526,,,13.742438667542178,3.950719470962628,,,2.6609283441474663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCF7L2,4.183624304655562,,,,,,,,,,,,,,,,,1.7945230693808576,,,,4.105949243741013,,,,,,3.6324916531768543,,,,,,,,,,,,,,,,,,,,,4.552036583411215,,,,
ESR1,,,,,,,,,,,0.8640967961079136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
