,ASCL1,BACH1,BACH2,CREB1,CUX2,EGR1,EHF,EPCAM,ESR1,ETS1,FOS,FOXO3,GRHL2,HES1,HSF2,ICAM1,JUN,JUNB,JUND,KMT2A,LMX1B,MEIS2,NCAM1,NFATC2,NFIA,NFIB,NFIX,NFKB1,NFYC,NR6A1,PBX1,PKNOX2,PROX1,RBPJ,REST,RORA_RORB,RUNX1,SIX1,SIX4,SMAD3,SOX11,SOX9,STAT1,STAT2,TBX15,TCF4,TCF7L1,TCF7L2,TEAD1,TFDP1,THRB,ZBTB20,ZEB1
ASCL1,,,,,,0.15476433695520464,,,,,,,,-0.14013751151397197,,,-0.1475362844389153,,0.045298429130705475,,,,,,,,,,,,,,,,,0.2279596553789235,,0.32355403752903517,,,,,,,,,,,,,,,
BACH1,,,,,,,0.22644174997339817,,,,,,,,,,,,0.14035470690192564,,,,,,,,,,,,,,,,,,0.11612850752888987,,,,,,,,,0.4178545745229787,,,0.35969767540478176,,,,
BACH2,-0.4585579236430471,,,,,,,,,,,,,,,,,,,,,,,,,0.10714556812710752,,,,,,,,,,,,,,,,,,,,,,,0.20456938324378682,,,,
CREB1,,,,0.90414610857011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUX2,,,,,,,-0.09283052302811723,,,,,,,,,,,,-0.053375574914674595,,,0.31326863985143016,,,,0.09586202163651453,,,,,,,,,,0.11968221418323366,-0.15148276758189505,,,,,,,,,,,,,0.1732895578194389,,,
EGR1,,,,,,,0.008115315649227184,,,,,,,,,,,,-0.011999331170010397,,,0.2418228548177418,,,,-0.02616821930438651,,,,,,,,,,0.17638117237831585,-0.09165334592716168,,,,,,,,,,,,,0.13793365328810014,,,
EHF,,,,,,,,,,,,,,,,,,,,,,,,,,0.12900092640977506,,,,,,,,,,,0.5770180603738546,,,,,,,,,,,,,,,,
EPCAM,,,,,,,,,,,-0.1792700939502782,,,0.0620367140229694,,,-0.09377216325784604,,,,,,,,,,,,,0.23204675852155288,,,,,,,,,,,,,0.07802219047991898,,,0.42755246634683153,,,,,,,
ESR1,,,,,,,,,0.8640967961079136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETS1,,,0.1832746660682914,,,,,,,,-0.19623818839374113,,,,,,,,,,,,,,,,-0.1914576058593251,,,,,,,,,,,,,,,,,,,0.6051865925661004,,,,,,,
FOS,0.0006212260614341103,,,,,0.13960575708303347,,,,,,,,,,,0.27100748367590743,,,,,,,,,,,,,,,,,,-0.04420865045196126,-0.13600752864392746,-0.12139875132872363,,,,,,,,,,,,-0.02575571924007558,-0.05091945504432338,,,
FOXO3,,,,,,,,,,,-0.2127206411165687,,,,,,,,,,,-0.16165724904169615,,,,,,,,,,,,,,0.40005364355283923,,,,,,0.34645707857015506,,,,,,,,,,,
GRHL2,,,,,,,,,,,,,,,,,,,,,,,,,0.40118308817110554,0.3539295276787789,,,,,,,,,,,0.08007238428909702,,,,,,,,,0.38024984377785315,,,,,,,
HES1,-0.1406896836007986,,,,,,,,,,,,,,,,,,0.3550891531693091,,,,,,,0.12436406267262529,,,,,,,,,,-0.048172988319163834,0.36316959001527743,,,,,,,,,,,,,,,,
HSF2,,,,,,0.09830993443928204,,,,,,,,,,,,,,,,,,,,,,,-0.1329912578151255,,,,,,,,,,,,,,,,,0.227975744271821,,,0.0498980700524273,0.3688279908427528,,,0.18496604952852003
ICAM1,,,,,,0.07389184149108885,,,,,,,,,,,,,,,,-0.16360381792977347,,,0.13983188328086438,,,,,,,,,,,-0.12021991707002722,0.35591614765080426,,,,,,0.08590572478172398,,,,,,,,,,
JUN,,,,,,-0.03877953248824473,0.12125303364426604,,,,0.3298996034006509,,,,,,,0.19679390953523418,,,,,,,,,,,,,,,,,,,-0.003243686523512368,,,,,,,,,-0.40941534048655603,,,,,,,
JUNB,,,,,,0.4505323257887191,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1561316672052364,,,,,,,,,,,,,,,,-0.3256935410356818,,,,
