,STAT2,ZBTB20,TEAD1,ASCL1,SIX1,ESR1,EHF,NR3C2,RUNX1,RORB,JUN,HIF1A,NFYC,ETS1,FOS,TBX15,PPARG,CREB1,NFKB1,NR6A1,JUNB,NCAM1,JUND,SIX4,HES1,TCF7L1,TFDP1,NFIB,HSF2,KMT2A,ZBTB7A,THRB,SMAD3,RBPJ,GRHL2,FOXO3,EPCAM,SOX11,MEIS2,NFIA,NFATC2,STAT1,REST,TCF7L2,EGR1,PBX1,RORA,CUX1,BACH1,ZEB1,CUX2,ICAM1,LMX1B,PROX1,BACH2,TCF4,NFIX
STAT2,,,5.642152012076538,,,,,,12.480598342765703,,,,-1.9604502886686936,,,,,,,,,,,,,25.249056997652804,,,-12.424230679024628,,,,,,,-2.372291337933264,,,,8.62186801750334,,,,,3.388739325016573,,,,,,,,,,,,
ZBTB20,,,,,,,3.2474034630210022,,,,-21.42591077261805,,,17.069140949005746,-6.073614259565111,24.095782831205707,,35.33576182575954,,,,,,,,17.082497543660565,,,,,,,,,,,,,,,,,,,,,,,,,,,10.048208523567654,,,,
TEAD1,,,,,,,13.712731251974038,,,,,,,,-16.811783727850255,25.408268119450508,,,,,-7.744144529913884,,24.725573300441784,,,,,,,,,,,32.37912818777107,,,,,,,,,,-1.4966607851622282,,,,,,,,,13.035457541600115,,,,
ASCL1,,,,,,,,,,39.929126132135764,,,,,-19.954777777540592,,-11.442526866780723,,,,-3.124407409693748,,17.500733035977802,,-8.273543361430683,,,,,,,,,33.05782911054357,,,,,,,,14.338328037593676,,,,,,,,,,,,,,,
SIX1,,,,,,,,,-0.8497048148071398,,,,24.066437800119033,,,,,,,,,,,,,3.214964494553543,,,,,,,-24.892160016180632,,,,,,,18.091555081068826,,,,,,-2.7848980209236425,,,,,,,21.16337453174098,,,41.81229541638082,
ESR1,,,,,,0.7137045810919235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EHF,,,,,-4.946582821378476,,,-0.7921194594183556,,,,,,,-7.47341231798123,,,,,,-3.3374800293946043,,16.013405124963185,,,,,,,,,,,,17.312166477941275,,,,,,,,,25.81704958720773,,,,,,,,,,,28.87837466818105,,
NR3C2,,,,,26.27523345893281,,,,,,,,,,-13.237768752149872,,,,,,7.30351438678971,,-11.278091867927744,,,,,,,,,,,19.9525612619866,,,,,,,,,,-26.110288734353283,,,,,14.271313638299231,,,,,,-14.239442425185315,,
RUNX1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8743364006665012,,,,,,,,,,-20.404040138760735,,,22.05773521667317,,27.07104993457026,,,7.387319121791258,,,-8.200707254476765,,,-12.664439059951562,,,4.610426354439007,
RORB,,,,5.4804783760377305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5936292064533326,1.1194205744214183,,,,0.36846366389764473,,,,,,,,,,,,,5.8370456169175835,,,,
JUN,,,,,,,,,,,,,-14.478998305815956,-15.147531904923781,44.63809965746929,,,,,,,,,,,,,,,,,-19.388426629781414,28.17057583208654,,-8.49319736822034,-5.047052213601795,,,,,,,,,-3.978706339754612,,,,,,,,,,,,
HIF1A,,,16.105403261919133,,27.597684147717032,,1.9416528204328252,,,,,,,,,,,,,,,,,,,,,,,,,,,21.242728091042373,,,,,,-3.6354250463962536,25.373891056433635,,,,,,,,16.463027001997254,6.669964212455171,,,,,,,
NFYC,,,,,,,,,,,,,0.7654716230395638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETS1,,,,18.902267802617775,,,,,,,,,16.149106155050994,,-23.276038204665724,,,,,,,,6.427110890929418,,,,,,,,,,,,,,,,,,13.5368512138959,,,,,,,,23.591245356087256,11.514636549639185,,,,,,21.249205332552048,
FOS,,,,,,,,,-0.011811542548364529,,,,,,,,,-14.522587773997529,,,,,,,7.249777450692924,,,,-19.690786777584325,,,,,,,-26.530134410645548,,,,6.67217946269435,,,,,,,,,,4.3581566493543065,,,,,,-14.751306274133633,
TBX15,,,,,10.343771277449429,1.489097516942316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.657456669032277,,,,,2.698586979882455,7.297912147256207,,,,,,,,,,,,,,,,-9.078084860655418
PPARG,,,,,-12.90964982962225,,,,,,2.9549846796663095,,,,,,,1.7276384836216647,,,,,,,,,,,,,,,,,,,,,,,-30.77356018372421,,,,-22.90061105601903,,-8.282027244041934,,,-22.280275101117088,,,,,,-6.72928748096266,
CREB1,,,,,,,,,,,,,,,,,,0.8442301527613707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFKB1,,,,,,,,,,,-18.56631886766667,,,,-20.073835440594106,,,,,,14.173486737231444,,18.760384782132917,,,,,35.4856431525743,,,,17.985219267936333,,,,18.135061451446713,,,,,,,,,,,,,,,,,,,2.642522359612078,,
NR6A1,,,,,,,,,,,,,,,,,,,,0.7829863577242777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUNB,,,-3.7641792040083875,,,,-15.578377421734105,,,,,,,,,,,,,,,,,,,,,2.4536480571779493,,,,-5.160595716067215,,-13.191937959497496,,,,,,,,,,,39.24698275066207,,-11.187856321708225,,,,,,,-5.946767613412246,,,
NCAM1,,,,,,,,,-5.712953244045506,,,,10.834261748529562,,,,,,,,,,,,,,18.64402702289001,,,,,,,,,,,,11.136236831359883,10.806285230666154,,,,,4.607657403227781,,,,,,,,,,,,-14.368976433237421
JUND,,,,,,,,,,,,,,,,,,,,,,,0.7263591641774437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIX4,,,,,35.34794376169603,,,,-1.7329016937836883,,,,26.146248081316497,,,,,,,,,,,,,,,,,,,,-10.388173369051723,,,,,,,17.255203498124395,17.566980851841514,,,,,0.46096834042141055,,,,,,,13.449541750506615,,,,
