,ASCL1,BACH1,BACH2,CREB1,CUX1,CUX2,EGR1,EHF,EPCAM,ESR1,ETS1,FOS,FOXO3,GRHL2,HES1,HIF1A,HSF2,ICAM1,JUN,JUNB,JUND,KMT2A,LMX1B,MEIS2,NCAM1,NFATC2,NFIA,NFIB,NFIX,NFKB1,NFYC,NR3C2,NR6A1,PBX1,PPARG,PROX1,RBPJ,REST,RORA,RORB,RUNX1,SIX1,SIX4,SMAD3,SOX11,STAT1,STAT2,TBX15,TCF4,TCF7L1,TCF7L2,TEAD1,TFDP1,THRB,ZBTB20,ZBTB7A,ZEB1
ETS1,0.14767396720795145,0.18430660434443175,,,,,,,,,,-0.18184404847395103,,,,,,,,,0.05021180383538615,,,,,0.10575665010856172,,,,,0.12616489183633606,,,,,,,,,,,,,,,,,,0.1660094166605628,,,,,,,,0.08995809804405619
FOS,,,,-0.1134577169843557,,,,,,,,,-0.20726667508316848,,0.05663888633353842,,-0.15383427169987746,,,,,,,,,,0.052126402052299514,,,,,,,,,,,,,,-9.227767615910265e-05,,,,,,,,-0.11524458026666906,,,,,,,,0.034048098823080575
FOXO3,,,,,,,,0.15867219479723865,,,,-0.2264813511853394,,,0.16912916020351942,,,,,-0.14217360040522625,0.177585706433591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0635475816206103,,,0.2018715900385285,,,,
GRHL2,,,,,,,,-0.0017832478726602097,,,0.10454742078490364,,,,0.147391835641225,,,,,,,,,0.021347568393844996,,,0.21832675469690227,,,,0.1400791002184587,,,,,,,,0.17782557272566163,,,,,,,,,,0.19924277195634638,,,,,,,,
HES1,,,,0.1340335516992756,,,-0.07567931271603578,,,,,,,,,0.006439547742769558,,,,,,,,,,,,,,,,,,,,-0.11455868888465803,,,0.06381265065665204,,,,,,,0.30032933330659434,,,,,,,,,,-0.05606472251298722,-0.1785495946842121
HIF1A,,0.1286173984531036,,,,,,0.01516916265963153,,,,,,,,,,,,,,,,,,0.19823352387838772,-0.028401758174970704,,,,,,,,,,0.1659588132112687,,,,,0.21560690740403943,,,,,,,,,,0.12582346298374314,,,,,0.05210909540980602
HSF2,,,,,,,0.15364099078276905,,,,,,,,,,,,,,,,,,,,,,,,0.007529306363949939,,,,,,,,,,,,,,,,,,0.2772040738654079,,,0.1074494599899728,0.3111584237231241,,,,0.09690186939731105
ICAM1,,,,,,,-0.009686414601883464,,,,,,,,,,,,,,,,,-0.16914722204117055,,,0.1350138503686506,,,,,,,,,,,,,,0.23618337619405083,,,,,0.07168832959424515,,,,0.006200280959541005,0.16206889256518225,,,,,,-0.03181649137869991
JUN,,,,,,,-0.031083643279332995,,,,-0.11834009300721715,0.3487351535739789,-0.039430095418763966,-0.06635310443922149,,,,,,,,,,,,,,,,,-0.11311717426418716,,,,,,,,,,,,,0.22008262368817633,,,,,,,,,,-0.15147208304516724,,,
JUNB,,,,,,,0.30661705273954726,-0.12170607360729757,,,,,,,,,,,,,,,,,,,,0.019169125446702906,,,,,,,,-0.04645912197978308,-0.10306201530857423,,-0.08740512751334562,,,,,,,,,,,,,-0.029407650031315513,,-0.04031715403177516,,,
JUND,,,,,,,,,,,,,,,,,,,,,0.7263591641774437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMT2A,,,,-0.053524172790571534,,,,,,,,,,,,,,,,,-0.17577528041174884,,0.24641276086813813,,,,,-0.10252432131572575,,,,,-0.03653955972660139,,,,,,,,,,,,,-0.18320475381358692,,0.09608543790972413,-0.019643868301215672,,,,,,,,
LMX1B,0.4029031286774384,,,,,,,-0.04383249112539567,,,,-0.07658317450988816,,,-0.08981672489975923,,,,,0.11137059297405338,,,,,,,,,,,,,,,,,,,,,-0.1338171845605155,,,,,0.01651348557132959,,,,,,,,,,,0.20978357044096496
MEIS2,,,,,,,0.17745755308350725,-0.1517139627761429,,,,,-0.03557094810959649,,,,,,,,,,0.26008861186217447,,,,,,,,,,,,,,,,,,-0.13329726758665217,,,,,,,,0.19022984306139745,,,,,,,0.015800820072433996,0.09552189819129886
NCAM1,,,,,,,0.071994646925434,,,,,,,,,,,,,,,,,0.17400370048999825,,,0.16884820672915857,,-0.22451525676933481,,0.16928533982077443,,,,,,,,,,-0.08926489443821106,,,,,,,,,,,,0.29131292223265626,,,,
NFATC2,0.101356141732098,,,-0.036594060171031284,,,,,,,,0.01614180672305643,,,,,,,-0.03476077327244986,,,,0.24461083035813985,,,,,,,,,,,,,,,-0.21097688890617622,,,,,,,,,,,0.020107225901128012,,,,,,,,0.13825699564647176
NFIA,,,,,0.1486159129549589,-0.022204431989433115,,,,,,,,,,0.045891066599359764,,,,,,,,-0.15850089338043488,,,,,,,,,,,,,0.24491725061449476,,,,,,,,,,,,0.1803255073180624,0.2824334780873137,,,,,,,
NFIB,0.1793556568143148,,,,,,,,,,,,,,,,0.11637626910712828,,,,,,,,,,,,,,,,,,,,0.16535860535875835,,,,,,,,,0.15937115382914774,,,0.18197989281473392,0.1395394631313065,,,,0.18373036069881266,,,-0.05093619778848285
NFIX,,,,,,,,0.11332322687397689,,,,,,,,,-0.16236209002761898,,,,,,,,,-0.25816267871440235,,,,-0.025276808012115348,,,,,,,,,-0.11498730260430662,,,,,,,0.13559982579475255,,,,,,,-0.10405028878260608,,,-0.07746783425947679,
NFKB1,,,0.02064470593446943,,,,,,,,,-0.15682683937964137,0.14168016758942753,,,,,,-0.14504936615364583,0.11073036513462059,0.1465655061104134,,,,,,,0.2772315871294864,,,,,,,,,,,,,,,,,,,,,,,,,,0.14050952553075263,,,
NFYC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7654716230395638,,,,,,,,,,,,,,,,,,,,,,,,,,
NR3C2,,0.11149463779921276,-0.11124564394676018,,,,,,,,,-0.10342006837617079,,,,,,,,0.05705870614679465,-0.08811009271818548,,,,,,,,,,,,,,,,0.15587938485927028,,,,,0.20527526139791258,,,,,,,,,-0.20398663073713508,,,,,,
NR6A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7829863577242777,,,,,,,,,,,,,,,,,,,,,,,,
PBX1,,0.24443600660353954,,0.004989424057377123,0.05318484333678897,-0.0701095821125699,,,,,,0.045591980585143244,,,,,,,,,,,-0.011491965505974422,,,,,,,,,,0.06450884103866927,,,,,,,,,,,,,,,,,,,,,,,,
PPARG,,,,0.013497175653294224,,,-0.1789110238751485,,,,,,,,,,,,0.023085817809892994,,,,,,,-0.24041843893534554,,,,,,,,,,,,,-0.06470333784407756,,,-0.10085663929392363,,,,,,,-0.052572558445020845,,,,,,,,-0.17406464922747722
PROX1,,,,,,,,,,,,,,,,,,,,,,,,,,0.4603416699404077,,,,,,,,,,,0.4365601177794333,,,,,,,,,,,,,,,,,,,,
RBPJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8033016345108884,,,,,,,,,,,,,,,,,,,,
REST,,,,,,,-0.11601926932128803,,,,,-0.015561222133583352,,,,,,,0.0623386202069125,,,,,,,,,,,,,,,,,,0.019863649927299887,,,-0.16669714665335067,,,,,,,,,-0.030036138250325417,,0.17760699005541025,,-0.01642752135031733,,,,-0.1048035544781254
RORA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7826527103107254,,,,,,,,,,,,,,,,,,
RORB,0.34252989850235827,,,,,,,,,,,,0.06996378590133856,0.1621018254033334,,,,,,,,,0.36481535105734897,,,,0.0230289789936029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUNX1,,,,,,,,,,,,,,,,,0.00683075313020709,,,,,,-0.09894093015587169,-0.15940656358406835,,,,,,,,,,,,,,,0.057713430638994256,,,,,,,0.17232605638025922,,,0.03601895589405474,,0.21149257761383006,,,,,,-0.06406802542559975
SIX1,,,,,,,,,,,,,,,,,,,,,,,0.16533886352922633,,,,0.14134027407085037,,,,0.18801904531343006,,,-0.021757015788465894,,,,,,,-0.006638318865680726,,,-0.19447000012641125,,,,,0.32665855794047505,0.025116910113699487,,,,,,,
SIX4,,,,,,,,,,,,,,,,,,,,,,,0.1050745449258329,,,0.13724203790501183,0.13480627732909678,,,,0.20426756313528516,,,0.0036013151595423176,,,,,,,-0.013538294482685176,0.27615581063825023,,-0.08115760444571662,,,,,,,,,,,,,
SMAD3,,,,-0.3539665501880762,,,,0.16143961770038356,,,,,-0.018931549698783856,,0.1116448474741174,,,,,,,,,,,,,,,,,,,,,,,,,,0.25841430897764495,,,,,-0.01653298545551163,,,,,,,,-0.14072410069294933,,0.03807726942027173,
SOX11,,0.16837549950874664,,0.3242114238777266,,,,,,,,,,,,,,,-0.20541880738710383,,,,,,,,,,,,,,,,,,,,,,,,,-0.2552228767343997,,,,,,,,,,,,,
STAT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7206131566008432,,,,,,,,,,,
STAT2,,,,,,,0.026474525976691865,,,,,,-0.018533526077603613,,,,-0.09706430217987982,,,,,,,,,,0.06735834388674483,,,,-0.015316017880224297,,,,,,,,,,0.097504674552857,,,,,,,,,0.19725825779416262,,0.04407931259434783,,,,,
TBX15,,,,,,,,,,0.04653429740444748,,,,0.17679552090725859,,,,,,,,,,,,0.22805975460175654,0.08433084312132672,,-0.28369015189548186,,,,,,,,,,,,,0.3232428524202947,,,,,,,,,,,,,,,
TCF4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7705246241894069,,,,,,,,
TCF7L1,,,,,,,,0.18012977773094785,,,,0.09721085329591744,0.06908394158279146,0.1625161533889662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1251502271549429,,,-0.009563383656942148,,0.026706743967597146,,,-0.19325341764493642
TCF7L2,,,,,,,-0.04517229367139192,,,,,,,,,,,,,,,,,-0.14397246490725468,,,0.1347521210076565,,0.18166587053885624,,,,,,,-0.15051955350174495,,,,,,,,,,,,,,0.11057024975577473,,,-0.15897475918990606,,,,
TEAD1,,,,,,,,0.10713071290604714,,,,-0.13134206037383012,,,,,,,,-0.0605011291399522,0.1931685414097014,,0.10183951204375086,,,,,,,,,,,,,,0.2529619389669614,,,,,,,,,,,0.19850209468320712,,,-0.011692662384079955,,,,,,
TFDP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7552929518214624,,,,
THRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5676163152804365,,,,,,,,,,,,,,,
ZBTB20,,,,0.2760606392637466,,,,0.025370339554851573,,,0.1333526636641073,-0.047450111402852546,,,,,,,-0.16738992791107854,,,,0.07850162909037228,,,,,,,,,,,,,,,,,,,,,,,,,0.18824830336879472,,0.13345701205984806,,,,,,,
ZBTB7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7319966487664651,
ZEB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7352758770600663
