,ASCL1,BACH1,BACH2,CREB1,CUX1,CUX2,EGR1,EHF,EPCAM,ESR1,ETS1,FOS,FOXO3,GRHL2,HES1,HIF1A,HSF2,ICAM1,JUN,JUNB,JUND,KMT2A,LMX1B,MEIS2,NCAM1,NFATC2,NFIA,NFIB,NFIX,NFKB1,NFYC,NR3C2,NR6A1,PBX1,PPARG,PROX1,RBPJ,REST,RORA,RORB,RUNX1,SIX1,SIX4,SMAD3,SOX11,STAT1,STAT2,TBX15,TCF4,TCF7L1,TCF7L2,TEAD1,TFDP1,THRB,ZBTB20,ZBTB7A,ZEB1
ASCL1,,,,,,,,,,,,-0.15589670138703576,,,-0.06463705751117721,,,,,-0.024409432888232385,0.13672447684357658,,,,,,,,,,,,,,-0.08939474114672441,,0.2582642899261217,,,0.31194629790731065,,,,,,0.11201818779370054,,,,,,,,,,,
BACH1,,,,0.1769816445882776,,,,,,,0.1780699172466116,-0.13479908515395989,,,,,,,,-0.0671217975299907,,,-0.06346452665111157,,,,,,,,,,,,,,,,,,,0.08956602352505533,,,,,,,,,0.07579850193170246,0.19451179254842965,,,,,
BACH2,,0.11205328730022146,,,,,,,,,,0.06008054092063081,,,,,,,,-0.09483022377506267,-0.06818438932834009,,,,,,,,,,,,,,,,,,-0.13751470820329864,,0.16734991537301325,,,,,,,,,,,0.03456235470311236,,-0.08042260807030183,,,
CREB1,,,,0.8442301527613707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUX1,,,,,,,-0.04507468246266727,0.13176713668414375,,,,,,,,,,,,,,,,-0.20940860512459852,,,,,,,,,-0.035715858939300626,,,,,,-0.09415338848462534,,,,,,,,,,,,0.20096336556467276,0.013060957401387407,,0.037041694609673825,,,
CUX2,,,-0.0819045437929849,,,,,-0.11057921760170714,,,,-0.07594370443328624,-0.043144966793842165,,,,,,,,0.13768151168274734,,,,,,,0.3479393418219201,,,,,,,,,,,,,,,,,,,,,,,-0.2957923573538207,,,,,-0.11019721106076735,
EGR1,0.10759215513163867,0.03646923337434749,,,,,,,,,,0.11479122302141898,,,,,,,,,,,,0.24771995928125057,,0.16366461360399365,,0.05177051161213497,,,,,,,,,,,0.06546405941283973,,,,,,,,,,,,,0.06280357116114843,,,,,
EHF,,,0.22561230209516425,,,,,,,,,-0.05838603373422835,,0.13525130060891605,,,,,,-0.026074062729645298,0.12510472753877488,,,,,,,,,,,-0.006188433276705929,,,,,,,,,,-0.03864517829201941,,,,,,,,,0.20169569990006037,,,,,,
EPCAM,,0.11854310221020437,,0.22252679890036148,,,,,,,0.19515094100129482,-0.1569668688273378,,,,,,,-0.15598653357874714,,0.10756127718522207,,,,,,,,,,,,0.14488463842717564,,,,,,,,,,,,,0.002333796936224042,,,,,,,,,,,
ESR1,,,,,,,,,,0.7137045810919235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
