,STAT2,ZBTB20,TEAD1,ASCL1,SIX1,ESR1,EHF,NR3C2,RUNX1,RORB,JUN,HIF1A,NFYC,ETS1,FOS,TBX15,PPARG,CREB1,NFKB1,NR6A1,JUNB,NCAM1,JUND,SIX4,HES1,TCF7L1,TFDP1,NFIB,HSF2,KMT2A,ZBTB7A,THRB,SMAD3,RBPJ,GRHL2,FOXO3,EPCAM,SOX11,MEIS2,NFIA,NFATC2,STAT1,REST,TCF7L2,EGR1,PBX1,RORA,CUX1,BACH1,ZEB1,CUX2,ICAM1,LMX1B,PROX1,BACH2,TCF4,NFIX
STAT2,,,16.453712347220897,,,,,,18.587458687695634,,,,14.263954812622986,,,,,,,,,,,,,27.19945237783248,,,19.392609251563172,,,,,,,15.559083354879336,,,,18.694932028796508,,,,,15.775025427887826,,,,,,,,,,,,
ZBTB20,,,,,,,14.272048146258555,,,,22.63828341390588,,,19.86856793883197,13.675269057936683,27.352586171330337,,35.33576182575956,,,,,,,,22.21295475086924,,,,,,,,,,,,,,,,,,,,,,,,,,,20.470679381960498,,,,
TEAD1,,,,,,,17.229236020856465,,,,,,,,17.924071036335285,27.174304084183007,,,,,14.40045580665398,,26.708068430154253,,,,,,,,,,,32.393398630292,,,,,,,,,,11.685958389145277,,,,,,,,,18.685072752955175,,,,
ASCL1,,,,,,,,,,39.99369463600429,,,,,21.98835102911536,,15.860141758211366,,,,13.569840689939282,,26.587364060498672,,19.018024710113906,,,,,,,,,33.057829110543565,,,,,,,,19.192075034199075,,,,,,,,,,,,,,,
SIX1,,,,,,,,,14.262193197528527,,,,24.784471414878595,,,,,,,,,,,,,14.12469000578567,,,,,,,25.38947093993271,,,,,,,23.835207022559786,,,,,,12.936041673184421,,,,,,,23.567119814599486,,,41.812295416380806,
ESR1,,,,,,0.7137045810919235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EHF,,,,,18.78869410025957,,,17.321216265185058,,,,,,,16.134438249183518,,,,,,18.32710529437301,,22.681689127115003,,,,,,,,,,,,21.832589572006,,,,,,,,,26.503415392483593,,,,,,,,,,,30.768215618717857,,
NR3C2,,,,,30.588703084117455,,,,,,,,,,16.091160036681824,,,,,,17.997406579332882,,27.413042871476186,,,,,,,,,,,21.62254693952639,,,,,,,,,,26.709192367297167,,,,,19.55322151839248,,,,,,21.325835202459498,,
RUNX1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.84984556188542,,,,,,,,,,20.84558801571731,,,26.18788325559568,,27.07104993457027,,,14.451782552950997,,,12.27918163313813,,,16.420306036499625,,,16.768484973420495,
RORB,,,,5.5106479705394005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0893660438948896,1.96881082164625,,,,3.3191909819854466,,,,,,,,,,,,,5.8370456169175835,,,,
JUN,,,,,,,,,,,,,15.137574224168215,17.006922004085133,44.63809965746931,,,,,,,,,,,,,,,,,21.211567095925478,28.978119704852254,,16.25313337374782,14.416083556071591,,,,,,,,,14.284269584036638,,,,,,,,,,,,
HIF1A,,,17.802302708650025,,27.74353132075387,,16.26288273096941,,,,,,,,,,,,,,,,,,,,,,,,,,,21.981153641227156,,,,,,15.101979150980442,25.705319651845002,,,,,,,,17.888115876592536,10.94838594206697,,,,,,,
NFYC,,,,,,,,,,,,,0.7654716230395638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETS1,,,,20.693668856931392,,,,,,,,,16.317550359162798,,23.276038204665745,,,,,,,,13.282513562821801,,,,,,,,,,,,,,,,,,15.151918456272279,,,,,,,,23.591245356087274,13.344886402889237,,,,,,22.298542612099165,
FOS,,,,,,,,,12.137172723589632,,,,,,,,,19.534774260593633,,,,,,,14.422675072582553,,,,20.30335729096123,,,,,,,27.25006848734194,,,,15.072378159786549,,,,,,,,,,16.374973920361178,,,,,,18.302485278654824,
TBX15,,,,,10.343771277449427,2.955752679517861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.045323517870475,,,,,4.707559423261973,7.297912147256207,,,,,,,,,,,,,,,,9.078084860655418
PPARG,,,,,14.403141444381024,,,,,,17.64458630364776,,,,,,,15.46493323335721,,,,,,,,,,,,,,,,,,,,,,,31.140689476327882,,,,23.050129143507775,,10.386458451047579,,,22.94661704067263,,,,,,11.051402860647995,
CREB1,,,,,,,,,,,,,,,,,,0.8442301527613707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFKB1,,,,,,,,,,,21.563072882950756,,,,20.286349114464308,,,,,,16.008868625819183,,22.162745460618314,,,,,35.545649176270764,,,,21.683537734524325,,,,18.28264872176587,,,,,,,,,,,,,,,,,,,14.896291301308196,,
NR6A1,,,,,,,,,,,,,,,,,,,,0.7829863577242777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUNB,,,9.734688685132342,,,,20.025555026075402,,,,,,,,,,,,,,,,,,,,,14.83195957349561,,,,13.563744234093841,,14.07463437425995,,,,,,,,,,,39.24698275066206,,12.822254134594603,,,,,,,13.866844860980718,,,
