,lq,uq
TEAD1,0.739668311571726,1.0002152676755578
TCF7L1,0.09046800810946867,0.24200193268476575
TFDP1,0.7694294747985353,1.0214716315098749
NFYC,0.3893029055941048,0.540574900774253
EGR1,0.35370484683246717,0.9849116365200864
HSF2,0.2638845840094325,0.4121233668780261
CREB1,0.3961685715543181,0.5769148290698743
TCF4,1.6579408827616642,2.099877012717032
NFKB1,0.20221862453556053,0.2876707288258927
SIX1,0.3141559720815056,0.5900955846011677
ZEB1,0.45384185538492533,0.8298960549282517
SMAD3,0.017239624169633434,0.06197789558051465
ESR1,0.0022976913143001143,0.03771748519977146
SOX11,1.3662367834271962,1.7699307342795603
RORA_RORB,0.2659009760415494,0.48178765587909483
STAT1,0.04379821411216219,0.08084426425272573
ASCL1,0.7666125297862768,1.6426543039236143
GRHL2,0.1267820820385346,0.23746941913315414
THRB,0.03625835770353996,0.18206888928706685
NFIA,0.23963309411841383,0.6390203862944379
FOXO3,0.21638119906958553,0.3461705662561481
STAT2,0.047992368838822824,0.0864243330022355
EHF,0.07935037603096955,0.11655061013871404
LMX1B,0.07035866827035357,0.16403070518410542
ZBTB20,1.4122294360137748,2.0160704128427946
TBX15,0.04691495012609476,0.1438207769663077
MEIS2,0.7473030577660588,1.5794137785715279
NFIX,0.885894144493606,1.303420183712908
REST,0.029911691070846527,0.05332261994657451
NFATC2,0.08337424031352282,0.19206422618150473
KMT2A,0.7834893975384098,1.0378967440859226
RBPJ,0.38927280750092014,0.5121772524502716
HES1,0.11981522857131853,0.1733648836951855
JUNB,0.4503207259497091,0.7393455976868845
ICAM1,0.012960232406462572,0.0247451008088712
RUNX1,0.052175299986251616,0.10118421196489102
SIX4,0.15533462655469019,0.31787231882089667
NFIB,2.1750354299642627,2.755003532824295
JUN,0.7902337451220789,1.2435146094096234
NCAM1,1.0688294374703509,1.573786015513778
PROX1,0.8533229407559603,1.3150906009190009
TCF7L2,0.025925491117319666,0.04791877856397511
PKNOX2,0.10252069673058192,0.19876226398188018
ETS1,0.05915719621141846,0.14620381044559785
BACH2,0.21712645810048645,0.4710997869790631
JUND,1.5076843171593477,1.8063159562361564
NR6A1,0.471996363741052,0.729060685950055
PBX1,1.0831565436133592,1.5306688083085187
EPCAM,0.5923608484901419,1.2387021446145623
BACH1,0.1565506048534217,0.2288382786549932
SOX9,-0.005417690100337365,0.04156665670352844
CUX2,0.1528212988121565,0.37296380055987854
FOS,0.49305028822621716,1.0120793157732175
