"","PC_1","PC_2","PC_3","PC_4","PC_5","PC_6","PC_7","PC_8","PC_9","PC_10","PC_11","PC_12","PC_13","PC_14","PC_15","PC_16","PC_17","PC_18","PC_19","PC_20","PC_21","PC_22","PC_23","PC_24","PC_25","PC_26","PC_27","PC_28","PC_29","PC_30","PC_31","PC_32","PC_33","PC_34","PC_35","PC_36","PC_37","PC_38","PC_39","PC_40","PC_41","PC_42","PC_43","PC_44","PC_45","PC_46","PC_47","PC_48","PC_49","PC_50"
"Scgb1a1",0.102009371620927,0.00505993581703202,-0.0494418273637922,0.00902309034793322,-0.0138412414945764,-0.00972792068641832,-0.00322474254911323,-0.0786437378895719,-0.00974913453807254,-0.121133933761429,0.0229552765762791,-0.0631689222227663,0.0789705068313751,0.0409798319379328,0.00189858822684066,-0.00725938729258966,-0.058956093233806,0.0317724502268372,0.0405994258441251,0.0277074155579962,-0.00174826792504272,0.00758327809567428,-0.0584265835886761,-0.0717543526424864,0.00278502653697237,-0.0121269588548545,-0.0438844800962381,-0.0179856901042768,0.00120946271967847,0.0227594072919741,-0.0032517996036628,-0.00605155094881024,-0.00323731193128915,-0.0116336070231525,0.000709336787395981,-0.00528143681204352,0.027771409867696,-0.0143003361199952,-0.00475537985182268,-0.0340145808714299,0.00238782335442942,-0.00571026278839436,-0.0218417718933286,0.0175084875552041,0.0049108845396189,-0.0264159634320712,-0.000269538626871999,4.61150179000855e-05,0.0311256922074001,0.0046059750182358
"Hsp90aa1",-0.000106557564997956,0.0746888302684733,0.149938973142232,0.0323380657579657,-0.077084501932159,-0.114423774960862,0.0324855383338393,0.064116577839482,0.0348722794989914,-0.00836162087881306,-0.00659204215830269,0.0407731635721108,0.0642161124714029,0.04401168452626,0.0101689108694287,0.0390582220745934,-0.0794207642853696,-0.0480296410143016,-0.0204179370700192,0.0109155407572609,0.0285895509629662,0.0428820433234796,0.0382937047676828,0.000255220334770183,0.0554556805578319,-0.000239927104647992,0.0126206460563115,0.000411086595854588,0.0365400669725405,-0.0270529304434467,-0.0330829649716231,-0.0266274485874151,-0.00345226417646228,0.0125046786428769,-0.00772875197341008,0.0184973426513409,-0.011305273782674,-0.00733624473508735,0.00129779544494193,-0.00707902614375069,0.0143150128687333,0.0114721332332396,-0.000430669774962249,-0.00708865229154116,0.00213633362471808,0.00794131304735386,0.00936169999878468,-0.00508923658112727,0.00138562919362047,-0.00194195987988767
"Sftpc",0.0182453727290763,-0.0191769313304431,0.00279232763173587,-0.0138316973998986,0.154803957822771,-0.0129157634988532,0.209331675912741,0.042911018110945,0.0064518080691015,0.0324816606944316,-0.00819627834723274,0.0166353833444449,0.026867944054713,0.00192924330600548,-0.003033297221849,-0.0223078289181488,0.0227345623757062,0.0486126861258144,-0.0125868918212556,-0.00887660009857151,0.0210525864404288,0.00624189140316511,0.0168353008366441,0.0719488043123414,-0.0100976930449672,-0.0153970175798184,0.0154702458968558,-0.0133165992627772,-0.00191425879335733,-0.025515158443719,0.0120328476727404,0.00875405431804377,0.000425314950830618,-0.00362677682349753,-0.02322829749168,-0.0107821625068171,-0.0407004345155816,-0.00778820431874452,0.00692784868440524,0.00894618791716451,-0.00222400604987236,-0.00998922871012165,-0.000149592084408265,-0.00177748155047426,0.017282434244438,-0.00200130199135813,0.000400683190286126,0.00665488757703165,0.0311548477790963,0.0251140550140171
"Tenm2",-0.0156043905631595,0.010534284204577,-0.011533840010077,0.0347616102858857,-0.00140084140676776,0.00588378806059529,-0.000289698622485024,0.00014960808892703,-0.153790683155585,0.0227014138873513,-0.103241737986767,0.0204321299221163,0.0611467919072082,-0.0471251247104195,0.0109801796231556,0.0736526507753382,0.0349268255198213,0.0108932548997114,-0.00767384744328395,0.0329248044461444,0.0503518289346106,-0.071258007430827,-0.103246178279898,0.000743368443980921,0.0605884369118552,-0.0212004589983081,0.00680562808284345,-0.0552291456634994,0.0666487132857293,-0.0975560187027775,-0.00889346954509592,-0.0653541934902928,0.0273005814693184,0.141541796054123,0.00806656132281504,0.0205692744126476,0.0177607196990345,-0.0716143854724046,-0.0637532692267495,-0.0148923633761685,-0.00252031077646861,0.056823108730446,0.0631695235334054,-0.0304508210365699,0.0961159911353014,0.00925590156933192,-0.00418862870632492,0.0149070008916545,0.0417744552984687,0.00540974511528418
"Gm49961",-0.00152188247813676,0.00574184983364557,0.0134711148164476,0.0100567902208948,-0.00827510940336217,-0.00816772207632295,0.00187836039280538,0.00767519962581417,-0.00177589107968772,-0.00242714674978002,0.0063404457169271,0.00453071996020122,0.0107161125023027,0.00194389572805978,-0.000620711423793605,-0.0012450984949746,-2.60777254932604e-05,0.00192927989633295,0.00190661221553333,0.0103391850332549,-0.000567448575515352,-0.0105689939858038,-0.00555805067532201,0.00372229424164466,0.00792296714856348,-0.00738281603953457,0.00447223349638522,0.000337720995456539,0.00388737853593518,0.00500732320567748,0.0129658049041106,-0.00951165461579661,0.00345001635845163,-0.00836385567093378,-0.00305342913856726,-0.00211346383595848,-0.014296001324279,0.000191827634657989,0.00521629520346827,-0.00491366956427006,-0.004089039189402,0.00807786730742746,0.00733189964718194,-0.0160086888443715,0.00101883474305824,-0.00813316365180642,0.0157482719629231,-0.00230290917629126,0.00197004798190922,0.0107597656296336
"Nefm",-0.0122348300815036,0.0141867924173603,0.052022242771709,0.0143189585820037,-0.0161265765001065,-0.0241843076372829,0.015492280939419,-0.00909505963569545,-0.0154724633701408,-0.0363849705793849,-0.0209845670220163,0.0677429257217498,0.00406123914724339,-0.0150962989458491,0.0252435738908938,-0.0149389121005428,0.00702695621693044,-0.014840964426245,-0.00226313747771978,0.0394408073758229,0.0148040944064442,-0.00543659156181475,0.0421280766366426,-0.00234228803157487,0.00136647612907544,0.00698031612930114,0.0407433082805236,-0.0165862723320736,-0.0101800866334341,0.0553176356737673,-0.0210196539543735,-0.0479699213037721,-0.03685441141225,-0.0458861978753735,-0.0329824863325934,0.0122295039209806,0.00619937092251662,0.00171973581965577,-0.0193482944559179,-0.0625693396734207,0.0381788232050948,0.0213731343875781,-0.0203126078240383,0.0319158169394654,0.0296317848179594,-0.0512106280594766,-0.0117254493982879,0.00154925646675176,0.00157481609518313,0.0172940658245097
"Gpr158",-0.0328144883977964,0.0745644954649502,0.043644259357676,-0.117290272376346,0.0352310876587584,0.1335536128321,-0.0177388419614295,-0.049751551035062,0.0703877614419936,-0.00780651219430361,0.00725450548114347,-0.00101536953988411,0.0244465865312318,0.0370072804366988,-0.00777780016629736,0.0154625501125719,-0.0339178038550972,-0.0154023317260368,-0.0278267102890215,0.00564511503186345,-0.00604702531368374,0.0211763802539511,-0.0320082825086789,0.0150063275432973,0.0256908952381752,0.00166662870809621,-0.0074361383271992,-0.00955941672418191,0.022332470332072,-0.00675561081301903,-0.0105848512528602,-0.0209872757019014,-0.00339986977243167,0.0352187903973742,-0.0158447900723709,0.019075228470524,0.0241705175052664,-0.0191829399338018,0.0334852359825175,-0.0224661132432029,-0.0321062801990462,-0.0156578397366817,0.0120068692893492,-0.0202751172478304,-0.017365947226465,0.0151697664498191,-0.00556608255993609,0.0132242079414011,-0.0100913739607824,0.0387494574935517
"Slc6a14",0.0176304297429182,0.0298594504018327,0.0347185133249584,0.00254181605890191,-0.0118964425185643,-0.0373662175370772,0.00826192604036315,0.00221429451367168,0.00567867437318179,0.0441666277501751,-0.00830672654049489,-0.015796976238533,-0.00870145872920615,0.0570291061417793,-0.0276203524760033,0.00100802966009375,-0.0152624283185079,-0.019478284950892,-0.0353618114172064,-0.00641063973834446,0.0135433379429745,0.00669020148112528,-0.0340495234318094,0.00503865326352275,0.0113322823156286,0.0272732995245583,-0.0183813236350579,-0.0354607534316396,0.0291064600883057,-0.00150800928846627,0.00524050851147476,-0.0145247605092217,-0.00322567892848495,0.0313273969342766,0.0219368812824968,0.0247224805814197,0.059841898893708,-0.0252683140207448,-0.0188857950026185,0.00773573979234785,-0.0487649358351287,-0.0159754972585113,-0.00992875700188435,-0.0294387424907282,-0.0142769138758775,0.0117197201395345,0.0300519028374512,0.0221952931078946,-0.0189422464857548,-0.0215979883500277
"P2rx7",0.00461201099376913,0.00978378001600993,0.0157549430896783,0.0502696293726517,-9.80164979298104e-05,0.0329500882074661,0.000334270696139087,-0.0279783291304748,0.0380921798521628,-0.0295060925516739,-0.0317370101569424,0.0412447516458811,-0.0245148160555146,-0.0578810951216293,0.020342447420465,-0.0683693724624646,-0.0507657619548061,-0.0127893745394256,-0.0513164057786099,-0.0751634904645253,-0.0152731060516392,0.0077269887498153,-0.00486895322293669,0.0375714503101246,0.0123364493618334,-0.0210214979280134,0.00420910059975701,0.00218129906937606,-0.0320912380877462,-0.0192258602954539,-0.0472932751153253,-0.0149522352027221,-0.01120277889757,0.0326773190772034,0.0103852792077448,0.0122185768640532,0.010473714750535,-0.0254723249469411,0.0237423846461452,-0.00349955782425698,0.00397570043044804,0.00244674760605294,-0.0188444882897504,-0.00185592908851807,0.0109658790551124,-0.0288840338780464,-0.00358719851290888,-0.012087746215529,-0.0079363194889238,0.00852276939573394
"Hsph1",0.0042152601322218,0.0721235162673735,0.13048226783723,-0.00880190784261443,-0.0594629248560078,-0.0897081790421186,0.0196411898422873,0.0936663106482946,-0.0227779623041295,-0.0185878855845934,0.0408674399260729,-5.39590541979134e-05,0.0388294462572686,0.0405014573972676,-0.00766909484454337,0.0646267802468375,-0.0540860035487289,-0.00632956951799412,-0.0144052558510792,0.0265080385527626,-0.0272849225409045,0.0109275219087388,-0.0116348538225189,0.0231417201223523,0.00661499427648404,-0.0171299671605572,0.0237142354556835,0.0644324769407245,-0.00441158153326626,-0.0173591477544766,-0.0695348141103564,0.0157217006349835,0.00405375733259706,0.00317489122143221,-0.0114768738455793,-0.0347552620787613,-0.025830316171756,0.0248205666011778,-0.000259938710826239,0.0110404420869508,0.0206879810519632,0.032424531658994,0.0140799620257822,0.00475776836046273,0.0187058842101758,-0.00861932319725232,0.0392487146046824,0.0149425959603663,0.0111130213606029,-0.00221152220796393
