Generalist_NE,Generalist_nonNE,Arc_3,Arc_6,Arc_5,None,Start,Walk
9,0,88,105,0,3798,426746339917825,1
19,370,907,371,0,2333,426746339917825,2
0,0,0,496,0,3504,426746339917825,3
0,74,0,403,0,3523,426746339917825,4
0,726,0,439,0,2835,426746339917825,5
0,0,0,465,0,3535,426746339917825,6
420,0,0,35,0,3545,426746339917825,7
271,84,100,113,0,3432,426746339917825,8
0,79,35,126,0,3760,426746339917825,9
0,0,0,936,0,3064,426746339917825,10
0,363,0,87,0,3550,426746339917825,11
0,0,15,139,0,3846,426746339917825,12
0,10,0,628,0,3362,426746339917825,13
0,0,486,253,0,3261,426746339917825,14
0,0,0,1442,0,2558,426746339917825,15
510,0,0,234,0,3256,426746339917825,16
0,72,36,494,0,3398,426746339917825,17
0,0,0,249,0,3751,426746339917825,18
0,0,62,115,0,3823,426746339917825,19
142,0,0,330,0,3528,426746339917825,20
0,0,0,615,0,3385,426746339917825,21
0,192,0,135,0,3673,426746339917825,22
55,0,0,400,0,3545,426746339917825,23
0,0,0,1059,0,2941,426746339917825,24
0,36,4,173,0,3787,426746339917825,25
0,0,0,214,0,3786,426746339917825,26
0,247,0,244,0,3509,426746339917825,27
0,44,0,350,0,3606,426746339917825,28
19,428,302,744,0,2507,426746339917825,29
0,0,0,392,0,3608,426746339917825,30
0,0,0,373,0,3627,426746339917825,31
0,0,0,1237,0,2763,426746339917825,32
0,165,0,186,0,3649,426746339917825,33
0,0,0,632,0,3368,426746339917825,34
0,0,0,386,0,3614,426746339917825,35
0,0,0,466,0,3534,426746339917825,36
212,0,0,309,0,3479,426746339917825,37
34,0,0,608,0,3358,426746339917825,38
46,0,324,393,0,3237,426746339917825,39
0,0,0,469,0,3531,426746339917825,40
0,31,0,792,0,3177,426746339917825,41
623,0,45,148,0,3184,426746339917825,42
48,0,24,1093,0,2835,426746339917825,43
0,0,0,1018,0,2982,426746339917825,44
760,0,0,144,0,3096,426746339917825,45
0,548,0,117,0,3335,426746339917825,46
0,0,0,138,0,3862,426746339917825,47
0,0,0,1177,0,2823,426746339917825,48
279,60,31,568,0,3062,426746339917825,49
396,0,0,140,0,3464,426746339917825,50
0,0,0,557,0,3443,426746339917825,51
17,0,193,353,0,3437,426746339917825,52
0,0,0,284,0,3716,426746339917825,53
0,0,26,721,0,3253,426746339917825,54
0,0,0,114,0,3886,426746339917825,55
0,0,0,227,0,3773,426746339917825,56
0,24,0,625,0,3351,426746339917825,57
1088,0,76,416,0,2420,426746339917825,58
0,556,617,343,0,2484,426746339917825,59
0,154,0,141,0,3705,426746339917825,60
0,36,0,471,0,3493,426746339917825,61
0,138,0,123,0,3739,426746339917825,62
129,0,0,879,0,2992,426746339917825,63
0,717,0,480,0,2803,426746339917825,64
230,0,168,404,0,3198,426746339917825,65
0,74,0,199,0,3727,426746339917825,66
101,0,79,472,0,3348,426746339917825,67
0,48,0,111,0,3841,426746339917825,68
0,0,748,1239,0,2013,426746339917825,69
0,0,0,970,0,3030,426746339917825,70
45,20,126,87,0,3722,426746339917825,71
0,8,0,550,0,3442,426746339917825,72
0,92,460,287,0,3161,426746339917825,73
0,0,0,486,0,3514,426746339917825,74
15,0,0,233,0,3752,426746339917825,75
0,0,0,192,0,3808,426746339917825,76
0,0,114,476,0,3410,426746339917825,77
0,135,0,377,0,3488,426746339917825,78
0,322,0,1032,0,2646,426746339917825,79
120,0,0,765,0,3115,426746339917825,80
0,0,0,236,0,3764,426746339917825,81
53,19,372,480,0,3076,426746339917825,82
0,0,0,639,0,3361,426746339917825,83
0,0,120,177,0,3703,426746339917825,84
312,0,218,72,0,3398,426746339917825,85
0,0,9,346,0,3645,426746339917825,86
0,60,0,491,0,3449,426746339917825,87
6,207,1171,348,0,2268,426746339917825,88
0,0,0,137,0,3863,426746339917825,89
0,0,0,577,0,3423,426746339917825,90
0,116,0,421,0,3463,426746339917825,91
351,0,0,561,0,3088,426746339917825,92
0,0,0,183,0,3817,426746339917825,93
0,0,0,66,0,3934,426746339917825,94
279,164,35,291,0,3231,426746339917825,95
0,0,0,122,0,3878,426746339917825,96
0,85,0,422,0,3493,426746339917825,97
0,0,0,129,0,3871,426746339917825,98
0,0,0,609,0,3391,426746339917825,99
0,0,0,349,0,3651,426746339917825,100
