Generalist_NE,Generalist_nonNE,Arc_3,Arc_6,Arc_5,None,Start,Walk
309,0,176,0,167,3348,7788149757105118,1
141,0,0,0,99,3760,7788149757105118,2
0,0,0,0,76,3924,7788149757105118,3
0,0,0,0,125,3875,7788149757105118,4
18,0,0,0,137,3845,7788149757105118,5
0,0,0,0,96,3904,7788149757105118,6
0,0,0,0,60,3940,7788149757105118,7
0,0,0,0,90,3910,7788149757105118,8
0,0,0,0,128,3872,7788149757105118,9
0,0,0,0,89,3911,7788149757105118,10
0,0,0,0,119,3881,7788149757105118,11
0,0,0,0,89,3911,7788149757105118,12
13,0,0,0,51,3936,7788149757105118,13
0,0,0,0,172,3828,7788149757105118,14
0,0,0,0,106,3894,7788149757105118,15
0,0,0,0,54,3946,7788149757105118,16
0,67,0,0,96,3837,7788149757105118,17
0,0,0,0,32,3968,7788149757105118,18
0,0,0,0,139,3861,7788149757105118,19
11,0,0,0,78,3911,7788149757105118,20
0,0,0,0,45,3955,7788149757105118,21
0,0,0,0,49,3951,7788149757105118,22
0,0,0,0,123,3877,7788149757105118,23
0,0,0,0,178,3822,7788149757105118,24
2,0,0,0,114,3884,7788149757105118,25
0,0,0,0,75,3925,7788149757105118,26
0,0,0,0,72,3928,7788149757105118,27
0,0,0,0,54,3946,7788149757105118,28
0,0,0,0,314,3686,7788149757105118,29
0,0,0,0,84,3916,7788149757105118,30
0,0,0,0,222,3778,7788149757105118,31
153,0,0,0,158,3689,7788149757105118,32
0,0,0,0,30,3970,7788149757105118,33
0,0,0,0,130,3870,7788149757105118,34
0,0,0,0,69,3931,7788149757105118,35
0,0,0,0,132,3868,7788149757105118,36
22,0,0,0,95,3883,7788149757105118,37
0,0,0,0,248,3752,7788149757105118,38
0,0,0,0,45,3955,7788149757105118,39
7,0,0,0,227,3766,7788149757105118,40
0,0,0,0,68,3932,7788149757105118,41
0,0,0,0,89,3911,7788149757105118,42
0,0,0,0,54,3946,7788149757105118,43
0,0,0,0,106,3894,7788149757105118,44
0,0,0,0,73,3927,7788149757105118,45
0,0,0,0,100,3900,7788149757105118,46
13,0,132,0,26,3829,7788149757105118,47
0,0,0,0,77,3923,7788149757105118,48
0,0,0,0,60,3940,7788149757105118,49
0,0,0,0,96,3904,7788149757105118,50
0,0,0,0,86,3914,7788149757105118,51
0,0,0,0,37,3963,7788149757105118,52
0,0,0,0,102,3898,7788149757105118,53
0,0,0,0,115,3885,7788149757105118,54
62,389,0,0,289,3260,7788149757105118,55
114,0,0,0,247,3639,7788149757105118,56
51,0,0,0,138,3811,7788149757105118,57
0,0,0,0,106,3894,7788149757105118,58
0,0,0,0,69,3931,7788149757105118,59
0,0,0,0,68,3932,7788149757105118,60
9,0,0,0,32,3959,7788149757105118,61
0,0,0,0,120,3880,7788149757105118,62
0,30,0,0,98,3872,7788149757105118,63
81,0,0,0,60,3859,7788149757105118,64
0,0,0,0,366,3634,7788149757105118,65
17,0,0,0,33,3950,7788149757105118,66
