Generalist_NE,Generalist_nonNE,Arc_3,Arc_6,Arc_5,None,Start,Walk
109,326,0,219,0,3346,426746339917825,1
224,0,220,442,0,3114,426746339917825,2
18,0,6,258,0,3718,426746339917825,3
0,0,0,999,0,3001,426746339917825,4
0,0,60,357,0,3583,426746339917825,5
915,0,0,191,0,2894,426746339917825,6
0,0,63,902,0,3035,426746339917825,7
0,0,0,1203,0,2797,426746339917825,8
0,9,0,159,0,3832,426746339917825,9
0,0,0,566,0,3434,426746339917825,10
0,51,0,250,0,3699,426746339917825,11
0,36,0,209,0,3755,426746339917825,12
81,0,8,157,0,3754,426746339917825,13
0,833,358,130,0,2679,426746339917825,14
