Generalist_NE,Generalist_nonNE,Arc_3,Arc_6,Arc_5,None,Start,Walk
0,0,242,0,0,3758,4482335244288,1
304,0,456,129,0,3111,4482335244288,2
0,0,160,0,0,3840,4482335244288,3
356,0,674,2,0,2968,4482335244288,4
800,0,308,0,0,2892,4482335244288,5
290,62,717,98,0,2833,4482335244288,6
325,0,130,0,0,3545,4482335244288,7
143,0,34,0,0,3823,4482335244288,8
291,0,68,0,0,3641,4482335244288,9
164,0,872,0,0,2964,4482335244288,10
48,0,164,6,0,3782,4482335244288,11
12,0,123,0,0,3865,4482335244288,12
11,0,595,121,0,3273,4482335244288,13
93,15,162,0,0,3730,4482335244288,14
18,15,400,0,0,3567,4482335244288,15
193,0,768,52,0,2987,4482335244288,16
0,0,492,0,0,3508,4482335244288,17
0,992,247,131,0,2630,4482335244288,18
306,516,334,0,0,2844,4482335244288,19
188,575,122,0,0,3115,4482335244288,20
16,0,409,0,0,3575,4482335244288,21
42,0,56,0,0,3902,4482335244288,22
389,0,261,0,0,3350,4482335244288,23
0,305,302,12,0,3381,4482335244288,24
0,0,386,12,0,3602,4482335244288,25
110,200,658,0,0,3032,4482335244288,26
255,81,1712,31,0,1921,4482335244288,27
154,119,1111,49,0,2567,4482335244288,28
0,9,206,255,0,3530,4482335244288,29
0,0,301,72,0,3627,4482335244288,30
640,0,314,0,0,3046,4482335244288,31
336,0,586,0,0,3078,4482335244288,32
0,0,173,0,0,3827,4482335244288,33
62,0,318,0,0,3620,4482335244288,34
188,63,323,0,0,3426,4482335244288,35
23,0,678,21,0,3278,4482335244288,36
46,893,94,15,0,2952,4482335244288,37
217,1594,61,0,0,2128,4482335244288,38
108,0,241,0,0,3651,4482335244288,39
173,724,608,10,0,2485,4482335244288,40
62,0,378,0,0,3560,4482335244288,41
102,299,313,352,0,2934,4482335244288,42
315,122,226,0,0,3337,4482335244288,43
506,19,291,0,0,3184,4482335244288,44
141,160,379,0,0,3320,4482335244288,45
0,0,358,0,0,3642,4482335244288,46
50,0,39,266,0,3645,4482335244288,47
0,0,106,0,0,3894,4482335244288,48
0,0,261,56,0,3683,4482335244288,49
168,936,318,102,0,2476,4482335244288,50
245,0,495,0,0,3260,4482335244288,51
0,281,75,0,0,3644,4482335244288,52
81,0,99,0,0,3820,4482335244288,53
79,134,104,0,0,3683,4482335244288,54
419,0,246,101,0,3234,4482335244288,55
0,0,376,51,0,3573,4482335244288,56
21,215,370,0,0,3394,4482335244288,57
1302,0,225,354,0,2119,4482335244288,58
19,0,250,476,0,3255,4482335244288,59
5,0,434,0,0,3561,4482335244288,60
297,0,806,676,0,2221,4482335244288,61
301,237,1008,29,0,2425,4482335244288,62
0,14,856,148,0,2982,4482335244288,63
312,0,88,0,0,3600,4482335244288,64
0,0,314,142,16,3528,4482335244288,65
724,0,493,331,0,2452,4482335244288,66
21,0,350,69,0,3560,4482335244288,67
178,46,772,38,0,2966,4482335244288,68
0,82,91,0,0,3827,4482335244288,69
0,284,131,0,0,3585,4482335244288,70
103,0,155,23,0,3719,4482335244288,71
224,0,307,0,0,3469,4482335244288,72
162,1766,211,0,0,1861,4482335244288,73
94,235,1542,269,0,1860,4482335244288,74
1,112,232,0,0,3655,4482335244288,75
36,0,179,42,0,3743,4482335244288,76
188,0,569,0,0,3243,4482335244288,77
85,0,597,51,0,3267,4482335244288,78
0,0,91,315,0,3594,4482335244288,79
121,20,140,37,0,3682,4482335244288,80
28,0,144,0,0,3828,4482335244288,81
131,0,391,0,0,3478,4482335244288,82
153,0,195,97,0,3555,4482335244288,83
105,0,374,0,0,3521,4482335244288,84
11,0,254,0,0,3735,4482335244288,85
74,0,247,188,0,3491,4482335244288,86
0,0,496,382,0,3122,4482335244288,87
512,5,435,0,0,3048,4482335244288,88
36,0,328,27,108,3501,4482335244288,89
431,0,127,51,0,3391,4482335244288,90
225,0,139,964,0,2672,4482335244288,91
0,70,63,0,0,3867,4482335244288,92
134,0,1599,43,0,2224,4482335244288,93
631,0,604,0,0,2765,4482335244288,94
307,163,456,0,0,3074,4482335244288,95
401,0,374,65,0,3160,4482335244288,96
129,0,473,0,0,3398,4482335244288,97
20,302,868,17,0,2793,4482335244288,98
56,170,246,9,0,3519,4482335244288,99
30,28,793,499,0,2650,4482335244288,100
118,3,577,266,0,3036,4482335244289,1
0,730,630,0,0,2640,4482335244289,2
1014,96,1125,0,0,1765,4482335244289,3
5,0,373,0,0,3622,4482335244289,4
0,112,352,20,0,3516,4482335244289,5
66,75,145,276,0,3438,4482335244289,6
0,0,119,56,0,3825,4482335244289,7
656,98,488,108,0,2650,4482335244289,8
29,0,270,0,0,3701,4482335244289,9
114,0,579,366,0,2941,4482335244289,10
49,0,537,124,0,3290,4482335244289,11
0,0,69,0,0,3931,4482335244289,12
0,12,172,0,0,3816,4482335244289,13
353,0,1355,19,0,2273,4482335244289,14
152,18,1244,0,0,2586,4482335244289,15
0,12,834,52,0,3102,4482335244289,16
0,0,75,0,0,3925,4482335244289,17
0,0,413,0,0,3587,4482335244289,18
73,98,546,114,0,3169,4482335244289,19
0,56,168,0,0,3776,4482335244289,20
291,0,240,122,0,3347,4482335244289,21
13,392,943,0,0,2652,4482335244289,22
33,61,490,1037,0,2379,4482335244289,23
0,41,179,0,0,3780,4482335244289,24
0,0,305,0,0,3695,4482335244289,25
0,187,716,0,0,3097,4482335244289,26
548,19,49,0,0,3384,4482335244289,27
2,185,177,0,0,3636,4482335244289,28
0,0,101,0,0,3899,4482335244289,29
0,104,317,33,0,3546,4482335244289,30
459,0,259,11,0,3271,4482335244289,31
0,57,623,0,0,3320,4482335244289,32
16,0,244,0,0,3740,4482335244289,33
81,512,956,56,0,2395,4482335244289,34
115,54,1105,0,0,2726,4482335244289,35
31,46,693,50,0,3180,4482335244289,36
607,0,219,0,0,3174,4482335244289,37
0,0,241,190,0,3569,4482335244289,38
162,80,1095,0,0,2663,4482335244289,39
28,137,235,0,0,3600,4482335244289,40
0,323,533,0,0,3144,4482335244289,41
0,255,257,0,0,3488,4482335244289,42
0,167,596,87,0,3150,4482335244289,43
0,0,335,0,0,3665,4482335244289,44
17,0,458,0,0,3525,4482335244289,45
0,1452,923,0,0,1625,4482335244289,46
29,202,288,0,0,3481,4482335244289,47
0,0,317,365,0,3318,4482335244289,48
0,12,275,0,0,3713,4482335244289,49
266,112,325,0,0,3297,4482335244289,50
0,185,275,0,0,3540,4482335244289,51
0,399,82,152,0,3367,4482335244289,52
636,0,741,0,0,2623,4482335244289,53
0,34,196,0,0,3770,4482335244289,54
0,114,341,0,0,3545,4482335244289,55
62,0,378,0,0,3560,4482335244289,56
40,0,49,0,0,3911,4482335244289,57
296,0,610,0,0,3094,4482335244289,58
265,6,400,1092,0,2237,4482335244289,59
365,60,581,87,0,2907,4482335244289,60
246,154,438,0,0,3162,4482335244289,61
33,223,371,0,0,3373,4482335244289,62
0,94,321,0,0,3585,4482335244289,63
0,0,932,0,0,3068,4482335244289,64
33,131,539,0,0,3297,4482335244289,65
311,49,317,77,0,3246,4482335244289,66
54,291,155,0,0,3500,4482335244289,67
0,125,283,202,0,3390,4482335244289,68
30,81,223,28,0,3638,4482335244289,69
61,0,204,13,0,3722,4482335244289,70
0,0,148,336,0,3516,4482335244289,71
0,64,243,0,0,3693,4482335244289,72
155,0,1078,81,0,2686,4482335244289,73
9,49,1152,70,0,2720,4482335244289,74
