Generalist_NE,Generalist_nonNE,Arc_3,Arc_6,Arc_5,None,Start,Walk
298,22,1284,0,0,2396,4482335244288,1
347,0,316,0,0,3337,4482335244288,2
61,0,718,132,0,3089,4482335244288,3
0,0,334,78,0,3588,4482335244288,4
31,0,366,113,0,3490,4482335244288,5
0,83,370,0,0,3547,4482335244288,6
306,289,159,0,0,3246,4482335244288,7
15,0,334,130,0,3521,4482335244288,8
40,230,649,0,0,3081,4482335244288,9
25,9,511,71,0,3384,4482335244288,10
93,143,549,167,0,3048,4482335244288,11
71,0,300,0,0,3629,4482335244288,12
309,0,544,0,0,3147,4482335244288,13
45,0,237,0,0,3718,4482335244288,14
37,1006,384,0,0,2573,4482335244288,15
36,0,94,142,0,3728,4482335244288,16
209,0,811,98,0,2882,4482335244288,17
164,0,318,0,0,3518,4482335244288,18
24,231,192,0,0,3553,4482335244288,19
1232,0,152,0,0,2616,4482335244288,20
256,5,1424,114,0,2201,4482335244288,21
355,0,80,0,0,3565,4482335244288,22
132,118,294,65,0,3391,4482335244288,23
117,26,249,0,0,3608,4482335244288,24
107,15,647,0,0,3231,4482335244288,25
20,42,908,0,0,3030,4482335244288,26
0,0,262,103,0,3635,4482335244288,27
95,0,239,0,0,3666,4482335244288,28
14,0,236,9,0,3741,4482335244288,29
0,49,254,0,0,3697,4482335244288,30
102,16,198,0,0,3684,4482335244288,31
4,0,320,30,0,3646,4482335244288,32
531,0,93,252,0,3124,4482335244288,33
350,0,501,571,0,2578,4482335244288,34
0,1381,134,0,0,2485,4482335244288,35
41,0,635,745,0,2579,4482335244288,36
656,49,212,159,0,2924,4482335244288,37
143,0,386,0,0,3471,4482335244288,38
0,0,678,0,0,3322,4482335244288,39
0,0,455,1,0,3544,4482335244288,40
207,102,607,0,0,3084,4482335244288,41
0,0,336,0,0,3664,4482335244288,42
621,0,30,408,0,2941,4482335244288,43
139,0,832,0,0,3029,4482335244288,44
0,779,499,0,0,2722,4482335244288,45
201,0,317,0,0,3482,4482335244288,46
0,0,125,0,0,3875,4482335244288,47
0,1000,143,7,0,2850,4482335244288,48
22,0,86,0,0,3892,4482335244288,49
0,371,333,0,0,3296,4482335244288,50
186,188,196,0,0,3430,4482335244288,51
12,0,500,298,0,3190,4482335244288,52
426,0,696,0,0,2878,4482335244288,53
38,0,1167,0,0,2795,4482335244288,54
0,214,784,88,0,2914,4482335244288,55
0,0,365,390,0,3245,4482335244288,56
551,361,499,0,0,2589,4482335244288,57
96,0,821,0,0,3083,4482335244288,58
81,6,99,0,0,3814,4482335244288,59
60,0,32,314,0,3594,4482335244288,60
0,771,130,0,0,3099,4482335244288,61
347,307,406,31,0,2909,4482335244288,62
78,0,61,0,0,3861,4482335244288,63
0,15,152,0,0,3833,4482335244288,64
0,115,564,41,0,3280,4482335244288,65
