Generalist_NE,Generalist_nonNE,Arc_3,Arc_6,Arc_5,None,Start,Walk
140,0,0,0,99,3761,7788149757105118,1
346,0,0,0,557,3097,7788149757105118,2
201,16,0,0,344,3439,7788149757105118,3
98,0,0,0,265,3637,7788149757105118,4
0,0,0,0,402,3598,7788149757105118,5
0,0,0,0,382,3618,7788149757105118,6
66,0,0,0,1578,2356,7788149757105118,7
110,0,0,0,555,3335,7788149757105118,8
113,0,0,0,95,3792,7788149757105118,9
180,0,0,0,528,3292,7788149757105118,10
239,0,0,0,1296,2465,7788149757105118,11
101,0,0,0,414,3485,7788149757105118,12
1595,0,0,0,1060,1345,7788149757105118,13
502,0,0,0,622,2876,7788149757105118,14
0,0,0,0,1502,2498,7788149757105118,15
20,0,0,0,606,3374,7788149757105118,16
0,0,135,0,247,3618,7788149757105118,17
361,0,0,0,1129,2510,7788149757105118,18
3,0,0,0,357,3640,7788149757105118,19
28,0,0,0,401,3571,7788149757105118,20
482,0,0,0,1310,2208,7788149757105118,21
752,0,0,0,461,2787,7788149757105118,22
54,0,0,0,390,3556,7788149757105118,23
10,0,0,0,451,3539,7788149757105118,24
47,0,0,0,587,3366,7788149757105118,25
0,0,0,0,622,3378,7788149757105118,26
379,0,0,0,1903,1718,7788149757105118,27
789,0,0,0,1190,2021,7788149757105118,28
384,0,0,0,363,3253,7788149757105118,29
280,0,0,0,131,3589,7788149757105118,30
395,0,0,0,264,3341,7788149757105118,31
37,0,0,0,245,3718,7788149757105118,32
0,0,0,0,369,3631,7788149757105118,33
239,0,0,0,235,3526,7788149757105118,34
0,0,0,0,98,3902,7788149757105118,35
208,0,0,85,169,3538,7788149757105118,36
277,0,0,0,173,3550,7788149757105118,37
254,0,0,0,667,3079,7788149757105118,38
0,0,0,0,328,3672,7788149757105118,39
0,0,0,0,506,3494,7788149757105118,40
14,0,0,0,148,3838,7788149757105118,41
0,0,0,0,580,3420,7788149757105118,42
0,15,0,0,208,3777,7788149757105118,43
113,0,0,0,1469,2418,7788149757105118,44
67,0,0,0,215,3718,7788149757105118,45
0,0,0,0,112,3888,7788149757105118,46
