,orig.ident,nCount_RNA,nFeature_RNA,sample,species,gene_count,tscp_count,mread_count,bc1_wind,bc2_wind,bc3_wind,bc1_well,bc2_well,bc3_well,percent.mt,condition,nCount_SCT,nFeature_SCT,SCT_snn_res.0.8,seurat_clusters,tree.ident,SCT_snn_res.0.5,rcpa_clusters,predicted.id,prediction.score.Generalist.NE,prediction.score.Neuroendocrine2,prediction.score.Stress,prediction.score.Generalist.nonNE,prediction.score.nonNE1,prediction.score.Neuroendocrine1,prediction.score.Intermediate,prediction.score.nonNE2,prediction.score.max,Ascl1_targets_score1,Rest_targets_score1,HES1_high_score1,Liu_sclcI_score1,Intermediate_score1,NE1_score1,NE2_score1,nonNE1_score1,nonNE2_score1,stress_score1,ident
01_01_21__s1,organoid,19286.0,5373.0,D_Sample1,GRCm39,5373,19286,29877,1,1,21,A1,A1,B9,0.9644301565902726,shGFP,10922.0,4670,13,2,8,3,2,Neuroendocrine1,0.34822276704587685,0.0,0.0,0.0,0.0,0.651777232954123,0.0,0.0,0.651777232954123,0.4104039973812197,0.1889105164602229,-0.11934739313064607,-0.05999767603257376,0.1764912255931354,0.6540339308614822,0.49372730468221215,0.015989052144341598,0.053593905761723945,0.19489761047833518,D_Sample1
01_01_34__s1,organoid,5274.0,2463.0,D_Sample1,GRCm39,2463,5274,8231,1,1,34,A1,A1,C10,1.5358361774744027,shGFP,9303.0,2522,23,2,21,19,2,Generalist NE,0.5671903330757645,0.0,0.0,0.0,0.0,0.43280966692423567,0.0,0.0,0.5671903330757645,0.3954760188094237,0.28383062097995587,-0.08364560047594516,-0.03909113940412755,0.3274397962621611,0.532559290466142,0.16632571490063025,0.025792029255066184,-0.018251811986917388,0.28950754883120533,D_Sample1
01_01_77__s1,organoid,15652.0,4736.0,D_Sample1,GRCm39,4736,15652,24092,1,1,77,A1,A1,G5,1.1883465371837465,shGFP,10820.0,4565,17,2,5,14,2,Generalist NE,0.9898815182024787,0.0,0.0,0.0,0.0,0.0,0.010118481797521485,0.0,0.9898815182024787,0.31230563206346695,0.1629279972808348,-0.0798563105214191,-0.05662568339312235,0.4554789558325829,0.34486219182179,0.20769764035138705,0.04470727717818221,-0.05211326159475055,0.09476982112713914,D_Sample1
01_02_36__s1,organoid,6522.0,3026.0,D_Sample1,GRCm39,3026,6522,10206,1,2,36,A1,A2,C12,1.30328120208525,shGFP,9064.0,3019,9,2,8,10,2,Neuroendocrine1,0.26423256978351445,0.0,0.0,0.0,0.0,0.7357674302164857,0.0,0.0,0.7357674302164857,0.4318052632462961,0.33261251429509975,-0.09015258567470015,-0.024475477144249434,0.18142320549715796,0.4968824550409469,0.05610525071378336,0.04084458261047935,-0.014961435236519438,0.19653031073470906,D_Sample1
01_02_79__s1,organoid,3108.0,1702.0,D_Sample1,GRCm39,1702,3108,4846,1,2,79,A1,A2,G7,1.2548262548262548,shGFP,8627.0,2386,7,6,18,8,6,Generalist NE,0.7086629387729838,0.0,0.0,0.0,0.0,0.29133706122701614,0.0,0.0,0.7086629387729838,0.43301374991250896,0.35631450403121434,-0.07711021917619929,-0.030472791862772557,0.016489633112789892,0.6634664673934287,0.3594983684838658,0.04360023639089289,0.030419662246489565,0.06699246942783493,D_Sample1
01_02_95__s1,organoid,9314.0,3459.0,D_Sample1,GRCm39,3459,9314,14565,1,2,95,A1,A2,H11,2.22246081168134,shGFP,9555.0,3441,1,2,5,2,2,Generalist NE,0.82779916487383,0.0,0.0,0.0,0.0,0.0,0.17220083512617018,0.0,0.82779916487383,0.24916567488337774,0.09121337895584986,-0.08494580772616862,-0.046717199942240065,0.33978402045561273,-0.04467270908520793,0.048522188449241554,0.030878306791995935,0.07549645186537177,-0.06831922828282105,D_Sample1
01_03_04__s1,organoid,7730.0,3154.0,D_Sample1,GRCm39,3154,7730,11998,1,3,4,A1,A3,A4,1.410090556274256,shGFP,9214.0,3142,20,2,8,3,2,Neuroendocrine1,0.3843938478773478,0.0,0.0,0.0,0.0,0.615606152122652,0.0,0.0,0.615606152122652,0.3699617565532316,0.26409971711485586,-0.08003837128566271,-0.036882102451409986,0.23045889352390064,0.79256200614643,0.5296935221059486,0.09161999222257589,0.055387032973380115,0.08657612926071243,D_Sample1
01_03_10__s1,organoid,9018.0,3918.0,D_Sample1,GRCm39,3918,9018,14253,1,3,10,A1,A3,A10,1.1088933244621866,shGFP,9357.0,3886,7,1,9,8,1,Generalist NE,0.9579851741998174,0.0,0.0,0.0,0.0,0.042014825800182634,0.0,0.0,0.9579851741998174,0.35001567279169643,0.22464353527264352,-0.07041124722781597,-0.04394047394779693,0.3822563852911498,0.2452554062063021,0.17129785834388933,0.012582540056216424,0.07292565014731492,0.060536160944055756,D_Sample1
01_04_08__s1,organoid,7115.0,3013.0,D_Sample1,GRCm39,3013,7115,11268,1,4,8,A1,A4,A8,1.6444132115249472,shGFP,9159.0,2996,7,1,9,8,1,Generalist NE,0.6808460274136443,0.0,0.0,0.0,0.0,0.31915397258635575,0.0,0.0,0.6808460274136443,0.30708418180071617,0.25096034077859597,-0.06280484163490234,-0.033927588390338666,0.14823909208090102,0.3215943996573058,0.11726505258444081,0.13154422862896892,0.09401717819735354,0.01387995620667587,D_Sample1
01_04_96__s1,organoid,6321.0,2901.0,D_Sample1,GRCm39,2901,6321,9834,1,4,96,A1,A4,H12,0.7751937984496124,shGFP,9136.0,2893,2,1,4,0,1,Generalist NE,0.8266819230456761,0.0,0.0,0.0,0.0,0.17331807695432402,0.0,0.0,0.8266819230456761,0.380787829398116,0.28900552883927066,-0.08378820734530076,-0.03550937429930678,0.4390976261714656,0.2290880365464335,0.3981311612515174,0.04079633969667176,0.05634817270565004,0.04459149210879648,D_Sample1
