node,lasso_alpha,num_parents
AHR,0.001,8
ASCL1,0.001,6
BACH1,0.001,6
BACH2,0.001,4
BBX,0.001,2
CREB1,0,0
CUX1,0.0001,8
CUX2,0.001,7
EGR1,0.001,8
EHF,0.01,3
EPAS1,0.001,3
EPCAM,0.001,6
ESR1,0,0
ETS1,0.001,4
FOS,0.001,8
FOSB,0.001,5
FOXO3,0.001,5
GLIS3,0.001,7
GRHL2,0.001,5
HES1,0.001,6
HIF1A,0.001,8
HSF2,0,6
ICAM1,0.001,6
JUN,0.001,6
JUNB,0.001,3
JUND,0,0
KMT2A,0.001,7
LCOR,0.001,2
LMX1B,0.001,4
MEIS2,0.01,4
NCAM1,0,7
NFATC2,0.001,3
NFE2L2,0.001,5
NFIA,0.001,8
NFIB,0.0001,8
NFIX,0.001,5
NFKB1,0.001,4
NFYC,0,0
NPAS2,0,4
NR3C2,0.0001,7
NR6A1,0,0
PBX1,0.001,5
PKNOX2,0,5
PPARG,0.001,5
PRDM16,0.001,4
PROX1,0,2
RARB,0.001,3
RBPJ,0,0
REST,0.01,4
RORA,0,0
RORB,0,5
RUNX1,0.001,8
SIX1,0.001,6
SIX4,0.0001,8
SMAD3,0.001,5
SOX11,0,4
SOX5,0.0001,8
SOX9,0,0
SP100,0.001,5
STAT1,0,0
STAT2,0.001,5
TBX15,0,6
TCF12,0,8
TCF4,0,0
TCF7L1,0.001,6
TCF7L2,0.001,6
TEAD1,0.001,6
TFDP1,0,0
THRB,0,2
ZBTB20,0.001,7
ZBTB7A,0,0
ZEB1,0,0

