Generalist_NE,Generalist_nonNE,Arc_3,Arc_6,Arc_1,Arc_5,None,Start,Walk
159,0,0,0,87,0,1754,14486649668294622,1
68,0,0,0,662,0,1270,14486649668294622,2
91,0,0,0,86,0,1823,14486649668294622,3
86,0,0,0,226,0,1688,14486649668294622,4
270,0,0,0,191,0,1539,14486649668294622,5
0,0,0,0,103,0,1897,14486649668294622,6
155,0,0,0,370,20,1455,14486649668294622,7
47,0,0,0,217,0,1736,14486649668294622,8
52,0,0,0,322,0,1626,14486649668294622,9
64,0,0,0,154,0,1782,14486649668294622,10
44,0,0,0,196,0,1760,14486649668294622,11
23,0,0,0,293,0,1684,14486649668294622,12
99,0,0,0,64,0,1837,14486649668294622,13
135,0,0,0,270,0,1595,14486649668294622,14
141,0,0,0,153,0,1706,14486649668294622,15
252,0,0,0,49,299,1400,14486649668294622,16
98,0,0,0,563,0,1339,14486649668294622,17
37,0,0,0,187,0,1776,14486649668294622,18
207,0,0,0,243,0,1550,14486649668294622,19
218,0,0,0,519,0,1263,14486649668294622,20
65,0,0,0,106,68,1761,14486649668294622,21
403,0,0,0,869,0,728,14486649668294622,22
215,0,0,0,90,0,1695,14486649668294622,23
20,0,0,0,231,0,1749,14486649668294622,24
102,0,0,0,108,0,1790,14486649668294622,25
33,0,0,0,379,0,1588,14486649668294622,26
4,0,0,0,287,0,1709,14486649668294622,27
150,0,0,0,619,0,1231,14486649668294622,28
355,0,0,0,232,159,1254,14486649668294622,29
456,0,0,0,295,0,1249,14486649668294622,30
86,0,0,0,96,0,1818,14486649668294622,31
621,0,0,0,654,0,725,14486649668294622,32
322,0,0,0,430,0,1248,14486649668294622,33
238,0,0,0,158,0,1604,14486649668294622,34
393,0,0,0,152,0,1455,14486649668294622,35
6,0,0,0,154,0,1840,14486649668294622,36
270,0,0,0,378,52,1300,14486649668294622,37
41,0,0,0,208,0,1751,14486649668294622,38
37,0,0,0,109,0,1854,14486649668294622,39
0,0,0,0,841,0,1159,14486649668294622,40
0,0,0,0,360,0,1640,14486649668294622,41
67,0,0,0,144,0,1789,14486649668294622,42
0,0,0,0,96,0,1904,14486649668294622,43
513,0,0,0,388,0,1099,14486649668294622,44
0,0,0,0,501,0,1499,14486649668294622,45
249,0,0,0,173,0,1578,14486649668294622,46
8,0,0,0,262,0,1730,14486649668294622,47
14,0,0,0,164,0,1822,14486649668294622,48
356,0,0,0,712,0,932,14486649668294622,49
98,0,0,0,640,0,1262,14486649668294622,50
168,0,0,0,58,0,1774,14486649668294622,51
587,0,0,0,94,0,1319,14486649668294622,52
155,0,0,0,318,0,1527,14486649668294622,53
91,0,0,0,311,0,1598,14486649668294622,54
168,0,0,0,31,0,1801,14486649668294622,55
343,0,0,0,295,0,1362,14486649668294622,56
218,0,0,0,275,0,1507,14486649668294622,57
287,0,0,0,570,0,1143,14486649668294622,58
370,0,0,0,325,0,1305,14486649668294622,59
201,0,0,0,64,0,1735,14486649668294622,60
0,0,0,0,268,0,1732,14486649668294622,61
170,0,0,0,390,0,1440,14486649668294622,62
50,0,0,0,112,0,1838,14486649668294622,63
315,0,0,0,258,0,1427,14486649668294622,64
1136,0,0,0,281,0,583,14486649668294622,65
149,0,0,0,96,13,1742,14486649668294622,66
57,0,0,0,193,0,1750,14486649668294622,67
0,0,0,0,51,0,1949,14486649668294622,68
16,0,0,0,396,0,1588,14486649668294622,69
48,0,0,0,66,0,1886,14486649668294622,70
451,0,0,0,924,0,625,14486649668294622,71
0,0,0,0,81,0,1919,14486649668294622,72
0,0,0,0,119,0,1881,14486649668294622,73
0,0,0,0,395,0,1605,14486649668294622,74
63,0,0,0,332,0,1605,14486649668294622,75
143,0,0,0,4,0,1853,14486649668294622,76
53,0,0,0,236,0,1711,14486649668294622,77
76,0,0,0,26,0,1898,14486649668294622,78
23,0,0,0,147,0,1830,14486649668294622,79
226,0,0,0,88,0,1686,14486649668294622,80
188,0,0,0,402,0,1410,14486649668294622,81
194,0,0,0,79,0,1727,14486649668294622,82
346,0,0,0,152,221,1281,14486649668294622,83
158,0,0,0,260,0,1582,14486649668294622,84
208,0,0,0,56,34,1702,14486649668294622,85
0,0,0,0,545,0,1455,14486649668294622,86
209,0,0,0,343,0,1448,14486649668294622,87
252,0,0,0,90,0,1658,14486649668294622,88
22,0,0,0,13,0,1965,14486649668294622,89
376,0,0,0,299,0,1325,14486649668294622,90
215,0,0,0,306,0,1479,14486649668294622,91
332,0,0,0,254,0,1414,14486649668294622,92
580,0,0,0,90,11,1319,14486649668294622,93
286,0,0,0,256,0,1458,14486649668294622,94
111,0,0,0,419,0,1470,14486649668294622,95
48,0,0,0,94,0,1858,14486649668294622,96
29,0,0,0,131,0,1840,14486649668294622,97
143,0,0,0,110,0,1747,14486649668294622,98
109,0,0,0,128,0,1763,14486649668294622,99
0,0,0,0,67,0,1933,14486649668294622,100
0,0,0,0,96,0,1904,15577365203048414,1
59,0,0,0,82,0,1859,15577365203048414,2
0,0,0,0,158,0,1842,15577365203048414,3
74,0,0,0,504,161,1261,15577365203048414,4
81,0,0,0,812,0,1107,15577365203048414,5
0,0,0,0,254,0,1746,15577365203048414,6
92,0,0,0,700,244,964,15577365203048414,7
211,0,0,0,184,0,1605,15577365203048414,8
0,0,0,0,384,0,1616,15577365203048414,9
0,0,0,0,344,0,1656,15577365203048414,10
178,0,0,0,474,0,1348,15577365203048414,11
0,0,0,0,175,0,1825,15577365203048414,12
30,0,0,0,269,0,1701,15577365203048414,13
19,0,0,0,271,0,1710,15577365203048414,14
420,0,0,0,77,322,1181,15577365203048414,15
108,0,0,0,20,0,1872,15577365203048414,16
0,0,0,0,175,0,1825,15577365203048414,17
1328,0,0,0,201,8,463,15577365203048414,18
0,0,0,0,750,0,1250,15577365203048414,19
18,0,0,0,321,0,1661,15577365203048414,20
392,0,0,0,603,34,971,15577365203048414,21
23,0,0,0,476,338,1163,15577365203048414,22
423,0,0,0,269,257,1051,15577365203048414,23
0,0,0,0,136,0,1864,15577365203048414,24
242,0,0,0,258,0,1500,15577365203048414,25
395,0,0,0,237,0,1368,15577365203048414,26
402,0,0,0,613,28,957,15577365203048414,27
96,0,0,0,90,0,1814,15577365203048414,28
47,0,0,0,177,73,1703,15577365203048414,29
0,0,0,0,232,34,1734,15577365203048414,30
371,0,0,0,326,0,1303,15577365203048414,31
90,0,0,0,835,0,1075,15577365203048414,32
245,0,0,0,490,93,1172,15577365203048414,33
812,0,0,0,152,0,1036,15577365203048414,34
0,0,0,0,336,0,1664,15577365203048414,35
393,0,0,0,1147,0,460,15577365203048414,36
436,0,0,0,531,282,751,15577365203048414,37
206,0,0,0,472,906,416,15577365203048414,38
0,0,0,0,74,0,1926,15577365203048414,39
0,0,0,0,462,0,1538,15577365203048414,40
45,0,0,0,316,0,1639,15577365203048414,41
0,0,0,0,260,0,1740,15577365203048414,42
438,0,0,0,446,100,1016,15577365203048414,43
29,0,0,0,670,67,1234,15577365203048414,44
0,0,0,0,173,0,1827,15577365203048414,45
9,0,0,0,562,614,815,15577365203048414,46
83,0,0,0,10,0,1907,15577365203048414,47
0,0,0,0,687,0,1313,15577365203048414,48
0,0,0,0,885,94,1021,15577365203048414,49
652,0,0,0,239,52,1057,15577365203048414,50
1215,0,0,0,86,0,699,15577365203048414,51
0,0,0,0,401,0,1599,15577365203048414,52
0,0,0,0,299,0,1701,15577365203048414,53
343,0,0,0,473,494,690,15577365203048414,54
0,0,0,0,107,0,1893,15577365203048414,55
381,0,0,0,227,10,1382,15577365203048414,56
