Generalist_NE,Generalist_nonNE,Arc_3,Arc_6,Arc_1,Arc_5,None,Start,Walk
0,0,454,0,0,0,1546,8964670488576,1
0,0,559,52,0,0,1389,8964670488576,2
0,804,100,0,0,0,1096,8964670488576,3
9,0,806,0,0,0,1185,8964670488576,4
22,0,282,937,0,0,759,8964670488576,5
99,0,170,0,0,0,1731,8964670488576,6
74,0,310,0,0,0,1616,8964670488576,7
0,142,320,0,0,0,1538,8964670488576,8
9,0,107,0,0,0,1884,8964670488576,9
0,45,570,0,0,0,1385,8964670488576,10
109,0,728,167,0,0,996,8964670488576,11
0,0,127,0,0,0,1873,8964670488576,12
114,0,146,0,0,0,1740,8964670488576,13
170,0,374,10,0,0,1446,8964670488576,14
10,0,458,690,0,0,842,8964670488576,15
0,0,533,13,0,0,1454,8964670488576,16
28,0,234,0,0,0,1738,8964670488576,17
0,0,432,0,0,0,1568,8964670488576,18
0,0,510,0,0,0,1490,8964670488576,19
12,0,242,0,0,0,1746,8964670488576,20
426,0,361,0,0,0,1213,8964670488576,21
0,0,233,0,0,0,1767,8964670488576,22
26,0,260,0,0,0,1714,8964670488576,23
0,0,172,0,0,0,1828,8964670488576,24
100,0,595,28,0,0,1277,8964670488576,25
63,0,826,73,0,0,1038,8964670488576,26
0,0,298,0,0,0,1702,8964670488576,27
0,14,594,178,0,0,1214,8964670488576,28
0,0,1052,0,0,0,948,8964670488576,29
0,0,139,197,0,0,1664,8964670488576,30
13,0,1241,21,0,0,725,8964670488576,31
8,55,576,0,0,0,1361,8964670488576,32
0,0,210,0,0,0,1790,8964670488576,33
106,426,349,0,0,0,1119,8964670488576,34
0,0,429,168,0,0,1403,8964670488576,35
0,0,303,54,0,0,1643,8964670488576,36
137,0,199,16,0,0,1648,8964670488576,37
369,79,361,0,0,0,1191,8964670488576,38
5,206,380,0,0,0,1409,8964670488576,39
128,174,743,0,0,0,955,8964670488576,40
7,0,136,357,0,0,1500,8964670488576,41
115,0,185,43,0,0,1657,8964670488576,42
163,0,417,52,0,0,1368,8964670488576,43
2,0,495,346,0,0,1157,8964670488576,44
11,0,138,0,0,0,1851,8964670488576,45
0,0,609,0,0,0,1391,8964670488576,46
0,0,450,10,0,0,1540,8964670488576,47
15,0,1327,76,0,0,582,8964670488576,48
0,0,91,0,0,0,1909,8964670488576,49
0,0,145,109,0,0,1746,8964670488576,50
8,256,484,0,0,0,1252,8964670488576,51
0,0,50,0,0,0,1950,8964670488576,52
18,0,550,153,0,0,1279,8964670488576,53
0,24,850,398,0,0,728,8964670488576,54
139,0,182,0,0,0,1679,8964670488576,55
110,0,123,0,0,0,1767,8964670488576,56
0,0,169,36,0,0,1795,8964670488576,57
0,0,125,109,0,0,1766,8964670488576,58
55,0,645,0,0,0,1300,8964670488576,59
7,0,1486,97,0,0,410,8964670488576,60
0,0,750,15,0,0,1235,8964670488576,61
30,0,364,0,0,0,1606,8964670488576,62
21,0,126,0,0,0,1853,8964670488576,63
2,0,211,0,0,0,1787,8964670488576,64
0,5,200,0,0,0,1795,8964670488576,65
203,0,860,0,0,0,937,8964670488576,66
98,0,504,0,0,0,1398,8964670488576,67
0,0,151,37,0,0,1812,8964670488576,68
70,0,125,0,0,0,1805,8964670488576,69
0,0,406,0,0,0,1594,8964670488576,70
0,0,278,164,0,0,1558,8964670488576,71
0,0,368,13,0,0,1619,8964670488576,72
293,0,97,0,0,0,1610,8964670488576,73
0,0,125,0,0,0,1875,8964670488576,74
0,0,329,0,0,0,1671,8964670488576,75
0,63,360,0,0,0,1577,8964670488576,76
106,0,948,68,0,0,878,8964670488576,77
76,0,119,6,0,0,1799,8964670488576,78
0,333,477,0,0,0,1190,8964670488576,79
200,140,928,3,0,0,729,8964670488576,80
162,36,118,0,0,0,1684,8964670488576,81
43,0,63,0,0,0,1894,8964670488576,82
53,0,487,0,0,0,1460,8964670488576,83
0,0,144,0,0,0,1856,8964670488576,84
113,0,104,0,0,0,1783,8964670488576,85
0,8,176,0,0,0,1816,8964670488576,86
0,8,221,0,0,0,1771,8964670488576,87
124,0,460,132,0,0,1284,8964670488576,88
43,940,224,0,0,0,793,8964670488576,89
168,0,83,0,0,0,1749,8964670488576,90
0,0,372,44,0,0,1584,8964670488576,91
33,0,141,13,0,0,1813,8964670488576,92
105,41,49,0,0,0,1805,8964670488576,93
137,0,35,0,0,0,1828,8964670488576,94
0,0,407,20,0,0,1573,8964670488576,95
