Generalist_NE,Generalist_nonNE,Arc_3,Arc_6,Arc_1,Arc_5,None,Start,Walk
19,0,0,0,363,0,1618,14486649668294622,1
0,0,0,0,232,0,1768,14486649668294622,2
0,0,0,0,144,0,1856,14486649668294622,3
0,0,0,0,112,0,1888,14486649668294622,4
73,0,0,0,128,7,1792,14486649668294622,5
6,0,0,0,69,0,1925,14486649668294622,6
290,0,0,0,273,0,1437,14486649668294622,7
99,0,0,0,43,0,1858,14486649668294622,8
515,0,0,0,196,88,1201,14486649668294622,9
0,0,0,0,132,0,1868,14486649668294622,10
297,0,0,0,40,0,1663,14486649668294622,11
87,0,0,0,121,0,1792,14486649668294622,12
0,0,0,0,230,0,1770,14486649668294622,13
344,0,0,0,57,0,1599,14486649668294622,14
389,0,0,0,92,0,1519,14486649668294622,15
37,0,0,0,12,0,1951,14486649668294622,16
48,0,0,0,206,0,1746,14486649668294622,17
0,0,0,0,74,0,1926,14486649668294622,18
104,0,0,0,439,0,1457,14486649668294622,19
171,0,0,0,3,0,1826,14486649668294622,20
0,0,0,0,114,0,1886,14486649668294622,21
204,0,0,0,76,0,1720,14486649668294622,22
206,0,0,0,73,0,1721,14486649668294622,23
232,0,0,0,88,0,1680,14486649668294622,24
565,0,0,0,103,0,1332,14486649668294622,25
0,0,0,0,168,0,1832,14486649668294622,26
1,0,0,0,368,0,1631,14486649668294622,27
72,0,0,0,40,0,1888,14486649668294622,28
87,0,0,0,90,0,1823,14486649668294622,29
79,0,0,0,240,0,1681,14486649668294622,30
0,0,0,0,28,0,1972,14486649668294622,31
177,0,0,0,118,0,1705,14486649668294622,32
28,0,0,0,232,0,1740,14486649668294622,33
57,0,0,0,246,139,1558,14486649668294622,34
203,0,0,0,540,0,1257,14486649668294622,35
51,0,0,0,162,0,1787,14486649668294622,36
116,0,0,0,190,0,1694,14486649668294622,37
0,0,0,0,152,0,1848,14486649668294622,38
0,0,0,0,188,0,1812,14486649668294622,39
78,0,0,0,6,0,1916,14486649668294622,40
204,0,0,0,121,0,1675,14486649668294622,41
52,0,0,0,63,0,1885,14486649668294622,42
52,0,0,0,52,0,1896,14486649668294622,43
48,0,0,0,282,0,1670,14486649668294622,44
51,0,0,0,86,0,1863,14486649668294622,45
163,0,0,0,136,0,1701,14486649668294622,46
146,0,0,0,265,0,1589,14486649668294622,47
226,0,0,0,196,0,1578,14486649668294622,48
0,0,0,0,55,0,1945,14486649668294622,49
0,0,0,0,231,0,1769,14486649668294622,50
53,0,0,0,50,0,1897,14486649668294622,51
66,0,0,0,63,0,1871,14486649668294622,52
0,0,0,0,175,0,1825,14486649668294622,53
0,0,0,0,112,0,1888,14486649668294622,54
47,0,0,0,146,0,1807,14486649668294622,55
55,0,0,0,147,0,1798,14486649668294622,56
38,0,0,0,273,14,1675,14486649668294622,57
73,0,0,0,66,0,1861,14486649668294622,58
30,0,0,0,77,0,1893,14486649668294622,59
21,0,0,0,193,0,1786,14486649668294622,60
83,0,0,0,72,0,1845,14486649668294622,61
144,0,0,0,171,14,1671,14486649668294622,62
225,0,0,0,78,0,1697,14486649668294622,63
150,0,0,0,192,0,1658,14486649668294622,64
149,0,0,0,30,0,1821,14486649668294622,65
0,0,0,0,139,0,1861,14486649668294622,66
144,0,0,0,77,0,1779,14486649668294622,67
0,0,0,0,171,0,1829,14486649668294622,68
169,0,0,0,336,0,1495,14486649668294622,69
148,0,0,0,46,0,1806,14486649668294622,70
30,0,0,0,106,0,1864,14486649668294622,71
638,0,0,0,114,0,1248,14486649668294622,72
420,0,0,0,179,0,1401,14486649668294622,73
349,0,0,0,23,0,1628,14486649668294622,74
30,0,0,0,50,0,1920,14486649668294622,75
154,0,0,0,328,0,1518,14486649668294622,76
3,0,0,0,75,0,1922,14486649668294622,77
0,0,0,0,356,0,1644,14486649668294622,78
184,0,0,0,175,0,1641,14486649668294622,79
0,0,0,0,84,0,1916,14486649668294622,80
0,0,0,0,165,0,1835,14486649668294622,81
185,0,0,0,60,0,1755,14486649668294622,82
32,0,0,0,115,0,1853,14486649668294622,83
18,0,0,0,145,0,1837,14486649668294622,84
0,0,0,0,70,0,1930,14486649668294622,85
163,0,0,0,14,0,1823,14486649668294622,86
336,0,0,0,50,0,1614,14486649668294622,87
0,0,0,0,289,0,1711,14486649668294622,88
0,0,0,0,224,0,1776,14486649668294622,89
157,0,0,0,154,0,1689,14486649668294622,90
69,0,0,0,292,0,1639,14486649668294622,91
0,0,0,0,17,0,1983,14486649668294622,92
141,0,0,0,86,0,1773,14486649668294622,93
811,0,0,0,52,0,1137,14486649668294622,94
21,0,0,0,34,0,1945,14486649668294622,95
311,0,0,0,385,0,1304,14486649668294622,96
0,0,0,0,112,0,1888,14486649668294622,97
269,0,0,0,46,0,1685,14486649668294622,98
154,0,0,0,186,0,1660,14486649668294622,99
28,0,0,0,69,0,1903,14486649668294622,100
0,0,0,0,119,0,1881,15577365203048414,1
589,0,0,0,354,0,1057,15577365203048414,2
94,0,0,0,47,928,931,15577365203048414,3
0,0,0,0,113,0,1887,15577365203048414,4
0,0,0,0,119,0,1881,15577365203048414,5
0,0,0,0,112,0,1888,15577365203048414,6
54,0,0,0,710,0,1236,15577365203048414,7
0,0,0,0,223,0,1777,15577365203048414,8
182,0,0,0,243,50,1525,15577365203048414,9
0,0,0,0,232,0,1768,15577365203048414,10
0,0,0,0,703,0,1297,15577365203048414,11
100,0,0,0,260,0,1640,15577365203048414,12
137,0,0,0,210,200,1453,15577365203048414,13
0,0,0,0,274,0,1726,15577365203048414,14
44,0,0,0,11,0,1945,15577365203048414,15
0,0,0,0,629,0,1371,15577365203048414,16
0,0,0,0,220,0,1780,15577365203048414,17
0,0,0,0,113,0,1887,15577365203048414,18
0,0,0,0,84,0,1916,15577365203048414,19
164,0,0,0,248,22,1566,15577365203048414,20
33,0,0,0,206,0,1761,15577365203048414,21
0,0,0,0,711,0,1289,15577365203048414,22
0,0,0,0,177,49,1774,15577365203048414,23
0,0,0,0,663,95,1242,15577365203048414,24
0,0,0,0,107,44,1849,15577365203048414,25
0,0,0,0,330,0,1670,15577365203048414,26
0,0,0,0,172,0,1828,15577365203048414,27
0,0,0,0,361,193,1446,15577365203048414,28
51,0,0,0,94,0,1855,15577365203048414,29
0,0,0,0,299,0,1701,15577365203048414,30
72,0,0,0,290,36,1602,15577365203048414,31
30,0,0,0,242,0,1728,15577365203048414,32
230,0,0,0,124,179,1467,15577365203048414,33
0,0,0,0,81,0,1919,15577365203048414,34
121,0,0,0,242,0,1637,15577365203048414,35
474,0,0,0,83,247,1196,15577365203048414,36
0,0,0,0,187,0,1813,15577365203048414,37
145,0,0,0,38,0,1817,15577365203048414,38
352,0,0,0,171,0,1477,15577365203048414,39
