CellID,Actb,Gapdh,Tbp,B2m,Ppia,Rplp0,Ywhaz,Sdha,Hprt,Ubc,Polr2a,Tubb5
01_01_21__s1,2.5197291422185066,0.8195463601549694,0.0,0.0,0.6131908876253606,0.6131908876253606,1.2638272935768258,0.3528774282773152,0.3528774282773152,0.3528774282773152,0.3528774282773152,1.2638272935768258
01_01_34__s1,1.9726368454487517,0.0,0.9350741541363596,0.0,0.9350741541363596,0.0,1.4097190244249456,0.9350741541363596,0.9350741541363596,0.0,0.0,1.4097190244249456
01_01_77__s1,2.389373363914984,0.7143243681945342,0.0,0.0,0.0,0.41963294569363996,0.9416500672353741,0.41963294569363996,0.0,0.7143243681945342,1.4178943053989939,1.4178943053989939
01_02_36__s1,2.2782025365937817,1.558967404434714,0.0,0.0,0.0,0.0,1.558967404434714,0.8115092846136731,0.0,0.8115092846136731,0.8115092846136731,1.7926279461275172
01_02_79__s1,1.2880761604648112,0.0,0.0,0.0,1.2880761604648112,0.0,0.0,0.0,0.0,0.0,1.2880761604648112,1.2880761604648112
01_02_95__s1,1.9647956912456324,2.0806486719416317,0.0,0.0,0.6292526435596885,0.0,1.5051504733895993,1.0124789690817948,0.6292526435596885,0.0,1.0124789690817948,0.6292526435596885
01_03_04__s1,1.837176324564859,0.0,0.0,0.0,0.0,0.0,1.4272612351834078,1.1351092905779916,0.0,0.0,0.7206440486311687,1.4272612351834078
01_03_10__s1,2.9496546612852006,1.0331615948941006,0.0,0.0,0.0,0.6444651276454161,1.3123527091328724,0.0,0.0,0.0,0.6444651276454161,1.3123527091328724
01_04_08__s1,2.2004519708623724,0.0,0.0,0.0,0.0,0.0,0.764077737821454,0.0,0.0,0.764077737821454,1.4908885959088416,1.1921107386279217
01_04_96__s1,2.948394542464874,0.0,0.0,0.0,0.0,0.0,2.802943213753117,0.0,0.0,0.0,0.0,0.0
01_05_60__s1,2.718854205826216,0.0,0.0,0.0,0.9453289533755418,0.0,0.0,0.0,0.9453289533755418,0.0,0.0,0.9453289533755418
01_06_17__s1,2.4144615355017995,1.4308902270249317,0.0,0.0,0.4925501405074924,0.4925501405074924,1.265802348312089,0.0,0.0,0.0,0.8210866141411972,1.6966039595185758
01_06_45__s1,2.80012410114089,0.9992701568986752,0.0,0.0,0.0,0.0,0.0,0.9992701568986752,0.0,0.0,0.0,2.0624472700977523
01_06_84__s1,1.6430407255679598,0.5277681673242256,0.0,0.0,0.5277681673242256,0.5277681673242256,0.0,0.0,0.0,0.0,0.5277681673242256,2.073354055587781
01_07_95__s1,1.155280352358615,1.3609469414923006,0.0,0.0,0.0,0.0,0.0,0.0,0.5452103135752863,0.0,1.5314451586667408,0.8960644561770603
01_08_60__s1,2.184502577038652,0.8087918314088133,0.0,0.0,0.3471751778258157,0.0,0.9784232482993389,0.9784232482993389,0.3471751778258157,0.6043865562722273,0.3471751778258157,1.4633750091732085
01_08_71__s1,2.3483934745546615,0.0,0.0,0.0,0.0,0.4226767970034621,0.9470616092326157,0.0,0.4226767970034621,0.4226767970034621,0.9470616092326157,1.132744429830362
01_09_43__s1,1.9563097116444244,0.0,0.0,0.0,0.0,0.0,1.7445948229435322,0.5156922148036327,0.0,0.0,0.0,2.4089216494503387
