source,target,weight,evidence
FOXO3,AHR,11.6344767109004,direct-net
TCF7L2,AHR,11.5183472483576,direct-net
CREB1,AHR,11.2801437403426,direct-net
REST,AHR,16.5165560727522,direct-net
EGR1,AHR,11.8061660138409,direct-net
STAT1,AHR,11.8773312222548,direct-net
RUNX1,AHR,11.8517805912531,direct-net
EHF,AHR,13.4632177077794,direct-net
EGR1,ASCL1,12.2241837008816,direct-net
SIX1,ASCL1,11.5546759505462,direct-net
RORB,ASCL1,13.2925501361924,direct-net
JUN,ASCL1,11.6534643544563,direct-net
HES1,ASCL1,14.6000795982226,direct-net
JUND,ASCL1,12.6662591828889,direct-net
BACH1,BACH1,11.9614832546182,direct-net
TCF4,BACH1,13.2585789151564,direct-net
RUNX1,BACH1,12.3119954458795,direct-net
EHF,BACH1,12.0985162401917,direct-net
JUND,BACH1,13.2262205423479,direct-net
TEAD1,BACH1,15.2112870723757,direct-net
BACH2,BACH2,8.05343644504397,direct-net
NFIB,BACH2,9.80338369644865,direct-net
ASCL1,BACH2,12.1786348172858,direct-net
TEAD1,BACH2,13.3548492038937,direct-net
SIX1,BBX,11.5425667292686,direct-net
GRHL2,BBX,15.0803863975164,direct-net
NFIA,CUX1,13.0415448240706,direct-net
MEIS2,CUX1,13.5768003687378,direct-net
ASCL1,CUX1,11.8279548680401,direct-net
NFIX,CUX1,10.6043692063856,direct-net
NFIB,CUX2,15.6509409057456,direct-net
RORA,CUX2,12.9203560103498,direct-net
TFDP1,CUX2,12.1572326091774,direct-net
MEIS2,CUX2,13.4424405187233,direct-net
RUNX1,CUX2,12.832743089651,direct-net
EHF,CUX2,16.8387444478623,direct-net
JUND,CUX2,14.1411420661378,direct-net
FOS,EGR1,11.8325122586505,direct-net
RORA,EGR1,12.9431721837765,direct-net
MEIS2,EGR1,13.4424405187233,direct-net
ASCL1,EGR1,13.7658983622097,direct-net
TEAD1,EGR1,13.665946008776,direct-net
FOS,EHF,14.8780453516145,direct-net
NR6A1,EHF,11.3872279495513,direct-net
GLIS3,EHF,8.30579273000162,direct-net
RORB,EHF,11.6870669142512,direct-net
ESR1,EHF,5.8683212339769,direct-net
JUN,EHF,12.5106185042558,direct-net
RUNX1,EHF,12.4281574299911,direct-net
EHF,EHF,12.9506692530605,direct-net
JUND,EHF,15.6755817594078,direct-net
TEAD1,EHF,12.9767742998931,direct-net
NFATC2,EHF,12.3905827067787,direct-net
REST,EPAS1,9.18085916997155,direct-net
SIX1,EPAS1,11.8160763936224,direct-net
ZEB1,EPAS1,12.6263599629553,direct-net
FOS,EPCAM,15.4772541258618,direct-net
NR6A1,EPCAM,15.9334089433781,direct-net
TCF4,EPCAM,12.1321770587865,direct-net
JUN,EPCAM,16.381150253914,direct-net
STAT1,EPCAM,15.1118146856409,direct-net
HES1,EPCAM,12.2287801874474,direct-net
BACH2,ETS1,9.89956864421234,direct-net
FOS,ETS1,13.8645537860508,direct-net
TCF4,ETS1,14.8878327077924,direct-net
NFIX,ETS1,10.4881037165387,direct-net
REST,FOS,7.54118942181722,direct-net
EGR1,FOS,12.4100968618584,direct-net
RORA,FOS,12.4361643199089,direct-net
JUN,FOS,11.5220449830441,direct-net
TFDP1,FOS,11.6401282019018,direct-net
RUNX1,FOS,13.1533864050783,direct-net
ASCL1,FOS,12.2961211813935,direct-net
TEAD1,FOS,12.3193560833485,direct-net
FOS,FOSB,13.4441018108281,direct-net
ESR1,FOSB,9.79945714147435,direct-net
RUNX1,FOSB,11.9008829641451,direct-net
JUND,FOSB,11.5629985210353,direct-net
NFATC2,FOSB,12.3905827067787,direct-net
FOXO3,FOXO3,14.7232281712788,direct-net
SOX9,FOXO3,12.6295537265993,direct-net
FOS,FOXO3,15.1451519254974,direct-net
RORA,FOXO3,12.8084520583187,direct-net
MEIS2,FOXO3,13.5768003687378,direct-net
REST,GLIS3,10.7825392406445,direct-net
EGR1,GLIS3,12.6331365342541,direct-net
PBX1,GLIS3,11.4202675163242,direct-net
GLIS3,GLIS3,7.81921979956786,direct-net
RUNX1,GLIS3,11.8105306088459,direct-net
HES1,GLIS3,14.6000795982226,direct-net
TEAD1,GLIS3,14.2054175750834,direct-net
NFIB,GRHL2,9.84603381725957,direct-net
TCF4,GRHL2,13.8486667275196,direct-net
NFIA,GRHL2,13.3930175452807,direct-net
RUNX1,GRHL2,12.6418285099334,direct-net
GRHL2,GRHL2,12.0884726744817,direct-net
NFIB,HES1,10.8540503684689,direct-net
RORA,HES1,12.760399892927,direct-net
RUNX1,HES1,12.1404006416286,direct-net
ASCL1,HES1,11.8279548680401,direct-net
HES1,HES1,12.5966416718703,direct-net
JUND,HES1,12.2291947570531,direct-net
HSF2,HIF1A,9.59393404298424,direct-net
SIX1,HIF1A,12.9263473138007,direct-net
NFIA,HIF1A,12.4991558290128,direct-net
JUN,HIF1A,11.2653335772991,direct-net
MEIS2,HIF1A,11.8253262827985,direct-net
EHF,HIF1A,12.8483968233018,direct-net
ASCL1,HIF1A,11.7725161843751,direct-net
TEAD1,HIF1A,15.9471028945721,direct-net
EGR1,HSF2,13.5785049290505,direct-net
TCF4,HSF2,12.1007974296203,direct-net
TFDP1,HSF2,12.2998761292292,direct-net
NFYC,HSF2,11.9359841596382,direct-net
EGR1,ICAM1,14.2335555881804,direct-net
NFIA,ICAM1,13.4122455326478,direct-net
RORA,ICAM1,12.3329244398505,direct-net
MEIS2,ICAM1,13.5768003687378,direct-net
STAT1,ICAM1,17.5788166810485,direct-net
RUNX1,ICAM1,14.2482448868401,direct-net
EGR1,JUN,13.92207536428,direct-net
FOS,JUN,14.6960521115676,direct-net
TCF4,JUN,13.6937545111937,direct-net
JUNB,JUN,13.3647257638456,direct-net
RUNX1,JUN,11.7928656781321,direct-net
EHF,JUN,13.1015146782629,direct-net
EGR1,JUNB,12.6505350766301,direct-net
PROX1,JUNB,14.559458696002,direct-net
TEAD1,JUNB,12.9968831098331,direct-net
EGR1,KMT2A,11.8601009114514,direct-net
LMX1B,KMT2A,15.8075018244135,direct-net
JUN,KMT2A,11.7546121044382,direct-net
STAT1,KMT2A,14.6174223751105,direct-net
EHF,KMT2A,12.2150246315193,direct-net
JUND,KMT2A,14.600599268581,direct-net
NFATC2,KMT2A,12.3905827067787,direct-net
NFIA,LCOR,13.0368779039279,direct-net
RORA,LCOR,12.9431721837765,direct-net
EGR1,LMX1B,11.8732075386377,direct-net
MEIS2,LMX1B,11.8253262827985,direct-net
ASCL1,LMX1B,13.7658983622097,direct-net
JUND,LMX1B,12.116741612706,direct-net
FOXO3,MEIS2,14.188094418302,direct-net
NFIB,MEIS2,10.1555304865437,direct-net
REST,MEIS2,11.8803505087316,direct-net
EGR1,MEIS2,12.7600873819655,direct-net
ZEB1,MEIS2,12.8264137622424,direct-net
LMX1B,MEIS2,12.9901545730206,direct-net
STAT1,MEIS2,12.1924966833158,direct-net
RUNX1,MEIS2,12.8377027545881,direct-net
EHF,MEIS2,12.7614027978292,direct-net
ASCL1,MEIS2,12.109228809948,direct-net
TFDP1,NCAM1,15.4056536221538,direct-net
MEIS2,NCAM1,13.4424405187233,direct-net
NFYC,NCAM1,15.1589668018991,direct-net
RUNX1,NCAM1,13.2209087372881,direct-net
JUN,NFATC2,14.0996086470968,direct-net
MEIS2,NFATC2,13.4424405187233,direct-net
ASCL1,NFATC2,13.7658983622097,direct-net
NFIA,NFE2L2,12.8144479923696,direct-net
MEIS2,NFE2L2,13.4424405187233,direct-net
EHF,NFE2L2,12.514253733711,direct-net
JUND,NFE2L2,13.2884944453508,direct-net
TEAD1,NFE2L2,17.5066208195701,direct-net
NFIB,NFIA,10.2288851651468,direct-net
TCF4,NFIA,13.2350761198223,direct-net
NFIA,NFIA,13.3930175452807,direct-net
MEIS2,NFIA,13.5768003687378,direct-net
STAT1,NFIA,12.140566101606,direct-net
RUNX1,NFIA,12.9103025538861,direct-net
EHF,NFIA,11.7644956938337,direct-net
NFIX,NFIA,10.6043692063856,direct-net
HSF2,NFIB,10.1857270039479,direct-net
TCF4,NFIB,12.091250642949,direct-net
TCF7L1,NFIB,12.7717918390178,direct-net
THRB,NFIB,11.2549943147345,direct-net
HSF2,NFIX,13.4709223813788,direct-net
RORA,NFIX,13.3863460116812,direct-net
STAT1,NFIX,13.384975787065,direct-net
RUNX1,NFIX,11.8277786513993,direct-net
NFATC2,NFIX,12.3905827067787,direct-net
NFIB,NFKB1,15.0178791853173,direct-net
RUNX1,NFKB1,13.8567738980806,direct-net
EHF,NFKB1,11.6628624971787,direct-net
ASCL1,NFKB1,11.8279548680401,direct-net
TCF7L1,NPAS2,13.2217683875657,direct-net
JUN,NPAS2,10.9679627351919,direct-net
EHF,NPAS2,15.5830947226857,direct-net
TCF7L2,NR3C2,12.5439584256549,direct-net
SIX1,NR3C2,11.8160763936224,direct-net
NFIB,PBX1,12.8400946107997,direct-net
PBX1,PBX1,13.3634493843243,direct-net
RUNX1,PBX1,11.7478219652135,direct-net
EHF,PBX1,12.14115968661,direct-net
ASCL1,PBX1,12.516738024124,direct-net
TCF7L2,PKNOX2,13.3821295385769,direct-net
REST,PKNOX2,6.766329046369,direct-net
RBPJ,PKNOX2,13.1020275007962,direct-net
CREB1,PPARG,13.5002843703421,direct-net
REST,PPARG,12.1105153169708,direct-net
SIX1,PPARG,13.1145329724987,direct-net
PPARG,PPARG,11.6460846835284,direct-net
JUN,PPARG,12.6509721063236,direct-net
NFIB,PRDM16,9.23205533607844,direct-net
REST,PRDM16,7.70346881476174,direct-net
RUNX1,PRDM16,12.1134192059853,direct-net
ASCL1,PRDM16,12.1324865639359,direct-net
RBPJ,PROX1,12.8682497112109,direct-net
NFATC2,PROX1,12.3905827067787,direct-net
TCF7L2,RARB,17.0059232070354,direct-net
NFIA,RARB,12.4535135497279,direct-net
EHF,RARB,12.3853101417605,direct-net
TCF7L2,REST,13.9316393379882,direct-net
REST,REST,12.1570690912776,direct-net
EGR1,REST,13.6403089124132,direct-net
FOS,REST,13.447689955863,direct-net
RORB,REST,13.9573766208849,direct-net
STAT1,REST,12.3639579549584,direct-net
SMAD3,REST,10.9981809357727,direct-net
EHF,REST,11.8057681118396,direct-net
ASCL1,REST,11.6548768599248,direct-net
HES1,REST,12.4631271924011,direct-net
NFATC2,REST,12.3905827067787,direct-net
LMX1B,RORB,15.7395484385159,direct-net
ASCL1,RORB,12.1324865639359,direct-net
NFIB,RUNX1,9.70423110972744,direct-net
TCF7L2,RUNX1,13.2349883643991,direct-net
FOS,RUNX1,11.7722158896183,direct-net
PBX1,RUNX1,12.3836225434482,direct-net
STAT1,RUNX1,17.1244739297479,direct-net
RUNX1,RUNX1,12.1536867931793,direct-net
JUND,RUNX1,12.5310098539853,direct-net
TEAD1,RUNX1,11.9788739304151,direct-net
REST,SIX1,7.83078062844908,direct-net
TCF4,SIX1,12.5038478111809,direct-net
SIX1,SIX1,12.3613025928557,direct-net
RORA,SIX1,12.319827301541,direct-net
RUNX1,SIX1,14.9516323798424,direct-net
EHF,SIX1,11.8909987116688,direct-net
REST,SIX4,7.83078062844908,direct-net
SIX1,SIX4,12.3613025928557,direct-net
RORA,SIX4,12.319827301541,direct-net
RUNX1,SIX4,14.9516323798424,direct-net
NFIX,SIX4,10.6043692063856,direct-net
TEAD1,SIX4,11.6765915483266,direct-net
REST,SMAD3,6.96513846001546,direct-net
PBX1,SMAD3,13.1309470403216,direct-net
RUNX1,SMAD3,13.6000451467726,direct-net
EHF,SMAD3,14.3663290210032,direct-net
ASCL1,SMAD3,12.4949978805515,direct-net
CREB1,SOX11,15.7908953329918,direct-net
JUN,SOX11,13.6913400062863,direct-net
SMAD3,SOX11,10.3181554865018,direct-net
TCF7L2,SOX5,12.6949562344513,direct-net
RORB,SOX5,11.4584294649656,direct-net
EHF,SOX5,13.7897495949265,direct-net
TEAD1,SOX5,13.1820621019869,direct-net
REST,SP100,6.67304630603253,direct-net
SIX1,SP100,12.2288571025788,direct-net
STAT1,SP100,11.8734061375268,direct-net
GRHL2,SP100,12.8274597432966,direct-net
CUX2,SP100,12.6549652541995,direct-net
NFIB,STAT2,10.3569757273692,direct-net
TCF7L1,STAT2,12.7753047697061,direct-net
NFIA,STAT2,12.4629752711595,direct-net
RUNX1,STAT2,13.3896863069208,direct-net
TEAD1,STAT2,11.3075711970249,direct-net
SIX1,TBX15,14.7951878963898,direct-net
NFATC2,TBX15,12.3905827067787,direct-net
FOS,TCF12,11.816899018947,direct-net
ESR1,TCF12,5.21107451370852,direct-net
ASCL1,TCF12,12.8792493407397,direct-net
NFIB,TCF7L1,10.3390093359977,direct-net
REST,TCF7L1,8.79490871245932,direct-net
NFIA,TCF7L1,12.6087015829326,direct-net
RUNX1,TCF7L1,12.1576117154531,direct-net
EHF,TCF7L1,15.4895161961001,direct-net
ASCL1,TCF7L1,11.8279548680401,direct-net
TCF7L2,TCF7L2,14.1040132467902,direct-net
EGR1,TCF7L2,15.7146288768458,direct-net
