Cell,clusters
RU1152_130751366121844,14
RU1152_125744641947573,14
RU1152_135546843871453,4
RU1152_126224470034675,14
RU1152_227312730565995,14
RU1152_165849601628004,14
RU1152_199877507012917,7
RU1152_165173278128045,14
RU1152_191553082607853,14
RU1152_196095802988325,14
RU1152_169079788222836,14
RU1152_135143806621533,14
RU1152_231772383563045,14
RU1152_197057070938339,14
RU1152_120856552040156,14
RU1152_135081901111020,14
RU1152_131163533307174,14
RU1152_191551042338228,14
RU1152_129454182611756,14
RU1152_230604106296740,14
RU1152_240489927980851,14
RU1152_133846949063091,14
RU1152_135622783286693,14
RU1152_125236627229413,14
RU1152_165326926011757,14
RU1152_125744626751398,14
RU1152_122379386146012,14
RU1152_230739009293613,14
RU1152_196105467225963,14
RU1152_133898354453229,14
RU1152_195536664876788,14
RU1152_169019658098932,14
RU1152_126903999937436,14
RU1152_239611741158645,14
RU1152_164693553105134,14
RU1152_131095888087835,14
RU1152_169649527250331,22
RU1152_129455122496875,14
RU1152_227296995587958,14
RU1152_195959584905581,14
RU1152_235128479206620,14
RU1152_192722522201372,14
RU1152_227449318528878,14
RU1152_169727152024299,1
RU1152_236230111086445,14
RU1152_130751365331886,14
RU1152_130675161353004,14
RU1152_200417882356454,14
RU1152_129509046728603,14
RU1152_230817405815589,14
RU1152_231161136630125,14
RU1152_226273463810475,14
RU1152_200983508040539,14
RU1152_164623791111579,14
RU1152_125583592680684,14
RU1152_161942477420325,14
RU1152_170875874653990,4
RU1152_201532561022366,14
RU1152_235122036717494,14
RU1152_235678490806173,14
RU1152_126834206690229,14
RU1152_199944362969957,7
RU1152_226829528128230,14
RU1152_134601804213046,14
RU1152_231684183026075,14
RU1152_125049809258804,14
RU1152_170728684435805,14
RU1152_156048588912988,14
RU1152_169777303010739,12
RU1152_235058941287795,14
RU1152_169768846846179,14
RU1152_165945548425637,14
RU1152_232328313031084,14
RU1152_129978437622557,14
RU1152_226949806577571,14
RU1152_228058949709102,14
RU1152_121184460684510,14
RU1152_160301799369500,14
RU1152_191766891972853,14
RU1152_170678320752539,14
RU1152_170869478255013,14
RU1152_231282307918187,14
RU1152_133906837387038,14
RU1152_120703409150774,14
RU1152_192677411769701,14
RU1152_239451618826142,14
RU1152_227517815254388,14
RU1152_161944774043507,14
RU1152_231358946568045,14
RU1152_160372412833187,14
RU1152_195975959435494,4
RU1152_165371920144798,14
RU1152_197074370619110,14
RU1152_130127238740341,14
RU1152_231916084096285,5
RU1152_162080096139181,14
RU1152_204292760721197,14
RU1152_232448526531811,7
RU1152_199954862861102,14
RU1152_231133475432294,14
RU1152_170678321036517,14
RU1152_195418258073949,14
RU1152_121946426795819,14
RU1152_197075202329949,14
RU1152_239406534290276,14
RU1152_232321046998324,14
RU1152_196586488421620,14
RU1152_241184503905518,14
RU1152_157689520477942,0
RU1152_192248720276893,14
RU1152_195424726965038,14
RU1152_231898636545251,14
RU1152_129454136482157,14
RU1152_200897608664925,14
RU1152_126748621487454,14
RU1152_191072065702117,14
RU1152_157606842063205,14
RU1152_170866360367526,14
RU1152_126889101839086,14
RU1152_134954962505012,14
RU1152_134602622098843,14
RU1152_165714278693670,14
RU1152_166402815638371,14
RU1152_227312730827173,14
RU1152_227374156331254,14
RU1152_169768892877668,14
RU1152_126913529657581,14
RU1152_230601838708533,14
RU1152_130049304382260,14
