cluster,gene,perturb,mean,count,std,ci95_hi,ci95_lo,ci_sig,mean_sig
Arc_1,ASCL1,activate,0.022407,1,,,,no,no
Arc_1,ASCL1,knockdown,-0.325035,1,,,,no,yes
Arc_1,BACH1,activate,0.034951,1,,,,no,no
Arc_1,BACH1,knockdown,0.034828,1,,,,no,no
Arc_1,BACH2,activate,0.07034,1,,,,no,no
Arc_1,BACH2,knockdown,0.155326,1,,,,no,no
Arc_1,CREB1,activate,0.0113,1,,,,no,no
Arc_1,CREB1,knockdown,-0.352523,1,,,,no,yes
Arc_1,CUX1,activate,0.263595,1,,,,no,no
Arc_1,CUX1,knockdown,0.01794,1,,,,no,no
Arc_1,CUX2,activate,-0.028662,1,,,,no,no
Arc_1,CUX2,knockdown,-0.103276,1,,,,no,no
Arc_1,EGR1,activate,0.031307,1,,,,no,no
Arc_1,EGR1,knockdown,-0.057866,1,,,,no,no
Arc_1,EHF,activate,0.15233,1,,,,no,no
Arc_1,EHF,knockdown,0.197722,1,,,,no,no
Arc_1,EPCAM,activate,0.026717,1,,,,no,no
Arc_1,EPCAM,knockdown,0.021619,1,,,,no,no
Arc_1,ESR1,activate,0.055781,1,,,,no,no
Arc_1,ESR1,knockdown,-0.02246,1,,,,no,no
Arc_1,ETS1,activate,0.056482,1,,,,no,no
Arc_1,ETS1,knockdown,-0.074229,1,,,,no,no
Arc_1,FOS,activate,-0.311843,1,,,,no,yes
Arc_1,FOS,knockdown,0.034916,1,,,,no,no
Arc_1,FOXO3,activate,0.109828,1,,,,no,no
Arc_1,FOXO3,knockdown,0.032551,1,,,,no,no
Arc_1,GRHL2,activate,-0.00014,1,,,,no,no
Arc_1,GRHL2,knockdown,-0.209706,1,,,,no,no
Arc_1,HES1,activate,0.089156,1,,,,no,no
Arc_1,HES1,knockdown,0.162526,1,,,,no,no
Arc_1,HIF1A,activate,0.003837,1,,,,no,no
Arc_1,HIF1A,knockdown,-0.021251,1,,,,no,no
Arc_1,HSF2,activate,0.033252,1,,,,no,no
Arc_1,HSF2,knockdown,-0.117362,1,,,,no,no
Arc_1,ICAM1,activate,0.034268,1,,,,no,no
Arc_1,ICAM1,knockdown,0.024807,1,,,,no,no
Arc_1,JUN,activate,-0.12747,1,,,,no,no
Arc_1,JUN,knockdown,-0.016065,1,,,,no,no
Arc_1,JUNB,activate,0.296917,1,,,,no,no
Arc_1,JUNB,knockdown,0.104415,1,,,,no,no
Arc_1,JUND,activate,0.034215,1,,,,no,no
Arc_1,JUND,knockdown,-0.239296,1,,,,no,no
Arc_1,KMT2A,activate,0.129502,1,,,,no,no
Arc_1,KMT2A,knockdown,0.103556,1,,,,no,no
Arc_1,LMX1B,activate,0.044359,1,,,,no,no
Arc_1,LMX1B,knockdown,-0.31172,1,,,,no,yes
Arc_1,MEIS2,activate,0.027873,1,,,,no,no
Arc_1,MEIS2,knockdown,-0.227418,1,,,,no,no
Arc_1,NCAM1,activate,0.014629,1,,,,no,no
Arc_1,NCAM1,knockdown,0.076769,1,,,,no,no
Arc_1,NFATC2,activate,0.036738,1,,,,no,no
Arc_1,NFATC2,knockdown,-0.461055,1,,,,no,yes
Arc_1,NFIA,activate,0.125613,1,,,,no,no
Arc_1,NFIA,knockdown,0.026349,1,,,,no,no
Arc_1,NFIB,activate,0.025999,1,,,,no,no
Arc_1,NFIB,knockdown,-0.130851,1,,,,no,no
Arc_1,NFIX,activate,-0.034005,1,,,,no,no
Arc_1,NFIX,knockdown,0.073686,1,,,,no,no
Arc_1,NFKB1,activate,0.008111,1,,,,no,no
Arc_1,NFKB1,knockdown,0.00431,1,,,,no,no
Arc_1,NFYC,activate,0.007533,1,,,,no,no
Arc_1,NFYC,knockdown,0.015943,1,,,,no,no
Arc_1,NR3C2,activate,0.021531,1,,,,no,no
Arc_1,NR3C2,knockdown,-0.120235,1,,,,no,no
Arc_1,NR6A1,activate,-0.014156,1,,,,no,no
Arc_1,NR6A1,knockdown,0.058514,1,,,,no,no
Arc_1,PBX1,activate,0.098371,1,,,,no,no
Arc_1,PBX1,knockdown,0.173546,1,,,,no,no
Arc_1,PPARG,activate,0.023861,1,,,,no,no
Arc_1,PPARG,knockdown,0.043535,1,,,,no,no
Arc_1,PROX1,activate,-0.023493,1,,,,no,no
Arc_1,PROX1,knockdown,-0.330484,1,,,,no,yes
Arc_1,RBPJ,activate,-0.023826,1,,,,no,no
Arc_1,RBPJ,knockdown,-0.46843,1,,,,no,yes
Arc_1,REST,activate,-0.083164,1,,,,no,no
Arc_1,REST,knockdown,-0.00932,1,,,,no,no
Arc_1,RORA,activate,-0.021882,1,,,,no,no
Arc_1,RORA,knockdown,-0.231167,1,,,,no,no
Arc_1,RORB,activate,0.059128,1,,,,no,no
