gene,insample_r2,shgfp_r2,insample_auc,shgfp_auc,r2_drop
LMX1B,0.9118760294929438,-0.8387742581197701,0.9848077436719264,0.3514623115646779,1.750650287612714
EHF,0.5419610431500739,-1.137007655776079,0.8874572926131816,0.2800278809209963,1.678968698926153
NFIB,0.9552599562789664,-0.6999243616562092,0.9995721215073944,0.2590840713000811,1.6551843179351757
HES1,0.832190434955461,-0.7845799162678788,0.954313622907309,0.3976084577359918,1.6167703512233398
ASCL1,0.9828073968735532,-0.58319486090078,0.9996655909169658,0.4822069820719331,1.566002257774333
EPCAM,0.925881560225876,-0.6343981133159038,0.9950003527976856,0.3635776577960742,1.5602796735417797
TCF7L1,0.7469358522049772,-0.8103673182308133,0.950637408568443,0.2105196980171085,1.5573031704357905
ICAM1,0.8871653854813482,-0.6408025072294725,0.979851442778231,0.4479141298524183,1.5279678927108207
SMAD3,0.932041150644682,-0.5692917218191287,0.99436117901897,0.4768437894131258,1.5013328724638106
GRHL2,0.9070284999688334,-0.587174406009876,0.9954327357918932,0.4727131242201822,1.4942029059787094
THRB,0.4661833527268533,-0.8990752840258629,0.882248315591103,0.2473007882444506,1.3652586367527162
ETS1,0.9071301376875426,-0.3441065175410851,0.9914333074920744,0.5382413719642096,1.2512366552286278
PKNOX2,0.9047849513542572,-0.3304467764124059,0.9873543093085244,0.5151413184832667,1.2352317277666631
RORA_RORB,0.9594859668739116,-0.242984604669598,0.9990155467080858,0.6010163297915718,1.2024705715435096
NFKB1,0.8845447418003036,-0.311917062879594,0.990820721394887,0.4849566213094838,1.1964618046798976
SIX1,0.9686492011024465,-0.1849073449337879,0.9977611940298508,0.6270511020907518,1.1535565460362345
JUN,0.9252846041993286,-0.2160763045157732,0.9940920681176578,0.5075510503803897,1.1413609087151018
PROX1,0.9119485829233314,-0.1966778901336519,0.9955183297763456,0.6661721982506534,1.1086264730569833
ZBTB20,0.969738400243145,-0.0425390564780794,0.9993694678687132,0.6048302591468465,1.0122774567212243
BACH1,0.8889451852231156,-0.0821520799326094,0.988929454567566,0.6446785383867466,0.971097265155725
SIX4,0.977431340233158,0.0125095557358987,0.99861613852374,0.6051350347782295,0.9649217844972593
SOX11,0.7516723435723596,-0.1980790324185806,0.939283987697878,0.5839060452883615,0.9497513759909402
TCF7L2,0.8608436782082687,-0.0824397055514492,0.9691539633611156,0.6579862006889601,0.9432833837597179
KMT2A,0.8448841862329453,-0.0952791808486934,0.9563091382485552,0.6191049811509697,0.9401633670816386
RUNX1,0.8793011409050082,-0.0405866224265876,0.9870533309884698,0.6338048261147471,0.9198877633315958
HSF2,0.9183464418727634,0.0288540578379923,0.992818920560454,0.6602061311423683,0.889492384034771
REST,0.9505989759014012,0.0913535553480406,0.9946122781678164,0.7376736933507664,0.8592454205533606
FOXO3,0.7292597247607827,-0.1280233933936001,0.9348275279345344,0.6542954307299831,0.8572831181543829
NCAM1,0.9671331834632708,0.1134590186643861,0.9966818990402538,0.7268718181894471,0.8536741647988847
TBX15,0.9516115190170412,0.1143187620612407,0.9981216725489024,0.6896056832940055,0.8372927569558005
TEAD1,0.9780356167189944,0.1969008022710098,0.9994696270129924,0.742505611553442,0.7811348144479846
CUX2,0.8673652608132496,0.0961589779483329,0.9814112392043752,0.650457992904042,0.7712062828649167
NFIX,0.9422455883376544,0.1968603855896255,0.9809150876811988,0.7189052535841398,0.7453852027480289
NFATC2,0.8688035301035486,0.1360364754182834,0.9767599683126486,0.7188139037571715,0.7327670546852652
MEIS2,0.925875478280672,0.1969643108998338,0.9837886248145692,0.7738200922285694,0.7289111673808382
FOS,0.8107868092475858,0.0973312632930195,0.9762358853267944,0.693800050567825,0.7134555459545664
NFIA,0.8768272146054387,0.1750274777189105,0.9710151031874578,0.7173465113627804,0.7017997368865282
JUNB,0.3345412091448909,-0.2748374994113385,0.8274953635575625,0.4935020202286416,0.6093787085562294
STAT2,0.5768096180077645,-0.0289261901563882,0.88979059245779,0.5851487760619618,0.6057358081641527
EGR1,0.7569513585380252,0.2089321732177885,0.9517528088470006,0.7897135253315419,0.5480191853202367
PBX1,0.4250445120498052,-0.0062304674679167,0.8565506911542584,0.5953154077160699,0.4312749795177219
BACH2,0.3479725055653738,0.2195833038046309,0.9091204974747183,0.7523789304617934,0.1283892017607429
ZEB1,0.9298943193323816,0.9249447904565964,1.0,1.0,0.0049495288757852585
STAT1,0.9219429007095142,0.9195387430959232,1.0,1.0,0.002404157613591029
ESR1,0.9180265010461228,0.916367506733036,1.0,1.0,0.0016589943130868035
JUND,0.9251145988689512,0.9240888341844604,1.0,1.0,0.001025764684490782
TCF4,0.9473402880973392,0.9464029174745344,1.0,1.0,0.0009373706228047451
TFDP1,0.9401183341473218,0.9399138858972524,1.0,1.0,0.00020444825006937783
NR6A1,0.9528948882062128,0.9528076667246438,1.0,1.0,8.722148156903309e-05
SOX9,0.929528089265046,0.9294815192796836,1.0,1.0,4.65699853624546e-05
RBPJ,0.961307984105447,0.9612691291291622,1.0,1.0,3.885497628486334e-05
NFYC,0.944989916681844,0.9449720097256392,1.0,1.0,1.7906956204738478e-05
CREB1,0.975735679711676,0.9757261918596372,1.0,1.0,9.48785203880309e-06
