PC,metadata_col,corr
PC3,stress_score1,-0.14188120269794255
PC4,nCount_RNA,0.06926321546276044
PC4,nFeature_RNA,0.05389028883553271
PC4,gene_count,0.05389123307900184
PC4,tscp_count,0.06926340429697724
PC4,mread_count,0.06760939560740373
PC4,percent.mt,0.12521725046146456
PC4,prediction.score.Generalist.NE,0.1323557598059917
PC4,prediction.score.Neuroendocrine2,0.0029633471504724603
PC4,prediction.score.Stress,0.10602732112999383
PC4,prediction.score.Generalist.nonNE,0.2267601255300265
PC4,prediction.score.nonNE1,0.1488672286994943
PC4,prediction.score.Neuroendocrine1,-0.23748881300494284
PC4,prediction.score.Intermediate,0.08798995538677397
PC4,prediction.score.nonNE2,0.11382807726494722
PC4,prediction.score.max,0.1669797298171007
PC4,Ascl1_targets_score1,-0.17780783036878967
PC4,Rest_targets_score1,-0.1593848479830059
PC4,HES1_high_score1,0.11220814721394434
PC4,Liu_sclcI_score1,-0.04089941987201362
PC4,Intermediate_score1,0.09797967194064396
PC4,NE1_score1,-0.06455793034865184
PC4,NE2_score1,0.07545818130164889
PC4,nonNE1_score1,0.08669502755777513
PC4,nonNE2_score1,0.026011994765403137
PC4,stress_score1,-0.08511133635541879
PC5,nCount_RNA,0.029697182489264833
PC5,nFeature_RNA,0.07531585018653501
PC5,gene_count,0.07531216068341376
PC5,tscp_count,0.02969634303035556
PC5,mread_count,0.027984485048046234
PC5,percent.mt,-0.037825572113529854
PC5,prediction.score.Generalist.NE,0.15801038819137458
PC5,prediction.score.Neuroendocrine2,0.13372201892262933
PC5,prediction.score.Stress,-0.02631679573263819
PC5,prediction.score.Generalist.nonNE,-0.19136084076221005
PC5,prediction.score.nonNE1,-0.1189580989610228
PC5,prediction.score.Neuroendocrine1,-0.22404132530604517
PC5,prediction.score.Intermediate,0.10563605828702778
PC5,prediction.score.nonNE2,-0.09427976210817045
PC5,prediction.score.max,0.11640909736687768
PC5,Ascl1_targets_score1,-0.048020863221254394
PC5,Rest_targets_score1,-0.16367730896792276
PC5,HES1_high_score1,-0.15824261457438804
PC5,Liu_sclcI_score1,-0.0721828529850103
PC5,Intermediate_score1,0.2028788767907987
PC5,NE1_score1,-0.10717642323075752
PC5,NE2_score1,0.15309562132566806
PC5,nonNE1_score1,-0.09029256467006522
PC5,nonNE2_score1,-0.10168904879165615
PC5,stress_score1,-0.03517897737148734
PC6,nCount_RNA,0.05383757980936483
PC6,nFeature_RNA,0.0675319486133891
PC6,gene_count,0.0675307750147761
PC6,tscp_count,0.05383726235271309
PC6,mread_count,0.0540041570315751
PC6,percent.mt,0.032475267992501826
PC6,prediction.score.Generalist.NE,-0.09852838730380946
PC6,prediction.score.Neuroendocrine2,0.07464110700735552
PC6,prediction.score.Stress,-0.05242465609943781
PC6,prediction.score.Generalist.nonNE,0.5962829017006582
PC6,prediction.score.nonNE1,0.4077813651292134
PC6,prediction.score.Neuroendocrine1,0.025919809173000036
PC6,prediction.score.Intermediate,-0.03755919430797331
PC6,prediction.score.nonNE2,0.3025972310122682
PC6,prediction.score.max,-0.03486384851003186
PC6,Ascl1_targets_score1,-0.16138029073046908
PC6,Rest_targets_score1,-0.22342775392338973
PC6,HES1_high_score1,0.334045820597494
PC6,Liu_sclcI_score1,0.15295183633786502
PC6,Intermediate_score1,-0.008782530176640628
PC6,NE1_score1,-0.05182176712399799
PC6,NE2_score1,-0.016216137931284035
PC6,nonNE1_score1,0.3441777720083831
PC6,nonNE2_score1,0.06652843590588776
PC6,stress_score1,0.014549553804181239
