organoid_start,basin,pct_time_unperturbed,pct_time_RORA_RORB_kd,shift
Neuroendocrine1,Generalist_NE,10.464,0.39525,-10.06875
Neuroendocrine1,Generalist_nonNE,0.1555,0.4215,0.266
Neuroendocrine1,Arc_3,0.061750000000000006,0.061,-0.0007500000000000076
Neuroendocrine1,Arc_5,4.47975,0.156,-4.32375
Neuroendocrine1,Arc_6,0.034,0.03175,-0.002250000000000002
Neuroendocrine1,None,83.97275,98.38525,14.412499999999994
Generalist NE,Generalist_NE,1.4265,0.21025,-1.21625
Generalist NE,Generalist_nonNE,0.12475,0.788,0.66325
Generalist NE,Arc_3,0.3795,0.345,-0.03450000000000003
Generalist NE,Arc_5,0.51725,0.0005,-0.51675
Generalist NE,Arc_6,0.15025,0.15325,0.0030000000000000027
Generalist NE,None,96.758,97.786,1.0280000000000058
Intermediate,Generalist_NE,1.645,0.82675,-0.81825
Intermediate,Generalist_nonNE,7.36525,8.20175,0.8365000000000009
Intermediate,Arc_3,1.75775,0.68025,-1.0775
Intermediate,Arc_5,0.0315,0.0,-0.0315
Intermediate,Arc_6,1.53425,1.0135,-0.5207499999999998
Intermediate,None,86.97075,88.511,1.5402500000000003
Neuroendocrine2,Generalist_NE,1.13275,1.201,0.06825000000000014
Neuroendocrine2,Generalist_nonNE,6.39475,7.62075,1.226
Neuroendocrine2,Arc_3,1.00025,0.7265,-0.27375000000000005
Neuroendocrine2,Arc_5,0.1305,0.0,-0.1305
Neuroendocrine2,Arc_6,0.51075,0.35775,-0.15300000000000002
Neuroendocrine2,None,90.31425,89.67225,-0.6419999999999959
