PC,metadata_col,eta_squared,n_groups
PC1,predicted.id,0.10883930180998919,7
PC1,seurat_clusters,0.33918580128850745,8
PC1,tree.ident,0.5131928696907966,21
PC1,rcpa_clusters,0.33918580128850745,8
PC1,orig.ident,0.0,1
PC2,predicted.id,0.20296769628793038,7
PC2,seurat_clusters,0.24155215837836597,8
PC2,tree.ident,0.32557083712893825,21
PC2,rcpa_clusters,0.24155215837836597,8
PC2,orig.ident,0.0,1
PC3,predicted.id,0.12232145139006441,7
PC3,seurat_clusters,0.14965324119304532,8
PC3,tree.ident,0.21846589966542515,21
PC3,rcpa_clusters,0.14965324119304532,8
PC3,orig.ident,0.0,1
PC4,predicted.id,0.06410031747017422,7
PC4,seurat_clusters,0.19168697186409717,8
PC4,tree.ident,0.2427762566405135,21
PC4,rcpa_clusters,0.19168697186409717,8
PC4,orig.ident,0.0,1
PC5,predicted.id,0.051599156619587444,7
PC5,seurat_clusters,0.1252294993262661,8
PC5,tree.ident,0.16589715144528375,21
PC5,rcpa_clusters,0.1252294993262661,8
PC5,orig.ident,0.0,1
PC6,predicted.id,0.28332966549902755,7
PC6,seurat_clusters,0.25507472495464023,8
PC6,tree.ident,0.29603620245588524,21
PC6,rcpa_clusters,0.25507472495464023,8
PC6,orig.ident,0.0,1
