name,mean_gene_std,n_cells,relative_diversity_vs_gemm,mean_r2,strong_sign_flip_rate,sign_flip_rate
allograft_mt3,0.09007861905221361,1469,0.43975618280609613,0.10957240533100157,0.3112582781456953,0.3584070796460177
allograft_mt6,0.13862596470792946,3317,0.6767602092393931,0.25390221401441204,0.2119205298013245,0.247787610619469
allograft_3L,0.11285456589812291,1801,0.5509464247318296,0.18335222526612685,0.2781456953642384,0.3407079646017699
allograft_2LR,0.10680191455812305,2992,0.5213978939357291,0.2925788503235253,0.2582781456953642,0.3097345132743362
allograft_mt5,0.09767645186753898,3104,0.4768481585892692,0.25384168260020407,0.2781456953642384,0.3053097345132743
allograft_2L,0.10001824068401878,2125,0.48828057309238493,0.2789601253201466,0.271523178807947,0.3097345132743362
allograft_mt4Rf,0.11169931356493248,4026,0.5453065807647814,0.23680429512579726,0.2649006622516556,0.3008849557522124
allograft_TKO-luc,0.24763054641615756,4146,1.2089113374954787,0.5498306292431346,0.1589403973509933,0.2389380530973451
allograft_mt4,0.15956245727975288,3945,0.778970391318189,0.24106770302772618,0.2185430463576159,0.2566371681415929
allograft_5B,0.17002959687287902,5446,0.8300700795772153,0.15193191615347967,0.2913907284768212,0.3274336283185841
allograft_mt2,0.1424185300364656,3224,0.6952751917010255,0.11437624137526792,0.3774834437086092,0.415929203539823
allograft_1L,0.20576566666471963,1383,1.0045305431756066,0.35834947094260583,0.2251655629139073,0.3141592920353982
human_RU1181,0.14798747164863296,4362,0.7224622926069264,0.22594277197595336,0.2913907284768212,0.3008849557522124
human_PleuralEffusion,0.09621857224870024,559,0.46973091386552723,,0.3642384105960264,0.3893805309734513
human_RU1293,0.17562194651604235,5667,0.8573714565062848,0.1544156268089052,0.3841059602649007,0.3938053097345133
human_RU1145,0.14281562125453653,3422,0.6972137573686839,0.09792622507653337,0.3509933774834437,0.3716814159292035
human_RU426,0.22498793405694642,1374,1.0983720232318668,,0.3245033112582781,0.3584070796460177
human_RU1080,0.2567733309775526,2915,1.2535456367469702,0.25722280260801655,0.2847682119205298,0.3230088495575221
human_RU1152,0.17498359254859985,1483,0.8542550665465439,0.11521843979202141,0.3443708609271523,0.3849557522123893
human_RU1124,0.1987307493213173,891,0.9701866730115026,0.46881989464106855,0.2649006622516556,0.3097345132743362
human_RU1144,0.23777652797191431,3617,1.160804854714815,0.22980136077839336,0.3245033112582781,0.3761061946902654
human_RU1065,0.2275730247409823,177,1.1109922168291981,0.4560631617526429,0.2781456953642384,0.3141592920353982
human_RU1322,0.11721742335111085,3098,0.5722455250049033,0.09749170510337325,0.3112582781456953,0.3628318584070796
human_RU1231,0.17497186425323188,4942,0.8541978100026926,0.1401053005438147,0.3311258278145695,0.3495575221238938
human_RU1229,0.14448673839883583,3437,0.7053720096168995,0.14870008689403738,0.2913907284768212,0.3274336283185841
human_RU1066,0.2121857235877896,2762,1.035872716885559,0.12370163505379853,0.3774834437086092,0.415929203539823
human_RU1195,0.22604480064412688,267,1.1035315563264447,0.42671937697872075,0.2516556291390728,0.2920353982300885
human_RU1311,0.34997255885207423,145,1.7085363673088854,0.5379865508748085,0.2516556291390728,0.2876106194690265
human_RU1215,0.11361203886607492,3923,0.5546443435550779,0.033169142510470394,0.3576158940397351,0.3539823008849557
human_RU779,0.1801819242822929,216,0.8796328814400382,,0.4370860927152318,0.4336283185840708
human_RU1108,0.1250875629125585,11056,0.6106668792408885,0.07765384075023023,0.3178807947019867,0.3584070796460177
organoid_shGFP,0.1495308884816427,8894,0.7299971227597912,0.023188739280125447,0.3774834437086092,0.4203539823008849
organoid_shRORB1,0.22287551539529835,6193,1.0880593743823517,0.15082702253875024,0.2582781456953642,0.3097345132743362
organoid_shRORB2,0.21408422360046098,10101,1.0451410330233293,0.16178585380406868,0.2781456953642384,0.3716814159292035
organoid_combined,0.2083186715961547,25188,1.0169940968484517,0.0995993149327351,0.3377483443708609,0.4203539823008849
mets_compiled,0.05958307287681995,5533,0.2908795112964589,0.019325370558959512,0.3112582781456953,0.331858407079646
