comparison,score,mean_shGFP,mean_shRORB1,diff,mannwhitney_p,significant_bonferroni,ne_vs_intermediate,mean_shRORB2
shGFP_vs_shRORB1,prediction.score.Generalist.NE,0.6725962469029143,0.6094225554837154,-0.06317369141919893,2.3087778242178007e-21,True,NE,
shGFP_vs_shRORB1,NE1_score1,0.30270126128252284,0.24533604960279107,-0.05736521167973177,1.7397907399134521e-44,True,NE,
shGFP_vs_shRORB1,NE2_score1,0.20114468259994628,0.1793983134508186,-0.02174636914912767,6.02888668458892e-14,True,NE,
shGFP_vs_shRORB1,prediction.score.Intermediate,0.06825215862253667,0.14994155302917356,0.08168939440663689,2.1756315224147625e-82,True,Intermediate,
shGFP_vs_shRORB1,Intermediate_score1,0.2807468836937517,0.27603311659917457,-0.004713767094577159,0.00032755631681600773,True,Intermediate,
shGFP_vs_shRORB2,prediction.score.Generalist.NE,0.6725962469029143,,-0.07281535804170292,4.921819738046103e-37,True,NE,0.5997808888612114
shGFP_vs_shRORB2,NE1_score1,0.30270126128252284,,-0.1441139758032734,0.0,True,NE,0.15858728547924944
shGFP_vs_shRORB2,NE2_score1,0.20114468259994628,,-0.019656412978350496,7.965351118487815e-11,True,NE,0.18148826962159578
shGFP_vs_shRORB2,prediction.score.Intermediate,0.06825215862253667,,0.22348884432833946,0.0,True,Intermediate,0.2917410029508761
shGFP_vs_shRORB2,Intermediate_score1,0.2807468836937517,,0.058605705814897824,2.6113086546950726e-120,True,Intermediate,0.33935258950864955
