gene,predicted_shift_gemm_rule,real_shift_shRORB1_minus_shGFP,real_shift_shRORB2_minus_shGFP,sign_agree_shRORB1,sign_agree_shRORB2
SIX1,-0.19446344505923355,-0.001590406594074778,0.009618595840201916,True,False
FOXO3,-0.17286076231741654,-0.001647440117376997,-0.003923998785727412,True,True
ASCL1,-0.1426539778148711,-0.0027170371046282282,-0.017749481841528136,True,True
EGR1,-0.05895929476258399,-0.008282532602124859,-0.03557425864441233,True,True
CUX2,-0.05394323784769017,-0.0010580664266078843,-0.04771534999272975,True,True
HES1,0.005954247420155712,-0.013929779811983012,-0.008777027306955287,False,False
ICAM1,0.025672163111825408,-0.019438347127750943,-0.005855559106434871,False,False
FOS,0.054433612839560774,-0.017141150258021043,0.0016086379967028552,False,True
NFIX,0.08691613601523346,0.029214488727724308,0.10178672334187155,True,True
