gene,mean_cluster2,mean_rest,diff,pval
NFIB,1.4398539532919838,1.7014237349142787,-0.26156978162229483,3.9577895516777876e-257
ZBTB20,0.9149796024219069,1.1205272433551883,-0.20554764093328137,2.0814517796782233e-111
ZEB1,0.21317546844759552,0.34308578934426714,-0.12991032089667162,3.053116928316231e-281
TCF4,0.4933453283078483,0.6164833614201959,-0.12313803311234761,1.0387291560052611e-119
RORB,0.22923074887508266,0.34434883061896426,-0.1151180817438816,2.0975918321085312e-207
SOX11,0.36303198774322226,0.47465224098998177,-0.1116202532467595,1.4662782735844425e-133
FOXP1,1.1299657210657432,1.2196512964304673,-0.0896855753647241,4.2508033056001497e-60
RORA_RORB,0.188221548250245,0.25246182358935654,-0.06424027533911153,8.849299791888434e-189
NFIX,0.11484125326177091,0.16747044614623852,-0.0526291928844676,3.984568334600446e-280
TCF12,0.8896797856741446,0.9403369637647018,-0.05065717809055714,1.6140296823540885e-16
CUX2,0.32596826932266987,0.3680093832153914,-0.04204111389272153,6.948655891819434e-33
NCAM1,0.6642327299687055,0.7010878921518076,-0.03685516218310203,5.633525912623918e-12
TBX15,0.09911555761683324,0.13227381501875693,-0.033158257401923685,8.632443004599912e-193
ARID5B,0.09881192180946287,0.12946243602587554,-0.03065051421641267,3.424365736885458e-126
KMT2A,0.2790449831828486,0.3049513275145291,-0.025906344331680486,2.6315393979040675e-31
PROX1,0.23045136102814057,0.25595493268133973,-0.025503571653199164,3.2787486709629864e-45
CUX1,0.21652920138886853,0.23704324714423353,-0.020514045755365,3.213010717449667e-36
RARB,0.0296348688351729,0.04617856295547301,-0.01654369412030011,8.864032589825363e-208
PKNOX2,0.08134037750780429,0.09696177367520871,-0.01562139616740442,6.714300514513452e-96
SIX4,0.11132153612923758,0.12491851685366064,-0.013596980724423058,1.2468556351264047e-51
RORA,0.1472123476254073,0.16057481655974887,-0.013362468934341565,1.1929882781621034e-07
ZBTB18,0.0452605622634551,0.05804239041442533,-0.012781828150970224,3.217665465443722e-166
NR2F2,0.035779561751588265,0.04743962752539901,-0.011660065773810742,3.901705394859568e-173
BACH2,0.0814563195378777,0.09258613253775873,-0.011129812999881028,7.748485466912218e-56
SIX1,0.11075109370746164,0.11960674506637044,-0.008855651358908798,4.3309915185034664e-24
CREB1,0.1413473901058003,0.1496238005601352,-0.008276410454334887,6.729700609430045e-13
TFDP1,0.23964350379818153,0.24716457333565292,-0.007521069537471392,0.0002931462409100571
NFKB1,0.07508953235724145,0.08142482498845796,-0.006335292631216516,5.822454047557515e-26
STAT2,0.017807363245132428,0.02117724969967888,-0.0033698864545464516,2.4008180191453888e-77
SOX6,0.06885775845700987,0.07208139426637016,-0.0032236358093602896,0.03307979939689691
STAT1,0.035210346506076635,0.03684614886381815,-0.0016358023577415157,1.5705681387586515e-11
NFIA,0.03980016313645203,0.04134600837785957,-0.0015458452414075369,0.0012054883604164014
HSF2,0.11784326938866671,0.11919982032943241,-0.0013565509407656995,0.3982335631073417
BACH1,0.028399897754844094,0.029470848146643844,-0.00107095039179975,1.9189303359859118e-11
RUNX2,0.01866125734038176,0.019651530967077682,-0.0009902736266959207,2.4589973104623185e-08
RUNX1,0.0030086930603514302,0.0036382172145390315,-0.0006295241541876013,2.3986959034499347e-29
HES1,0.006193197433558126,0.00665690434268325,-0.00046370690912512363,4.475921203932978e-08
STAT4,0.0006994588597082974,0.0011382500704028848,-0.00043879121069458744,3.5919660433855614e-77
RBPJ,0.138522100392497,0.1388535881012323,-0.00033148770873531186,0.0435497297407008
EBF3,0.0005598004143428044,0.000790066660756053,-0.00023026624641324866,2.317576736604359e-65
TCF7L2,0.0005880218240820022,0.0007872029319600135,-0.0001991811078780113,1.5313116477402924e-26
