,GATA2,FOG1,EKLF,CJUN,FLI1,CEBPA,SCL,GFI1,GATA1,PU1
GATA2,,,,,0.12240902817304439,,,,,
FOG1,0.48819875626277803,,,,,,1.1372296987223738,,2.005718698195831,
EKLF,,,,,,0.5262512489719587,,,,
CJUN,,,,0.7488439970375098,,,,,,
FLI1,1.1768445798059752,,,3.2163312726915327,,,2.154970021200348,,2.8606261454230504,
CEBPA,,,,,,0.7455495174352839,,,,
SCL,0.947582089103017,,,,1.5698019008628337,,3.9851717177863177,,2.6111195901757904,
GFI1,,,0.9255394111092847,,1.0904885989748623,,0.9236244226496818,,,
GATA1,,,1.1385711775639746,,0.7210292965857661,,,,,
PU1,,,,0.7490957357421004,1.214790154001614,,1.5090088538931525,,,
