GATA2|FLI1|0.531571,0.409162
FOG1|GATA1,SCL,GATA2|0.072177,0.119165,0.177217,0.365104,0.375205,0.601360,0.867824,0.894993
EKLF|CEBPA|0.620342,0.094091
CJUN|CJUN|0.126812,0.875656
FLI1|CJUN,GATA1,SCL,GATA2|0.773561,0.540467,0.232351,0.356897,0.247839,0.129547,0.005703,0.032951,0.866814,0.806395,0.921894,0.859416,0.829676,0.702565,0.062614,0.486272
CEBPA|CEBPA|0.118691,0.864240
SCL|SCL,GATA1,FLI1,GATA2|0.055941,0.161697,0.033861,0.115401,0.492801,0.536180,0.046862,0.206160,0.655771,0.568400,0.161971,0.582887,0.991221,0.949891,0.865963,0.857970
GFI1|FLI1,EKLF,SCL|0.731247,0.713959,0.469849,0.308859,0.423624,0.796434,0.553281,0.925817
GATA1|EKLF,FLI1|0.166362,0.033775,0.963576,0.375133
PU1|SCL,FLI1,CJUN|0.330050,0.559153,0.803834,0.843373,0.021296,0.264011,0.252177,0.489917
