,GATA2,FOG1,EKLF,CJUN,FLI1,CEBPA,SCL,GFI1,GATA1,PU1
GATA2,,,,,-0.12240899999999999,,,,,
FOG1,0.05715215558036425,,,,,,0.24431587023993384,,0.46749147994308926,
EKLF,,,,,,-0.5262509999999999,,,,
CJUN,,,,0.748844,,,,,,
FLI1,-0.03942534203751183,,,0.2408730800907151,,,-0.10732242998578348,,-0.2289046461659474,
CEBPA,,,,,,0.745549,,,,
SCL,0.055843077812313104,,,,-0.07461608226444655,,0.36943375923915345,,0.21949531394523847,
GFI1,,,-0.107479290757787,,0.053213153564306365,,0.13877757697230814,,,
GATA1,,,0.5582701963588306,,-0.3034726353850933,,,,,
PU1,,,,0.1483185514865424,0.28851186265682244,,-0.3524045005791584,,,
