name,n_cells_loom,n_held_out_matched,mean_log1p_cp10k_Ascl1,mean_log1p_cp10k_Neurod1,mean_log1p_cp10k_Yap1,mean_log1p_cp10k_Pou2f3
mt2,3230,3224,2.237717075788344,0.0,0.0051847378509160165,0.0
2L,2136,2125,1.0216488786159534,0.004546050558277926,0.0011411294464688424,0.0
mt4Rf,4111,4026,1.8611643594249683,0.004164756542481698,0.0005181751545553047,0.0
1L,1387,1383,1.4683465990524798,0.0,0.004006458661881547,0.0
TKO-luc,4160,4146,1.4970832954647713,0.0,0.029092585127754478,0.0
2LR,2996,2992,1.006254171407804,0.008048581277907309,0.001919346446699345,0.0
mt3,1471,1469,1.7926704170109267,0.0007210077951623517,0.0,0.0005210663358867587
mt4,3955,3945,1.8213943635200278,0.0038926906808690884,0.00011915428062021995,0.0
5B,5454,5446,1.0566968975992133,0.007648194757511702,0.001026272884659486,0.0
mt5,3125,3104,2.1820002763189192,0.0,0.000847898189720723,0.0
3L,1802,1801,2.3273393111558303,0.0,0.0,0.0
mt6,3321,3317,1.8263685317165494,0.0,0.011587762964457871,0.0
