gene,r2,f1,roc_auc_score
ASCL1,-0.3916161971733767,0.44516129032258067,0.5062495455008217
BACH1,-0.3827969518303076,0.5314603453321627,0.48347786319134745
BACH2,-0.27780745066938306,0.4946533287340462,0.5337803170140044
CREB1,0.9756903933983534,0.9987569919204475,1.0
CUX2,-0.26114903666778844,0.5534373194685153,0.5013609055761091
EGR1,-0.2260672702337143,0.6052426680508695,0.5059868157479581
EHF,-0.33297072288685703,0.4821953609931395,0.49833480001303715
EPCAM,-0.3691686978374571,0.5430310055056505,0.48267671913629584
ESR1,0.9179172807205797,0.9983844911147012,1.0
ETS1,-0.3893922682220923,0.5230191042906358,0.5156985470420816
FOS,-0.21028913770213142,0.4335154826958106,0.5107939331340219
FOXO3,-0.436696373426517,0.4991822047759241,0.4987544838581108
GRHL2,-0.35818283262474915,0.557596967045786,0.5070692129972022
HES1,-0.3048718315319192,0.4669811320754717,0.48635369973262976
HSF2,-0.3068655013610526,0.42311886586695746,0.4798491746859087
ICAM1,-0.317769911958526,0.3387372013651877,0.49231000285414805
JUN,-0.3598972555863982,0.5378100423472474,0.5054770527260601
JUNB,-0.35025537211463353,0.5338389731621938,0.4837487277057458
JUND,0.9248643890450557,0.9974968710888611,1.0
KMT2A,-0.3589121674855098,0.5866050808314087,0.4824890654112732
LMX1B,-0.33802685775793995,0.5040957781978576,0.5168040618235931
MEIS2,-0.3743353464675365,0.556083916083916,0.4928207719855423
NCAM1,-0.2427988670563901,0.4887372013651877,0.5202938914880084
NFATC2,-0.34215997138202536,0.5510744774801295,0.503534985787493
NFIA,-0.24402591984893385,0.4614334470989761,0.4852390930180349
NFIB,-0.21446547267533256,0.5120743034055728,0.4983844612621592
NFIX,-0.3512103167404532,0.3690572119258662,0.5065405312631036
NFKB1,-0.3883929475666814,0.5425942416147225,0.5125328032502463
NFYC,0.9449653676610024,0.9996904982977406,1.0
NR6A1,0.9528582150462325,0.9977176393870232,1.0
PBX1,-0.16222075611651676,0.5547277936962751,0.5013654736826332
PKNOX2,-0.32695476640832366,0.5246305418719212,0.5089114460082202
PROX1,-0.590212553593723,0.37297510865270644,0.5064587633285446
RBPJ,0.9613039038053651,0.9968409968409968,1.0
REST,-0.4793405399123549,0.41248518372184906,0.5283622031211368
RORA_RORB,-0.47596065400988774,0.5161290322580645,0.487842430054622
RUNX1,-0.3222674228868685,0.40820980615735464,0.49388403990024937
SIX1,-0.49898018033072566,0.33636363636363636,0.4772014704227153
SIX4,-0.17764917490481236,0.5237356500155135,0.5026322345965071
SMAD3,-0.4391012211608276,0.3875142748382185,0.5002911335465814
SOX11,-0.3687179939727132,0.41119402985074627,0.4826716282596306
SOX9,0.9271168652237288,0.9872673849167483,1.0
STAT1,0.9207868083457712,0.9900249376558603,1.0
STAT2,-0.1681464428276358,0.475354490209318,0.49388917710910685
TBX15,-0.3016848351667021,0.5476405169822663,0.5150080791154865
TCF4,0.9466534367700767,0.9945460378569136,1.0
TCF7L1,-0.228159811119385,0.37872171496625645,0.5020622683789391
TCF7L2,-0.4773575439994078,0.2672853828306265,0.4936077468766613
TEAD1,-0.3667506420824549,0.5012787723785166,0.5017146263858168
TFDP1,0.9396741995084148,0.9971936389148737,1.0
THRB,-0.3797706352839034,0.5328139047048247,0.4878571413743209
ZBTB20,-0.3040877576958223,0.5092533503509892,0.5011329819387151
ZEB1,0.9295928581405218,0.9941158253329204,1.0
