line,mean_r2,mean_f1,mean_auc,n_cells
D_Sample1,-0.14326626786412575,0.6400623213286137,0.6674059939910905,2705
D_Sample12,-0.7960826062616451,0.5267777619843589,0.6772984090282462,538
D_Sample4,-0.5119027848151341,0.5558453509374628,0.6650617254202132,3758
D_Sample6,-0.1793463610033843,0.6242631651243812,0.6619055432200871,1254
D_Sample9,-0.10593431172223697,0.625640370835474,0.6614103818017628,639
"organoid_shGFP (pooled, all lines)",0.02318873928012545,0.6236952866947547,0.6599848226684297,8894
