gene,r2,f1,roc_auc_score
ASCL1,-0.350821298109534,0.4197056941778631,0.5039867543066814
BACH1,-0.3605665473719861,0.5392568659127626,0.4986260574537411
BACH2,-0.35923881069219155,0.4935064935064935,0.5008056081494043
CREB1,0.9756616108677346,0.9996587030716724,1.0
CUX2,-0.2637868533843315,0.5649664638901888,0.49831377689427847
EGR1,-0.23546067323720044,0.5976613252490256,0.49794068227598165
EHF,-0.37263450541759546,0.4523023120264232,0.5046427373631459
EPCAM,-0.34561382145417197,0.5822102425876011,0.4873545429037853
ESR1,0.9160908134125473,0.9979287489643744,1.0
ETS1,-0.43852364502359853,0.5237855101697765,0.4967338394316696
FOS,-0.20941795308651834,0.42369020501138954,0.5038553507587826
FOXO3,-0.44321289059313607,0.45922256097560976,0.4959605593247646
GRHL2,-0.44874144782298564,0.49786434307192895,0.48908700595811216
HES1,-0.3250158618525856,0.45376549094375596,0.4817672880128523
HSF2,-0.26957685082483795,0.3903296703296703,0.4910372066670171
ICAM1,-0.2964433073172872,0.32666015625,0.4963980867217327
JUN,-0.34942164066627024,0.5281107546851258,0.49888458128465807
JUNB,-0.3180175064094468,0.5492527719749317,0.4976521308354649
JUND,0.9240055736419752,0.9964519140989729,1.0
KMT2A,-0.3505198318206022,0.5820166618787704,0.505603823089395
LMX1B,-0.31699654723413295,0.5154394299287411,0.5060257191145439
MEIS2,-0.3355218882817117,0.5748356520409723,0.5128161476476083
NCAM1,-0.2709548518220477,0.4454728370221328,0.5054892094598984
NFATC2,-0.3790577597973188,0.4647940074906367,0.49603096973126803
NFIA,-0.23726926274750593,0.46116413999625677,0.4832352732332676
NFIB,-0.21059590704607034,0.5091288471570161,0.5055930339069585
NFIX,-0.3085509508131363,0.4168205128205128,0.5091425402240556
NFKB1,-0.4251414281866406,0.4844428364688857,0.5044662806823397
NFYC,0.9449799980054427,0.9996465182043125,1.0
NR6A1,0.9528867332045906,0.998848810437452,1.0
PBX1,-0.16318066146173638,0.5317552925487581,0.5065612892343807
PKNOX2,-0.3769359609884959,0.48567335243553006,0.5001039295535501
PROX1,-0.6939202370625583,0.2823809523809524,0.49819407827975826
RBPJ,0.961174469169846,0.9977314910290782,1.0
REST,-0.48463346344557,0.382486388384755,0.49472843706132225
RORA_RORB,-0.46501110772149334,0.4927175843694494,0.4986746835728064
RUNX1,-0.28723850973912834,0.37720848056537104,0.5007557146008847
SIX1,-0.5587387145943188,0.378367511057499,0.5013997748783692
SIX4,-0.16595507671993603,0.5262444971215713,0.5123040806643415
SMAD3,-0.3820985015729965,0.3600283486888731,0.4965654391465069
SOX11,-0.3100487576908011,0.38600503087125543,0.5019047908259795
SOX9,0.9288371315768283,0.9895118999596612,1.0
STAT1,0.920197182490946,0.989010989010989,1.0
STAT2,-0.153174898745426,0.47922489286379727,0.5033037197474064
TBX15,-0.31459350342432923,0.5388532939050436,0.49677941660320374
TCF4,0.9462930061142587,0.9933230611196713,1.0
TCF7L1,-0.19355842028905168,0.3487595419847328,0.514722091492142
TCF7L2,-0.43640459729818537,0.28899668113352056,0.49770076986871903
TEAD1,-0.40315335831236654,0.48705758055995774,0.48246129332173404
TFDP1,0.9401138152570151,0.9955174429935685,1.0
THRB,-0.45110382889497314,0.5188353347590065,0.49530443916826367
ZBTB20,-0.28389660481700063,0.516900676027041,0.5112278662603797
ZEB1,0.9287605893840521,0.9943420332177405,1.0
