gene,leaf,n_cells_organoid,organoid_actual_mean,gemm_rule_value,residual
ASCL1,27,92.0,0.4524313526498369,0.947852,-0.4954206473501631
ASCL1,28,380.0,0.6818386132349351,0.975544,-0.29370538676506486
ASCL1,29,102.0,0.5654616014496706,0.993888,-0.4284263985503294
ASCL1,30,97.0,0.34880415415768506,0.758267,-0.40946284584231496
ASCL1,31,103.0,0.38926478554188715,0.981956,-0.5926912144581129
ASCL1,32,101.0,0.5601258348344508,0.032107,0.5280188348344508
ASCL1,33,285.0,0.6602295896884404,0.0979,0.5623295896884404
ASCL1,34,222.0,0.4612981507170665,0.002071,0.4592271507170665
ASCL1,35,468.0,0.6515676606353702,0.085089,0.5664786606353702
ASCL1,36,94.0,0.4871845024616092,0.058009,0.42917550246160924
ASCL1,37,159.0,0.7869157942594022,0.223591,0.5633247942594022
ASCL1,38,180.0,0.43470525806709387,0.006879,0.42782625806709385
ASCL1,39,302.0,0.6777057038134128,0.037109,0.6405967038134128
ASCL1,40,32.0,0.3401170829523299,0.071143,0.2689740829523299
ASCL1,41,227.0,0.5987927088326305,0.209734,0.3890587088326305
ASCL1,42,53.0,0.22802925924731662,0.185608,0.04242125924731663
ASCL1,43,279.0,0.4643204015594766,0.218428,0.24589240155947661
ASCL1,44,25.0,0.6147640010729667,0.475464,0.1393000010729667
ASCL1,45,106.0,0.6812378718112075,0.529674,0.15156387181120756
ASCL1,46,45.0,0.2662344553821377,0.09317,0.1730644553821377
ASCL1,47,193.0,0.5477054253836139,0.16269,0.3850154253836139
ASCL1,48,28.0,0.5016942020781051,0.095461,0.4062332020781051
ASCL1,49,42.0,0.729344845331316,0.22964,0.49970484533131604
ASCL1,50,32.0,0.4420629967578293,0.321283,0.1207799967578293
ASCL1,51,71.0,0.4653825713738851,0.292057,0.1733255713738851
ASCL1,52,87.0,0.5334495014299441,0.473748,0.05970150142994407
ASCL1,53,108.0,0.8733714100896636,0.485424,0.38794741008966355
ASCL1,54,85.0,0.3888972463477268,0.103446,0.28545124634772684
ASCL1,55,228.0,0.6339349783345424,0.129067,0.5048679783345424
ASCL1,56,65.0,0.4221076301030845,0.302427,0.1196806301030845
ASCL1,57,117.0,0.508140264769563,0.466909,0.04123126476956296
ASCL1,58,35.0,0.3449353565765999,0.400586,-0.05565064342340009
ASCL1,59,94.0,0.40783583174987575,0.539576,-0.1317401682501242
ASCL1,60,99.0,0.6854755083339978,0.538621,0.14685450833399782
ASCL1,61,216.0,0.6739174177724641,0.934443,-0.26052558222753597
ASCL1,62,86.0,0.3255255376096878,0.193493,0.13203253760968778
ASCL1,63,332.0,0.41212398283518736,0.85696,-0.4448360171648127
NFIB,0,291.0,0.5869130154234746,0.001072,0.5858410154234747
NFIB,1,32.0,0.8691398957250572,0.005086,0.8640538957250572
NFIB,2,163.0,0.9556862429319082,0.036993,0.9186932429319081
NFIB,3,82.0,0.9666329099487623,0.023763,0.9428699099487623
NFIB,4,51.0,0.15574560648999644,0.012049,0.14369660648999644
NFIB,5,12.0,0.8457593049394369,0.02537,0.8203893049394368
NFIB,7,22.0,0.9376971569282748,0.135676,0.8020211569282748
NFIB,8,47.0,0.14742380940457764,0.014513,0.13291080940457764
NFIB,10,12.0,0.40058424550533944,0.095146,0.30543824550533943
NFIB,12,59.0,0.10662098388586207,0.296521,-0.18990001611413793
NFIB,16,98.0,0.2197805179766801,0.012171,0.20760951797668012
NFIB,17,84.0,0.2648630406247239,0.210206,0.054657040624723874
NFIB,18,58.0,0.6676616362262522,0.289522,0.3781396362262522
NFIB,19,188.0,0.6165881968943042,0.34903,0.2675581968943042
NFIB,20,33.0,0.1279481350620824,0.375771,-0.2478228649379176
NFIB,23,42.0,0.6476773148661918,0.421351,0.22632631486619187
NFIB,24,13.0,0.012886198481852821,0.083426,-0.07053980151814718
NFIB,25,12.0,0.2561695961799001,0.19483,0.06133959617990009
NFIB,26,11.0,0.1548776806991327,0.148217,0.006660680699132726
NFIB,27,96.0,0.5188334299758403,0.194253,0.32458042997584025
NFIB,28,16.0,0.08450792507908274,0.285184,-0.20067607492091727
NFIB,31,17.0,0.4496191807007496,0.431595,0.01802418070074957
NFIB,32,80.0,0.39090949314326595,0.094156,0.29675349314326593
NFIB,33,29.0,0.9514827357827337,0.037321,0.9141617357827336
NFIB,34,51.0,0.8917470196484604,0.344355,0.5473920196484603
NFIB,35,70.0,0.9489481396517984,0.125772,0.8231761396517984
NFIB,36,43.0,0.2624123854431938,0.341188,-0.0787756145568062
NFIB,37,30.0,1.0,0.165298,0.834702
NFIB,38,11.0,0.7587633781752462,0.546868,0.21189537817524617
NFIB,39,55.0,0.9864118831613518,0.36728,0.6191318831613517
NFIB,40,26.0,0.044174715658251436,0.483873,-0.43969828434174857
NFIB,44,74.0,0.12474314128560857,0.492409,-0.3676658587143914
NFIB,46,10.0,0.2796341524210589,0.55407,-0.2744358475789411
NFIB,48,37.0,0.03870159091442679,0.48781,-0.44910840908557326
NFIB,49,20.0,0.6868428823777235,0.404854,0.2819888823777235
NFIB,50,33.0,0.17075583206476136,0.511797,-0.3410411679352386
NFIB,51,132.0,0.8466622809040086,0.464193,0.3824692809040086
NFIB,52,38.0,0.07464706422617606,0.504041,-0.4293939357738239
NFIB,53,18.0,0.5119559378166197,0.455709,0.05624693781661977
NFIB,54,19.0,0.1113033596182851,0.5881,-0.4767966403817149
NFIB,55,101.0,0.8170253717378667,0.573697,0.2433283717378667
NFIB,59,78.0,0.689296533612045,0.449201,0.240095533612045
NFIB,60,11.0,0.006075291735040469,0.523909,-0.5178337082649594
NFIB,62,15.0,0.0988314387655683,0.57147,-0.4726385612344317
NFIB,63,42.0,0.9019711704468366,0.611927,0.2900441704468366
NFIB,64,11.0,0.18648502612121484,0.170909,0.015576026121214837
NFIB,65,22.0,0.8848303441419971,0.0555,0.8293303441419971
NFIB,67,89.0,0.9630562968863405,0.151194,0.8118622968863405
NFIB,68,15.0,0.20031177882138415,0.204416,-0.004104221178615836
NFIB,69,12.0,0.9542741057804874,0.095361,0.8589131057804874
NFIB,71,75.0,0.9756190570542852,0.31538,0.6602390570542852
NFIB,72,18.0,0.08084707574926304,0.456231,-0.37538392425073697
NFIB,76,21.0,0.17283314472769237,0.481374,-0.3085408552723077
NFIB,80,20.0,0.058632659346104885,0.47391,-0.4152773406538951
NFIB,81,39.0,0.6704035198583461,0.356303,0.31410051985834614
NFIB,82,10.0,0.04102693517916879,0.503503,-0.46247606482083126
NFIB,83,390.0,0.9107282953553463,0.431958,0.47877029535534626
NFIB,84,14.0,0.022613236809666835,0.497576,-0.4749627631903332
NFIB,85,10.0,0.8919366320350306,0.398533,0.49340363203503057
NFIB,87,147.0,0.9452626333172228,0.500346,0.44491663331722286
NFIB,91,94.0,0.7673155886598007,0.447616,0.31969958865980064
NFIB,95,26.0,0.8357567403106553,0.793993,0.04176374031065533
NFIB,96,15.0,0.044500346741877576,0.423271,-0.3787706532581224
NFIB,97,22.0,0.9693828294777634,0.202231,0.7671518294777635
NFIB,99,49.0,0.982134108780562,0.384982,0.597152108780562
NFIB,100,16.0,0.0680079540232374,0.48545,-0.4174420459767626
NFIB,101,38.0,1.0,0.388828,0.611172
NFIB,103,98.0,0.9900003038798638,0.71123,0.2787703038798638
NFIB,104,12.0,0.10372692026574189,0.512044,-0.4083170797342582
NFIB,108,20.0,0.07441543807164487,0.561366,-0.4869505619283552
NFIB,113,23.0,0.7524077960201868,0.471139,0.28126879602018684
NFIB,114,11.0,0.07241129301458603,0.560777,-0.4883657069854139
NFIB,115,118.0,0.8614480428256849,0.5625,0.2989480428256849
NFIB,117,28.0,0.9085310918301117,0.602074,0.3064570918301117
NFIB,119,172.0,0.931707868664846,0.844905,0.08680286866484599
NFIB,123,20.0,0.760497660738637,0.729638,0.030859660738636996
NFIB,127,18.0,0.759824123068173,0.957257,-0.19743287693182698
NFIB,128,21.0,0.23100472122747018,0.064651,0.16635372122747016
NFIB,132,25.0,0.11836861407902009,0.338894,-0.22052538592097987
NFIB,136,48.0,0.10017443296351332,0.049479,0.050695432963513316
NFIB,140,145.0,0.12979040113347054,0.535863,-0.40607259886652947
NFIB,142,18.0,0.12733780338425524,0.548427,-0.42108919661574473
NFIB,146,10.0,0.025251599359843897,0.249398,-0.22414640064015612
NFIB,147,38.0,0.05393226941882182,0.475837,-0.42190473058117817
NFIB,148,11.0,0.10605984573738705,0.492583,-0.38652315426261297
NFIB,152,41.0,0.029204741455050892,0.517472,-0.4882672585449491
NFIB,154,18.0,0.014986440652086283,0.552695,-0.5377085593479137
NFIB,155,52.0,0.010260466900078034,0.657643,-0.647382533099922
NFIB,156,30.0,0.0539206450203491,0.96239,-0.9084693549796509
NFIB,158,25.0,0.04719662052969009,0.910546,-0.8633493794703099
NFIB,159,16.0,0.0905313375875142,0.695364,-0.6048326624124858
NFIB,160,14.0,0.04347221423066926,0.468103,-0.4246307857693307
NFIB,164,34.0,0.13613204264390583,0.491246,-0.3551139573560942
NFIB,168,88.0,0.10317382734264871,0.532119,-0.4289451726573513
NFIB,170,25.0,0.0992787899524131,0.529004,-0.4297252100475869
NFIB,172,543.0,0.12662904855194443,0.539823,-0.4131939514480556
NFIB,174,66.0,0.06961545182299249,0.652295,-0.5826795481770075
NFIB,176,12.0,0.030205886843357524,0.504636,-0.47443011315664246
NFIB,178,40.0,0.021755372456308625,0.530335,-0.5085796275436913
NFIB,179,50.0,0.09470752562782848,0.546439,-0.45173147437217154
NFIB,180,15.0,0.029652053018008103,0.539536,-0.5098839469819919
NFIB,182,25.0,0.0038529600152617605,0.668269,-0.6644160399847382
NFIB,183,33.0,0.4635868267275578,0.676701,-0.2131141732724422
NFIB,184,19.0,0.039776059457668586,0.961265,-0.9214889405423314
NFIB,186,43.0,0.002326452053046054,0.835469,-0.833142547946954
NFIB,187,43.0,0.0828252721780433,0.617343,-0.5345177278219567
NFIB,188,42.0,0.06440459447527667,0.887312,-0.8229074055247233
NFIB,190,54.0,0.03468980714275681,0.779112,-0.7444221928572432
NFIB,191,31.0,0.3959645532617673,0.725557,-0.3295924467382327
NFIB,192,22.0,0.19066699791109798,0.439214,-0.248547002088902
NFIB,195,13.0,0.8019136956155731,0.45325,0.34866369561557314
NFIB,196,51.0,0.17025273485404382,0.447331,-0.2770782651459561
NFIB,199,14.0,1.0,0.540893,0.45910700000000004
NFIB,200,92.0,0.1812000476000732,0.681684,-0.5004839523999267
NFIB,202,22.0,0.16690799529253614,0.607899,-0.44099100470746383
NFIB,204,260.0,0.18594669800028524,0.580722,-0.3947753019997147
NFIB,206,29.0,0.13802159372978504,0.826055,-0.6880334062702149
NFIB,208,23.0,0.11222209758823082,0.504038,-0.39181590241176917
NFIB,210,41.0,0.019249666389114607,0.518524,-0.49927433361088536
NFIB,211,70.0,0.4166058586055747,0.513383,-0.09677714139442534
NFIB,212,26.0,0.0743750619571834,0.568356,-0.49398093804281656
NFIB,214,13.0,0.048115724099025745,0.689822,-0.6417062759009743
NFIB,215,28.0,0.5529000311379317,0.662273,-0.10937296886206826
NFIB,216,54.0,0.09620146219955782,0.942444,-0.8462425378004421
NFIB,218,43.0,0.052298581102734644,0.905485,-0.8531864188972653
NFIB,219,83.0,0.18370066704469365,0.884429,-0.7007283329553063
NFIB,220,62.0,0.15344004543850226,0.984738,-0.8312979545614978
NFIB,222,45.0,0.051715825702541254,0.961322,-0.9096061742974587
NFIB,223,18.0,0.32160250011411506,0.920719,-0.5991164998858849
NFIB,224,25.0,0.08523609444080472,0.51705,-0.4318139055591953
NFIB,227,13.0,0.913746156029238,0.628449,0.285297156029238
NFIB,228,76.0,0.14913173333691498,0.644903,-0.495771266663085
NFIB,230,18.0,0.20003807123026066,0.924554,-0.7245159287697394
NFIB,231,29.0,0.9415889241631723,0.880468,0.061120924163172274
NFIB,232,180.0,0.16783032302726925,0.608165,-0.4403346769727307
NFIB,234,26.0,0.0960348473721542,0.774161,-0.6781261526278458
NFIB,236,697.0,0.18675731505938598,0.683404,-0.49664668494061404
NFIB,238,62.0,0.1366723606102664,0.973576,-0.8369036393897336
NFIB,240,27.0,0.00718286363122425,0.567182,-0.5599991363687757
NFIB,242,61.0,0.02040675214355992,0.682845,-0.6624382478564401
NFIB,243,44.0,0.2410968391483072,0.691643,-0.4505461608516928
NFIB,244,29.0,0.04901109362722815,0.750138,-0.7011269063727719
NFIB,246,31.0,0.07306088257240793,0.967151,-0.894090117427592
NFIB,247,32.0,0.39876689185429076,0.932431,-0.5336641081457092
NFIB,248,74.0,0.09189053167005581,0.970715,-0.8788244683299442
NFIB,250,50.0,0.03212269546245179,0.916648,-0.8845253045375482
NFIB,251,32.0,0.09772131667150294,0.877182,-0.779460683328497
NFIB,252,121.0,0.15832265084115812,0.915031,-0.7567083491588419
NFIB,254,47.0,0.07335788268374296,0.992901,-0.919543117316257
NFIB,255,20.0,0.23272677808726988,0.978748,-0.74602122191273
TCF7L1,0,202.0,0.8362954975353822,0.020767,0.8155284975353823
TCF7L1,2,810.0,0.8124113400605044,0.081775,0.7306363400605044
TCF7L1,5,10.0,0.38942346680345385,0.291731,0.09769246680345384
TCF7L1,6,13.0,0.7199689153810827,0.500889,0.21907991538108262
TCF7L1,7,24.0,0.13977996383659416,0.426711,-0.2869310361634059
TCF7L1,8,600.0,0.7854363245633417,0.270127,0.5153093245633417
TCF7L1,9,49.0,0.5746567172382812,0.066664,0.5079927172382812
TCF7L1,10,1426.0,0.8219577628786683,0.239252,0.5827057628786683
TCF7L1,11,57.0,0.7349535225132063,0.23191,0.5030435225132064
TCF7L1,16,50.0,0.8002332470031583,0.023446,0.7767872470031584
TCF7L1,18,82.0,0.6951984636341877,0.078981,0.6162174636341877
TCF7L1,21,382.0,0.035192467281920846,0.446187,-0.4109945327180792
TCF7L1,23,230.0,0.05399895868942823,0.407489,-0.35349004131057177
TCF7L1,24,236.0,0.6611622668267098,0.317155,0.34400726682670973
TCF7L1,25,134.0,0.4309287139754075,0.304777,0.12615171397540748
TCF7L1,26,357.0,0.7284618997298469,0.48137,0.24709189972984685
TCF7L1,27,40.0,0.637908875179791,0.349918,0.287990875179791
TCF7L1,29,47.0,0.09638434763516446,0.540595,-0.4442106523648356
TCF7L1,32,128.0,0.5980017194393712,0.270158,0.3278437194393712
TCF7L1,33,39.0,0.48658724150739996,0.384369,0.10221824150739994
TCF7L1,34,186.0,0.47510066299580717,0.168729,0.3063716629958072
TCF7L1,35,11.0,0.32834181032348153,0.250966,0.07737581032348151
TCF7L1,36,53.0,0.4761635317829454,0.432724,0.043439531782945406
TCF7L1,37,194.0,0.31359809948682427,0.450506,-0.13690790051317575
TCF7L1,38,139.0,0.41428418632160297,0.55827,-0.14398581367839708
TCF7L1,39,419.0,0.24055496343452154,0.439235,-0.19868003656547845
TCF7L1,40,210.0,0.5771688682820342,0.657162,-0.07999313171796585
TCF7L1,41,61.0,0.36172795514758804,0.432852,-0.07112404485241197
TCF7L1,42,220.0,0.40665599075727965,0.233507,0.17314899075727966
TCF7L1,43,14.0,0.35398225241920106,0.346336,0.007646252419201083
TCF7L1,45,16.0,0.4490027567272851,0.58402,-0.13501724327271486
TCF7L1,47,17.0,0.21070636119969854,0.512114,-0.3014076388003014
TCF7L1,48,54.0,0.5042245824190627,0.667635,-0.16341041758093733
TCF7L1,49,72.0,0.31128155012171893,0.817649,-0.5063674498782811
TCF7L1,50,29.0,0.6033917544059741,0.333537,0.2698547544059742
TCF7L1,51,11.0,0.46771012723278693,0.473555,-0.005844872767213072
TCF7L1,52,27.0,0.3517935430081327,0.42934,-0.0775464569918673
TCF7L1,53,892.0,0.12732324320868937,0.800776,-0.6734527567913107
TCF7L1,54,12.0,0.28497329421388373,0.366451,-0.0814777057861163
TCF7L1,55,444.0,0.06492108226914303,0.560783,-0.49586191773085697
TCF7L1,56,223.0,0.45312481188351006,0.771407,-0.3182821881164899
TCF7L1,57,309.0,0.3038121041100297,0.944124,-0.6403118958899703
TCF7L1,58,114.0,0.30695477858362774,0.611849,-0.30489422141637224
TCF7L1,59,35.0,0.26218544608648453,0.623471,-0.36128555391351547
TCF7L1,61,133.0,0.18298039675150224,0.99802,-0.8150396032484978
TCF7L1,63,17.0,0.10619617503525818,0.947879,-0.8416828249647419
EHF,0,4927.0,0.6835494310417931,0.172098,0.5114514310417931
EHF,1,274.0,0.10010021010369144,0.387076,-0.28697578989630856
EHF,2,855.0,0.8044804798251057,0.737937,0.06654347982510578
EHF,3,2838.0,0.10155335821833016,0.865315,-0.7637616417816698
