gene,leaf,n_cells_organoid,organoid_actual_mean,gemm_rule_value,residual
LMX1B,0,887.0,0.6472852986999511,0.251174,0.3961112986999511
LMX1B,1,636.0,0.6812020677881312,0.372605,0.3085970677881312
LMX1B,2,852.0,0.5631650444008001,0.003169,0.5599960444008001
LMX1B,3,667.0,0.8359430725239291,0.189102,0.6468410725239291
LMX1B,4,229.0,0.3076363964848229,0.593507,-0.2858706035151771
LMX1B,5,317.0,0.3561908641149435,0.483264,-0.12707313588505653
LMX1B,6,193.0,0.24694873616912374,0.069157,0.17779173616912375
LMX1B,7,300.0,0.5859833647993071,0.522053,0.06393036479930714
LMX1B,8,482.0,0.5958326710814751,0.548969,0.046863671081475045
LMX1B,9,325.0,0.3448764060066253,0.66354,-0.31866359399337474
LMX1B,10,237.0,0.3202821602256795,0.579436,-0.25915383977432044
LMX1B,11,274.0,0.4157253734486757,0.904046,-0.4883206265513243
LMX1B,12,702.0,0.31591929087448506,0.785607,-0.469687709125515
LMX1B,13,1146.0,0.2878137483207251,0.818272,-0.5304582516792749
LMX1B,14,577.0,0.3487668431711495,0.878144,-0.5293771568288506
LMX1B,15,1070.0,0.42682275379309903,0.985815,-0.558992246206901
ASCL1,0,215.0,0.4780277218908011,0.01842,0.4596077218908011
ASCL1,1,182.0,0.7307050711459436,0.134421,0.5962840711459436
ASCL1,2,298.0,0.4797594952331592,0.037326,0.4424334952331592
ASCL1,3,216.0,0.6490821632400853,0.469417,0.1796651632400853
ASCL1,4,235.0,0.2668720013131911,0.427048,-0.16017599868680887
ASCL1,5,81.0,0.8074666572672945,0.651811,0.15565565726729447
ASCL1,6,110.0,0.3364855059268371,0.06524,0.2712455059268371
ASCL1,7,76.0,0.655692487169279,0.436692,0.21900048716927895
ASCL1,8,122.0,0.1657011970598011,0.126224,0.0394771970598011
ASCL1,9,78.0,0.6019011684239681,0.408488,0.1934131684239681
ASCL1,10,66.0,0.21201199079341693,0.554647,-0.3426350092065831
ASCL1,11,60.0,0.4462685147092715,0.65983,-0.21356148529072855
ASCL1,12,27.0,0.319966517629826,0.698121,-0.378154482370174
ASCL1,13,28.0,0.8076413822845312,0.848202,-0.040560617715468816
ASCL1,14,23.0,0.1996340055864001,0.104604,0.0950300055864001
ASCL1,15,26.0,0.5187300668717829,0.774101,-0.2553709331282171
ASCL1,16,103.0,0.5048433946506397,0.436634,0.06820939465063963
ASCL1,17,22.0,0.7269916663894588,0.592685,0.13430666638945876
ASCL1,18,57.0,0.3713896306128634,0.789741,-0.41835136938713663
ASCL1,19,37.0,0.367266760910708,0.734811,-0.367544239089292
ASCL1,20,366.0,0.47097572253402037,0.777418,-0.3064422774659797
ASCL1,21,31.0,0.7806184920247616,0.80456,-0.02394150797523842
ASCL1,22,91.0,0.3776167869843022,0.179838,0.19777878698430218
ASCL1,23,49.0,0.6055070479203086,0.71589,-0.1103829520796914
ASCL1,24,688.0,0.42662553350956767,0.934596,-0.5079704664904323
ASCL1,25,124.0,0.5648406751834267,0.960915,-0.39607432481657323
ASCL1,26,213.0,0.2716364889944811,0.912892,-0.6412555110055189
