name,n_cells_used,umap_centroid_dist_from_gemm,mean_knn_dist_from_gemm_raw_space,nearest_attractor,nearest_attractor_dist,mean_r2
allograft_mt3,1469,13.788094,5.68344495184539,Arc_5,3.6240241285765062,0.10957240533100157
allograft_mt6,1500,11.3476715,6.300993862261251,Arc_3,3.62637161716204,0.25390221401441204
allograft_3L,1500,19.689026,8.090651791572256,Arc_3,3.6392298345801426,0.18335222526612685
allograft_2LR,1500,25.362862,6.551487991105069,Arc_6,3.5762602332654536,0.2925788503235253
allograft_mt5,1500,21.013226,7.264970348361903,Arc_6,3.631519553835514,0.25384168260020407
allograft_2L,1500,22.54158,6.338567361070726,Arc_6,3.601172231296977,0.2789601253201466
allograft_mt4Rf,1500,25.654984,7.2090310795321155,Generalist_nonNE,3.630086991578659,0.23680429512579726
allograft_TKO-luc,1500,15.24362,6.950180027255235,Arc_6,3.5173766878028414,0.5498306292431346
allograft_mt4,1500,22.839748,7.177685999490189,Generalist_nonNE,3.6261392613297647,0.24106770302772618
allograft_5B,1500,17.935375,7.108720070969905,Arc_1,3.6273367785438073,0.15193191615347967
allograft_mt2,1500,16.246853,5.24948635416927,Arc_3,3.5860812388852046,0.11437624137526792
allograft_1L,1383,15.124475,5.849883405661816,Generalist_NE,3.3684250742263524,0.35834947094260583
human_RU1181,1500,25.021568,10.358580029560342,Arc_1,3.6281206743039864,0.22594277197595336
human_PleuralEffusion,559,8.499854,6.627116104745663,Arc_3,3.6377324031321234,
human_RU1293,1500,18.495882,10.69979976464399,Arc_6,3.6549975729251636,0.1544156268089052
human_RU1145,1500,12.878198,8.564281349322304,Arc_2,3.60170667783034,0.09792622507653337
human_RU426,1374,17.603004,10.521930871550596,Arc_6,3.6163327732008885,
human_RU1080,1500,13.854159,11.381537429897865,Generalist_NE,3.6136722422443666,0.25722280260801655
human_RU1152,1483,20.746012,10.66251621381064,Arc_2,3.625879753291695,0.11521843979202141
human_RU1124,891,9.374138,7.359554606450525,Generalist_nonNE,3.55392222983715,0.46881989464106855
human_RU1144,1500,5.625196,7.870077538012241,Arc_6,3.509858249681835,0.22980136077839336
human_RU1065,177,12.314506,7.537648753610841,Arc_3,3.654277786741749,0.4560631617526429
human_RU1322,1500,17.132154,10.996726224901783,Arc_3,3.6396358737074412,0.09749170510337325
human_RU1231,1500,18.902279,12.687937380184428,Arc_3,3.6282168938196464,0.1401053005438147
human_RU1229,1500,11.050573,10.28209356100986,Arc_2,3.6292686553725777,0.14870008689403738
human_RU1066,1500,16.795555,12.215408946007472,Arc_3,3.6300414484672374,0.12370163505379853
human_RU1195,267,9.391878,6.551525455697633,Arc_1,3.6167689230867546,0.42671937697872075
human_RU1311,145,6.2644305,9.348582890560355,Arc_6,3.4413271504439784,0.5379865508748085
human_RU1215,1500,13.042129,9.085336308676565,Arc_3,3.6523278051701302,0.033169142510470394
human_RU779,216,13.6500025,8.54052405342959,Arc_6,3.466153861953016,
human_RU1108,1500,25.349783,8.481463912455027,Arc_3,3.6001040137311993,0.07765384075023023
organoid_shGFP,1500,9.461187,12.857814456398614,Generalist_NE,3.597100428388959,0.023188739280125447
organoid_shRORB1,1500,8.848889,13.125188225460798,Arc_5,3.55886737184458,0.15082702253875024
organoid_shRORB2,1500,11.395208,12.076801443379988,Generalist_NE,3.6342519685967996,0.16178585380406868
organoid_combined,1500,10.113298,12.560780833228572,Arc_5,3.576782785693865,0.0995993149327351
mets_compiled,1500,4.7807555,4.499934716429679,Generalist_nonNE,3.633447851079311,0.019325370558959512
