gene,r2,f1,roc_auc_score
ASCL1,-0.37369549371744215,0.45355474831344056,0.49637020886331884
BACH1,-0.37738289802040104,0.545770065075922,0.4959701496013116
BACH2,-0.40190523856434,0.45553585001266783,0.4883338499718961
CREB1,0.9757040007565099,0.9997629770087698,1.0
CUX2,-0.3469078523248592,0.5331593824744509,0.5024748026914667
EGR1,-0.2501605117753414,0.6540404040404041,0.5070974432204542
EHF,-0.33076815200069865,0.4239316239316239,0.4999109716606768
EPCAM,-0.33455176578666435,0.5768990634755463,0.49653520930739925
ESR1,0.9180345247749946,0.99814039981404,1.0
ETS1,-0.4743407314959076,0.5098406747891284,0.49402815496961805
FOS,-0.23411007025908637,0.45564412445358704,0.4928916580913203
FOXO3,-0.43205636462133734,0.48931355292934375,0.5070887735174332
GRHL2,-0.41462166755525454,0.5785021662884259,0.493893088246424
HES1,-0.2919109250669609,0.4224629418472064,0.507775317606642
HSF2,-0.3107789919493904,0.4217391304347826,0.49372890392785773
ICAM1,-0.31209989876247435,0.2674865488086088,0.4998179773250394
JUN,-0.3710761389862509,0.534754608039085,0.5025378467265029
JUNB,-0.35503614665308914,0.5125973431058177,0.5028615517476904
JUND,0.9240603064745643,0.998272884283247,1.0
KMT2A,-0.252836252528269,0.6693704813965791,0.4994697609084417
LMX1B,-0.3544892570524083,0.5888866106212836,0.49804406208170254
MEIS2,-0.3237997624088673,0.6447033127047689,0.49628287426703244
NCAM1,-0.2616444276705503,0.49444307236354657,0.5118446417562286
NFATC2,-0.2995983675108036,0.5718556480888319,0.5196062014238321
NFIA,-0.2501457561590028,0.4788941002221674,0.49373189759880404
NFIB,-0.2465925508495097,0.5658947368421052,0.48906058911219996
NFIX,-0.34386859842259465,0.2893217893217893,0.4916093404948689
NFKB1,-0.4135172731436234,0.53430258973194,0.5051054672087358
NFYC,0.9444384019876867,0.9987755102040816,1.0
NR6A1,0.9524289533255117,0.9990825688073395,1.0
PBX1,-0.1306983205859693,0.5333333333333333,0.5095446365467843
PKNOX2,-0.3771601704173553,0.5595112702759638,0.49449966768316517
PROX1,-0.55318691310446,0.39714285714285713,0.5005425638858175
RBPJ,0.9604368464918291,0.9989350372736954,1.0
REST,-0.4836698698653503,0.3358568479008947,0.4856882333605582
RORA_RORB,-0.4678420980388027,0.5697478991596638,0.49677952443240214
RUNX1,-0.25543540824503164,0.27773343974461295,0.48285971307046693
SIX1,-0.4153862154792305,0.4006928406466513,0.5113492363209131
SIX4,-0.1774487995371592,0.5644955300127714,0.49713789534469777
SMAD3,-0.4799263782192873,0.2984771573604061,0.47485070033963317
SOX11,-0.31523442831897985,0.36548556430446194,0.4928844624484318
SOX9,0.929469358803638,0.9857320099255583,1.0
STAT1,0.9207390742433715,0.9890468422279189,1.0
STAT2,-0.16897576699384786,0.4688304997424008,0.501422236929802
TBX15,-0.28552466004011445,0.5712494776431258,0.5032379833143106
TCF4,0.945930105600949,0.9974937343358395,1.0
TCF7L1,-0.2062840597036586,0.3871355575593628,0.5011033854607236
TCF7L2,-0.29408812437586773,0.26277989015631603,0.5040744154395669
TEAD1,-0.41132477462767825,0.49209053297639327,0.4991375696821241
TFDP1,0.9400506367712744,0.9958311620635748,1.0
THRB,-0.3980192488279295,0.5345911949685535,0.5017863863645443
ZBTB20,-0.282582575323999,0.5567236092860272,0.5069194282930243
ZEB1,0.9289201794927446,0.9938042131350682,1.0
