gene,r2,f1,roc_auc_score
ASCL1,-0.440540629304893,0.44089456869009586,0.48400613228432426
BACH1,-0.37296405909623975,0.5373631603998096,0.48726830847892855
BACH2,-0.402792632812613,0.4248735495388277,0.47354991467576796
CREB1,0.9756802525150418,0.9994813278008299,1.0
CUX2,-0.2835099443541991,0.5597709377236937,0.4971361292926179
EGR1,-0.2377711115106178,0.5936686903729401,0.5106726009419893
EHF,-0.2880400228597364,0.5068974844468488,0.5109472702880921
EPCAM,-0.38241111686762363,0.5501998589231131,0.4899201680481847
ESR1,0.9170170712473112,0.9961572568725983,1.0
ETS1,-0.4769629102916053,0.5129903209373408,0.4818312981925049
FOS,-0.18274305886582276,0.40949935815147626,0.5166448306101348
FOXO3,-0.43499421648782355,0.47420965058236275,0.4983514159513104
GRHL2,-0.39630425455297735,0.5232088799192735,0.5050741709864012
HES1,-0.30216762054803725,0.431784107946027,0.48728884036523523
HSF2,-0.2955747507365569,0.4085346721054283,0.491272107956028
ICAM1,-0.2785885653762661,0.31897203325774753,0.5025584417617862
JUN,-0.3486426568974881,0.5200834637454356,0.5134694155327665
JUNB,-0.3679210272693163,0.5127544447307395,0.48820569423491256
JUND,0.9244573496347838,0.9945652173913043,1.0
KMT2A,-0.311390605355776,0.618510158013544,0.506650826910125
LMX1B,-0.3401775633281874,0.5160313052259531,0.4959247138591034
MEIS2,-0.3326017421140841,0.5946066414085135,0.509649434632341
NCAM1,-0.29342938573517086,0.46661078513551274,0.4961945007712316
NFATC2,-0.35486878855969284,0.5312031952071892,0.5044006894768007
NFIA,-0.22350364901961695,0.46543100912032953,0.5018916183877925
NFIB,-0.22025882251063789,0.5139175257731958,0.49676603211523945
NFIX,-0.32174058034576847,0.3592233009708738,0.49735845170631854
NFKB1,-0.40399387737753933,0.5283767038413879,0.5067806755144795
NFYC,0.9449679213030682,0.9997302400863232,1.0
NR6A1,0.952727658753696,0.9984391259105099,1.0
PBX1,-0.17173592193893783,0.5572856146874273,0.4802379130011042
PKNOX2,-0.3545416803429897,0.5128733264675592,0.4998978882783992
PROX1,-0.648371260792201,0.3246930422919509,0.4822542600234174
RBPJ,0.961289314525365,0.9980528511821974,1.0
REST,-0.5113947763727784,0.35706769554542267,0.5025144709146574
RORA_RORB,-0.4558884783129864,0.5372986369268897,0.5047043741855062
RUNX1,-0.2748450509887601,0.3538836642284918,0.5044017225119588
SIX1,-0.46199104083582987,0.34165202108963094,0.48973573132736964
SIX4,-0.1978266258324537,0.5122715404699739,0.4970476873858441
SMAD3,-0.4155764164300797,0.37934458788480635,0.49835887485128316
SOX11,-0.3173142113434213,0.4379341588643914,0.5045410936185051
SOX9,0.9287898823409737,0.9860352155434122,1.0
STAT1,0.9194836844102754,0.9890170236133993,1.0
STAT2,-0.1663868347032995,0.4640633842671194,0.490421084609124
TBX15,-0.31388911332286673,0.5192604006163328,0.5067778404948109
TCF4,0.9463007626185844,0.9953560371517027,1.0
TCF7L1,-0.22637574094878077,0.35884831460674155,0.5008582366104135
TCF7L2,-0.37865055269729986,0.27483443708609273,0.5127931736352805
TEAD1,-0.39706427667354816,0.5135549872122762,0.48277670073146783
TFDP1,0.939863401164146,0.998688696564385,1.0
THRB,-0.340666717779621,0.5150466045272969,0.5176167001691077
ZBTB20,-0.2990932105743831,0.510430079835179,0.49573123685208154
ZEB1,0.9284023483422607,0.9924007880664227,1.0
