sample,category,iteration,mean_r2,mean_f1,mean_auc
human_RU1293,human_tumor,0,-0.075,0.576,0.603
human_RU1293,human_tumor,1,-0.073,0.577,0.604
human_RU1293,human_tumor,2,-0.076,0.577,0.603
human_RU1293,human_tumor,3,-0.074,0.577,0.604
allograft_mt2,allograft,0,-0.095016006835553,0.5670057326371412,0.6046482814664406
allograft_mt2,allograft,1,-0.0947024895163006,0.5684297724851902,0.6047127691783811
allograft_mt2,allograft,2,-0.1000802993713818,0.5646722803358071,0.6011513594167199
allograft_mt2,allograft,3,-0.1007870282421325,0.5646905202756451,0.6012808815353337
allograft_mt5,allograft,0,-0.072,0.587,0.603
allograft_mt5,allograft,1,-0.069,0.589,0.607
allograft_mt5,allograft,2,-0.073,0.588,0.604
allograft_mt5,allograft,3,-0.075,0.586,0.603
allograft_TKO-luc,TKO,0,-0.07,0.59,0.603
allograft_TKO-luc,TKO,1,-0.069,0.59,0.604
allograft_TKO-luc,TKO,2,-0.07,0.589,0.603
allograft_TKO-luc,TKO,3,-0.07,0.59,0.603
allograft_TKO-luc,TKO,4,-0.071,0.589,0.604
allograft_TKO-luc,TKO,5,-0.074,0.59,0.602
allograft_TKO-luc,TKO,6,-0.066,0.591,0.606
allograft_TKO-luc,TKO,7,-0.068,0.591,0.605
allograft_TKO-luc,TKO,8,-0.069,0.59,0.603
allograft_TKO-luc,TKO,9,-0.069,0.591,0.604
allograft_TKO-luc,TKO,10,-0.072,0.589,0.603
allograft_TKO-luc,TKO,11,-0.066,0.592,0.605
allograft_1L,allograft,0,-0.0761268231295541,0.5993926099197411,0.606331407419566
allograft_1L,allograft,1,-0.0811654565859647,0.6007029568661978,0.6042831210000008
allograft_1L,allograft,2,-0.0860541132159856,0.5978014174046671,0.6015792465869618
allograft_1L,allograft,3,-0.0816139983412045,0.6004610244325244,0.6031981970980982
mets_compiled,mets_compiled,0,-0.073,0.573,0.602
mets_compiled,mets_compiled,1,-0.072,0.574,0.603
mets_compiled,mets_compiled,2,-0.072,0.574,0.603
mets_compiled,mets_compiled,3,-0.069,0.575,0.604
mets_compiled,mets_compiled,4,-0.071,0.574,0.603
mets_compiled,mets_compiled,5,-0.07,0.575,0.604
mets_compiled,mets_compiled,6,-0.071,0.575,0.603
mets_compiled,mets_compiled,7,-0.07,0.574,0.603
mets_compiled,mets_compiled,8,-0.072,0.574,0.603
mets_compiled,mets_compiled,9,-0.07,0.575,0.603
mets_compiled,mets_compiled,10,-0.068,0.576,0.605
mets_compiled,mets_compiled,11,-0.07,0.574,0.604
human_RU1215,human_tumor,0,-0.0781172827960454,0.5668598151858566,0.6001904804007842
human_RU1215,human_tumor,1,-0.0735136624169701,0.5679995173272007,0.6029851693897829
human_RU1215,human_tumor,2,-0.0710146016841992,0.5674014901396687,0.6022702670045482
human_RU1215,human_tumor,3,-0.0725315738129246,0.5655770473564434,0.6027719442687616
human_RU1311,human_tumor,0,-0.0655576879539489,0.6190820703954608,0.6117364995767378
human_RU1311,human_tumor,1,-0.0770845191903731,0.6194128192564244,0.6063299133496892
human_RU1311,human_tumor,2,-0.0904260363354675,0.6051792918833416,0.5992060271362426
human_RU1311,human_tumor,3,-0.0727051102135738,0.6235377793148346,0.6087741415411433
organoid_shGFP_D_Sample1,organoid,0,-0.0730629590338238,0.5820290511923284,0.6017224207395032
organoid_shGFP_D_Sample1,organoid,1,-0.0685597225550778,0.5821648087575931,0.6041335138068757
organoid_shGFP_D_Sample1,organoid,2,-0.0723220851400594,0.5806748319445588,0.6021697449774979
organoid_shGFP_D_Sample1,organoid,3,-0.0730378343993591,0.58131083336524,0.603313375838059
organoid_shGFP_D_Sample4,organoid,0,-0.068,0.582,0.604
organoid_shGFP_D_Sample4,organoid,1,-0.07,0.579,0.602
organoid_shGFP_D_Sample4,organoid,2,-0.073,0.58,0.602
organoid_shGFP_D_Sample4,organoid,3,-0.068,0.58,0.605
organoid_shGFP_D_Sample6,organoid,0,-0.0720177683755041,0.5777288409717785,0.6017353804040387
organoid_shGFP_D_Sample6,organoid,1,-0.0717537959754659,0.5803615122661185,0.6026834385344938
organoid_shGFP_D_Sample6,organoid,2,-0.0735945955687442,0.5775203643352018,0.6011995274335759
organoid_shGFP_D_Sample6,organoid,3,-0.0714663164166278,0.5777257347889265,0.6018822581209815
