name,category,n_cells,mean_ascl1_actual,mean_r2_incl,mean_auc_incl,mean_r2_excl,mean_auc_excl,subtype
RU1065,human_tumor,177,0.5735681629054098,0.4560631617526429,0.8514830453547616,0.3293936047016935,0.8125857477095803,A
RU1066,human_tumor,2762,0.5071158631058841,0.1237016350537985,0.7124401146993704,-0.0900966180544355,0.6371268114063483,A
RU1080,human_tumor,2915,0.5181915888288574,0.2572228026080165,0.7595247663778154,0.0784732472916377,0.6965431575720052,A
RU1108,human_tumor,11056,0.5458948247524751,0.0776538407502302,0.7113931750899894,-0.148259599424126,0.6358056733278441,A
RU1124,human_tumor,891,0.503830171849837,0.4688198946410685,0.8430051672878056,0.3455500314212682,0.8018874730060401,A
RU1144,human_tumor,3617,0.545085627530764,0.2298013607783933,0.7466122127014415,0.0440347846586395,0.6802487445994382,A
RU1145,human_tumor,3422,0.5182529467939873,0.0979262250765333,0.6806141667653799,-0.122533089072644,0.5969654961563128,A
RU1152,human_tumor,1483,0.5149506258332015,0.1152184397920214,0.7045356374823614,-0.1007728769758054,0.6271521139658368,A
RU1181,human_tumor,4362,0.4831200050955412,0.2259427719759533,0.7477367963462728,0.0389793887875414,0.6816678620560109,N
RU1195,human_tumor,267,0.5500856367349187,0.4267193769787207,0.8338474661133196,0.2924324659026877,0.7903313262858557,A
RU1215,human_tumor,3923,0.5015562902710133,0.0331691425104703,0.669032727496404,-0.2042950871885939,0.582350822793081,N
RU1229,human_tumor,3437,0.5360751785608854,0.1487000868940373,0.7138096143300535,-0.0584999434694867,0.6388549895117338,A
RU1231,human_tumor,4942,0.5466012689382733,0.1401053005438147,0.7123550985905915,-0.0692350667259089,0.6370195291738416,N
RU1293,human_tumor,5667,0.450374552329462,0.1544156268089052,0.7090510301102955,-0.0513088738631728,0.6328501094248966,N
RU1311,human_tumor,145,0.5438918167918173,0.5379865508748085,0.8726026582334883,0.4329488862147155,0.8392366877708304,A
RU1322,human_tumor,3098,0.4263722772837574,0.0974917051033732,0.6851873524118545,-0.1229185330721547,0.6027364209006735,P
