attractor,dist_cluster2,dist_rest
Arc_3,4.543940731129693,4.69912556443558
Generalist_NE,4.712882850511004,4.700549788186552
Arc_6,4.87263965821181,4.878088923446008
Arc_5,4.909920173182603,4.92393424737433
Generalist_nonNE,5.006955674980514,5.1435664951706785
Arc_1,5.176197261339582,5.149399871989656
Arc_2,5.178262794206373,5.311288157573326
Arc_4,5.327189107431858,5.464077783696365
