metric,population,n,pearson_r,pearson_p,spearman_rho,spearman_p
mean_r2_incl,all,28,0.3431298951042977,0.07383853509910555,0.2961138478379857,0.12601758476045075
mean_r2_incl,allograft,12,0.12551351250533677,0.697515788584405,0.17482517482517487,0.5868236643627043
mean_r2_incl,human_tumor,16,0.4025137963146362,0.12217921872369669,0.31764705882352945,0.23057346362184541
mean_auc_incl,all,28,0.40407118942558923,0.032961539460785665,0.36124794745484395,0.05892652123449108
mean_auc_incl,allograft,12,0.1500808295915181,0.6415301327519364,0.17482517482517487,0.5868236643627043
mean_auc_incl,human_tumor,16,0.467141364268267,0.06809880597360007,0.4441176470588235,0.08482274417741588
mean_r2_excl,all,28,0.34318501899615017,0.07378914383449303,0.2961138478379857,0.12601758476045075
mean_r2_excl,allograft,12,0.1260754864671505,0.69621828859046,0.17482517482517487,0.5868236643627043
mean_r2_excl,human_tumor,16,0.40242091255779155,0.1222735642997814,0.31764705882352945,0.23057346362184541
mean_auc_excl,all,28,0.4040711894255898,0.03296153946078549,0.36124794745484395,0.05892652123449108
mean_auc_excl,allograft,12,0.15008082959151928,0.641530132751934,0.17482517482517487,0.5868236643627043
mean_auc_excl,human_tumor,16,0.4671413642682673,0.06809880597359977,0.4441176470588235,0.08482274417741588
