sample,mean_r2,mean_auc
TKO-luc,0.5498306292431346,0.8794902555284004
1L,0.35834947094260583,0.8121917133652516
2LR,0.2925788503235253,0.7819732254041464
2L,0.2789601253201466,0.7734569076202584
mt6,0.25390221401441204,0.7713327612056371
mt5,0.25384168260020407,0.7695111083596573
mt4,0.24106770302772618,0.7637132595057294
mt4Rf,0.23680429512579726,0.7563062304464785
3L,0.18335222526612685,0.7455980046321302
5B,0.15193191615347967,0.7190406204740071
mt2,0.11437624137526792,0.7112337665040745
mt3,0.10957240533100157,0.7086217732117095
