name,category,n_cells,mean_ascl1_actual,mean_r2_incl,mean_auc_incl,mean_r2_excl,mean_auc_excl
1L,allograft,1383,0.5727513489335837,0.35834947094260583,0.8121917133652516,0.20651956622903983,0.7630038287704368
2L,allograft,2125,0.5280178896212562,0.2789601253201466,0.7734569076202584,0.10588187033538238,0.7141241929493737
2LR,allograft,2992,0.5234761333144453,0.2925788503235253,0.7819732254041464,0.12304417166870248,0.7248709749147562
3L,allograft,1801,0.5365438294394854,0.18335222526612685,0.7455980046321302,-0.014851958491985088,0.6789689106072121
5B,allograft,5446,0.5162192919114064,0.15193191615347967,0.7190406204740071,-0.05444269070848399,0.6454560210743423
TKO-luc,allograft,4146,0.5042775271311066,0.5498306292431346,0.8794902555284004,0.44763835621816805,0.8479281795953624
mt2,allograft,3224,0.498818578530392,0.11437624137526792,0.7112337665040745,-0.10150184890554256,0.6356045148741892
mt3,allograft,1469,0.5189897061412382,0.10957240533100157,0.7086217732117095,-0.1079704385464584,0.6323084281004907
mt4,allograft,3945,0.522835252065081,0.24106770302772618,0.7637132595057294,0.05796591633339727,0.701828636995325
mt4Rf,allograft,4026,0.5331484920512916,0.23680429512579726,0.7563062304464785,0.05264376971316868,0.6924816717538894
mt5,allograft,3104,0.5091647931228231,0.25384168260020407,0.7695111083596573,0.07409965381299322,0.709144970072901
mt6,allograft,3317,0.5019401874662235,0.25390221401441204,0.7713327612056371,0.07415310559760215,0.7114437224737801
RU1065,human_tumor,177,0.5735681629054098,0.4560631617526429,0.8514830453547616,0.3293936047016935,0.8125857477095803
RU1066,human_tumor,2762,0.5071158631058841,0.12370163505379853,0.7124401146993704,-0.09009661805443556,0.6371268114063483
RU1080,human_tumor,2915,0.5181915888288574,0.25722280260801655,0.7595247663778154,0.07847324729163774,0.6965431575720052
RU1108,human_tumor,11056,0.5458948247524751,0.07765384075023023,0.7113931750899894,-0.14825959942412603,0.6358056733278441
RU1124,human_tumor,891,0.503830171849837,0.46881989464106855,0.8430051672878056,0.3455500314212682,0.8018874730060401
RU1144,human_tumor,3617,0.545085627530764,0.22980136077839336,0.7466122127014415,0.04403478465863955,0.6802487445994382
RU1145,human_tumor,3422,0.5182529467939873,0.09792622507653337,0.6806141667653799,-0.12253308907264407,0.5969654961563128
RU1152,human_tumor,1483,0.5149506258332015,0.11521843979202141,0.7045356374823614,-0.10077287697580542,0.6271521139658368
RU1181,human_tumor,4362,0.4831200050955412,0.22594277197595336,0.7477367963462728,0.03897938878754144,0.6816678620560109
RU1195,human_tumor,267,0.5500856367349187,0.42671937697872075,0.8338474661133196,0.29243246590268773,0.7903313262858557
RU1215,human_tumor,3923,0.5015562902710133,0.033169142510470394,0.669032727496404,-0.20429508718859393,0.582350822793081
RU1229,human_tumor,3437,0.5360751785608854,0.14870008689403738,0.7138096143300535,-0.05849994346948676,0.6388549895117338
RU1231,human_tumor,4942,0.5466012689382733,0.1401053005438147,0.7123550985905915,-0.06923506672590893,0.6370195291738416
RU1293,human_tumor,5667,0.45037455232946205,0.1544156268089052,0.7090510301102955,-0.05130887386317286,0.6328501094248966
RU1311,human_tumor,145,0.5438918167918173,0.5379865508748085,0.8726026582334883,0.4329488862147155,0.8392366877708304
RU1322,human_tumor,3098,0.42637227728375743,0.09749170510337325,0.6851873524118545,-0.12291853307215472,0.6027364209006735
