gene,sample,transferability
ASCL1,allograft_mt3,0.08764367816091954
BACH1,allograft_mt3,0.5643776824034334
BACH2,allograft_mt3,0.9731958762886598
CREB1,allograft_mt3,1.0
CUX2,allograft_mt3,0.6459143968871596
EGR1,allograft_mt3,0.4840466926070039
EHF,allograft_mt3,0.6575901974132062
EPCAM,allograft_mt3,0.26953405017921145
ESR1,allograft_mt3,1.0
ETS1,allograft_mt3,0.33310580204778156
FOS,allograft_mt3,0.18011894647408666
FOXO3,allograft_mt3,0.7718684394681595
GRHL2,allograft_mt3,0.2850140056022409
HES1,allograft_mt3,0.6346726190476191
HSF2,allograft_mt3,0.3769174579985391
ICAM1,allograft_mt3,0.47360912981455067
JUN,allograft_mt3,0.5408532176428055
JUNB,allograft_mt3,0.4247787610619469
JUND,allograft_mt3,1.0
KMT2A,allograft_mt3,0.4514637904468413
LMX1B,allograft_mt3,0.11485557083906466
MEIS2,allograft_mt3,0.27978216473791695
NCAM1,allograft_mt3,0.31634182908545727
NFATC2,allograft_mt3,0.134785568413887
NFIA,allograft_mt3,0.28841413311421527
NFIB,allograft_mt3,0.4696969696969697
NFIX,allograft_mt3,0.21721027064538515
NFKB1,allograft_mt3,0.3290190735694823
NFYC,allograft_mt3,1.0
NR6A1,allograft_mt3,1.0
PBX1,allograft_mt3,0.7527777777777778
PKNOX2,allograft_mt3,0.2377670572019297
PROX1,allograft_mt3,0.7134104833219878
RBPJ,allograft_mt3,1.0
REST,allograft_mt3,0.5352981494174092
RORA_RORB,allograft_mt3,0.1597269624573379
RUNX1,allograft_mt3,0.4154103852596315
SIX1,allograft_mt3,0.6372906045156591
SIX4,allograft_mt3,0.5049239033124441
SMAD3,allograft_mt3,0.10284920083391244
SOX11,allograft_mt3,0.226775956284153
SOX9,allograft_mt3,1.0
STAT1,allograft_mt3,1.0
STAT2,allograft_mt3,0.43405443126308446
TBX15,allograft_mt3,0.15940959409594097
TCF4,allograft_mt3,1.0
TCF7L1,allograft_mt3,0.49089635854341734
TCF7L2,allograft_mt3,0.3798677443056576
TEAD1,allograft_mt3,0.4184549356223176
TFDP1,allograft_mt3,1.0
THRB,allograft_mt3,0.730428863172226
ZBTB20,allograft_mt3,0.4300395256916996
ZEB1,allograft_mt3,1.0
ASCL1,allograft_mt6,0.3085399449035813
BACH1,allograft_mt6,0.8707882534775889
BACH2,allograft_mt6,0.8932770575821526
CREB1,allograft_mt6,1.0
CUX2,allograft_mt6,0.3576222435282838
EGR1,allograft_mt6,0.4480664749121125
EHF,allograft_mt6,0.6089840217063611
EPCAM,allograft_mt6,0.33794587945879456
ESR1,allograft_mt6,1.0
ETS1,allograft_mt6,0.2071148628278565
FOS,allograft_mt6,0.34904714142427284
FOXO3,allograft_mt6,0.7140266021765417
GRHL2,allograft_mt6,0.6821776155717761
HES1,allograft_mt6,0.5256489493201484
HSF2,allograft_mt6,0.5593323216995447
ICAM1,allograft_mt6,0.4769278414369774
JUN,allograft_mt6,0.38369230769230767
JUNB,allograft_mt6,0.23304190533614713
JUND,allograft_mt6,1.0
KMT2A,allograft_mt6,0.30176211453744495
LMX1B,allograft_mt6,0.18212020537601933
MEIS2,allograft_mt6,0.36237564063913175
NCAM1,allograft_mt6,0.41672005124919925
NFATC2,allograft_mt6,0.10159782936388302
NFIA,allograft_mt6,0.7447848761408083
NFIB,allograft_mt6,0.43144363876071196
NFIX,allograft_mt6,0.19661733615221988
NFKB1,allograft_mt6,0.2484172444980404
NFYC,allograft_mt6,1.0
NR6A1,allograft_mt6,1.0
PBX1,allograft_mt6,0.8035172832019406
PKNOX2,allograft_mt6,0.344889960807959
PROX1,allograft_mt6,0.0
RBPJ,allograft_mt6,1.0
REST,allograft_mt6,0.6026529996985227
RORA_RORB,allograft_mt6,0.44933655006031364
RUNX1,allograft_mt6,0.519134775374376
SIX1,allograft_mt6,0.3699439950217797
SIX4,allograft_mt6,0.5618860510805501
SMAD3,allograft_mt6,0.6737224070154219
SOX11,allograft_mt6,0.35363280072354536
SOX9,allograft_mt6,1.0
STAT1,allograft_mt6,1.0
STAT2,allograft_mt6,0.6971532404603271
TBX15,allograft_mt6,0.548268464603126
TCF4,allograft_mt6,1.0
TCF7L1,allograft_mt6,0.3355890495232236
TCF7L2,allograft_mt6,0.6326341764342999
TEAD1,allograft_mt6,0.4186904395942207
TFDP1,allograft_mt6,1.0
THRB,allograft_mt6,0.9176967138981007
ZBTB20,allograft_mt6,0.35549952726126693
ZEB1,allograft_mt6,1.0
ASCL1,allograft_3L,0.07287933094384708
BACH1,allograft_3L,0.5166569257744009
BACH2,allograft_3L,0.8344556677890012
CREB1,allograft_3L,1.0
CUX2,allograft_3L,0.427797833935018
EGR1,allograft_3L,0.5908543922984356
EHF,allograft_3L,0.5941143808995003
EPCAM,allograft_3L,0.5151162790697674
ESR1,allograft_3L,1.0
ETS1,allograft_3L,0.441976679622432
FOS,allograft_3L,0.21941216678058784
FOXO3,allograft_3L,0.5505107832009081
GRHL2,allograft_3L,0.547085201793722
HES1,allograft_3L,0.5422656699252444
HSF2,allograft_3L,0.3888559573206876
ICAM1,allograft_3L,0.4395539906103286
JUN,allograft_3L,0.234375
JUNB,allograft_3L,0.24375347029428096
JUND,allograft_3L,1.0
KMT2A,allograft_3L,0.231990231990232
LMX1B,allograft_3L,0.15824541921154914
MEIS2,allograft_3L,0.1532481954469739
NCAM1,allograft_3L,0.3192771084337349
NFATC2,allograft_3L,0.27040533037201553
NFIA,allograft_3L,0.37411003236245954
NFIB,allograft_3L,0.4191461836998706
NFIX,allograft_3L,0.04018109790605546
NFKB1,allograft_3L,0.188268156424581
NFYC,allograft_3L,1.0
NR6A1,allograft_3L,1.0
PBX1,allograft_3L,0.967869222096956
PKNOX2,allograft_3L,0.5019673974142776
PROX1,allograft_3L,0.8200999444752916
RBPJ,allograft_3L,1.0
REST,allograft_3L,0.5518394648829431
RORA_RORB,allograft_3L,0.32358003442340794
RUNX1,allograft_3L,0.7049408489909533
SIX1,allograft_3L,0.6753246753246753
SIX4,allograft_3L,0.3090322580645161
SMAD3,allograft_3L,0.12372304199772985
SOX11,allograft_3L,0.20947075208913649
SOX9,allograft_3L,1.0
STAT1,allograft_3L,1.0
STAT2,allograft_3L,0.4546998867497169
TBX15,allograft_3L,0.46530612244897956
TCF4,allograft_3L,1.0
TCF7L1,allograft_3L,0.42650462962962965
TCF7L2,allograft_3L,0.4071641791044776
TEAD1,allograft_3L,0.44979203802733214
TFDP1,allograft_3L,1.0
THRB,allograft_3L,0.7579122709605774
ZBTB20,allograft_3L,0.44582814445828145
ZEB1,allograft_3L,1.0
ASCL1,allograft_2LR,0.2135523613963039
BACH1,allograft_2LR,0.8899145299145299
BACH2,allograft_2LR,0.933422999327505
CREB1,allograft_2LR,1.0
CUX2,allograft_2LR,0.5575822603719599
EGR1,allograft_2LR,0.4531473533619456
EHF,allograft_2LR,0.5010026737967914
EPCAM,allograft_2LR,0.36
ESR1,allograft_2LR,1.0
ETS1,allograft_2LR,0.5134408602150538
FOS,allograft_2LR,0.2335740072202166
FOXO3,allograft_2LR,0.43213203098686426
GRHL2,allograft_2LR,0.746967654986523
HES1,allograft_2LR,0.558974358974359
HSF2,allograft_2LR,0.13954293628808864
ICAM1,allograft_2LR,0.5604015230183454
JUN,allograft_2LR,0.4321197686287853
JUNB,allograft_2LR,0.21156417112299467
JUND,allograft_2LR,1.0
KMT2A,allograft_2LR,0.15024458420684836
LMX1B,allograft_2LR,0.2302807486631016
MEIS2,allograft_2LR,0.18148395721925134
NCAM1,allograft_2LR,0.3331000699790063
NFATC2,allograft_2LR,0.5481283422459893
NFIA,allograft_2LR,0.5798882681564246
NFIB,allograft_2LR,0.7101556708673091
