gene,sample,transferability_7777,transferability_6667,diff
ASCL1,allograft_mt3,0.08764367816091954,0.0876436781609195,4.163336342344337e-17
BACH1,allograft_mt3,0.5643776824034334,0.4055555555555555,0.15882212684787794
BACH2,allograft_mt3,0.9731958762886598,0.4731109598366235,0.5000849164520362
CREB1,allograft_mt3,1.0,1.0,0.0
CUX2,allograft_mt3,0.6459143968871596,0.6731517509727627,-0.027237354085603127
EGR1,allograft_mt3,0.4840466926070039,0.4840466926070039,0.0
EHF,allograft_mt3,0.6575901974132062,0.5690946221919673,0.08849557522123896
EPCAM,allograft_mt3,0.26953405017921145,0.2695340501792114,5.551115123125783e-17
ESR1,allograft_mt3,1.0,1.0,0.0
ETS1,allograft_mt3,0.33310580204778156,0.3331058020477815,5.551115123125783e-17
FOS,allograft_mt3,0.18011894647408666,0.1648258283772302,0.015293118096856462
FOXO3,allograft_mt3,0.7718684394681595,0.6781292984869326,0.09373914098122693
GRHL2,allograft_mt3,0.2850140056022409,0.087465564738292,0.19754844086394888
HES1,allograft_mt3,0.6346726190476191,0.3874824191279887,0.24719019991963037
HSF2,allograft_mt3,0.3769174579985391,0.3886048210372534,-0.011687363038714316
ICAM1,allograft_mt3,0.47360912981455067,0.4358059914407988,0.03780313837375188
JUN,allograft_mt3,0.5408532176428055,0.5408532176428055,0.0
JUNB,allograft_mt3,0.4247787610619469,0.4247787610619469,0.0
JUND,allograft_mt3,1.0,1.0,0.0
KMT2A,allograft_mt3,0.4514637904468413,0.4514637904468413,0.0
LMX1B,allograft_mt3,0.11485557083906466,0.1148555708390646,5.551115123125783e-17
MEIS2,allograft_mt3,0.27978216473791695,0.2797821647379169,5.551115123125783e-17
NCAM1,allograft_mt3,0.31634182908545727,0.308095952023988,0.008245877061469287
NFATC2,allograft_mt3,0.134785568413887,0.134785568413887,0.0
NFIA,allograft_mt3,0.28841413311421527,0.2060418280402788,0.08237230507393647
NFIB,allograft_mt3,0.4696969696969697,0.4604377104377104,0.0092592592592593
NFIX,allograft_mt3,0.21721027064538515,0.2172102706453851,5.551115123125783e-17
NFKB1,allograft_mt3,0.3290190735694823,0.3290190735694823,0.0
NFYC,allograft_mt3,1.0,1.0,0.0
NR6A1,allograft_mt3,1.0,1.0,0.0
PBX1,allograft_mt3,0.7527777777777778,0.1239782016348773,0.6287995761429005
PKNOX2,allograft_mt3,0.2377670572019297,0.2239834596829772,0.0137835975189525
PROX1,allograft_mt3,0.7134104833219878,0.7134104833219878,0.0
RBPJ,allograft_mt3,1.0,1.0,0.0
REST,allograft_mt3,0.5352981494174092,0.2409802586793737,0.2943178907380355
RORA_RORB,allograft_mt3,0.1597269624573379,0.1597269624573379,0.0
RUNX1,allograft_mt3,0.4154103852596315,0.3269230769230769,0.08848730833655455
SIX1,allograft_mt3,0.6372906045156591,0.5430974071478627,0.09419319736779641
SIX4,allograft_mt3,0.5049239033124441,0.4422560429722471,0.062667860340197
SMAD3,allograft_mt3,0.10284920083391244,0.1028492008339124,4.163336342344337e-17
SOX11,allograft_mt3,0.226775956284153,0.226775956284153,0.0
SOX9,allograft_mt3,1.0,1.0,0.0
STAT1,allograft_mt3,1.0,1.0,0.0
STAT2,allograft_mt3,0.43405443126308446,0.4340544312630844,5.551115123125783e-17
TBX15,allograft_mt3,0.15940959409594097,0.1667896678966789,-0.007380073800737935
TCF4,allograft_mt3,1.0,1.0,0.0
TCF7L1,allograft_mt3,0.49089635854341734,0.4978991596638655,-0.007002801120448154
TCF7L2,allograft_mt3,0.3798677443056576,0.1746143057503506,0.205253438555307
TEAD1,allograft_mt3,0.4184549356223176,0.4048640915593705,0.013590844062947138
TFDP1,allograft_mt3,1.0,1.0,0.0
THRB,allograft_mt3,0.730428863172226,0.0,0.730428863172226
ZBTB20,allograft_mt3,0.4300395256916996,0.3636363636363636,0.06640316205533603
ZEB1,allograft_mt3,1.0,1.0,0.0
ASCL1,allograft_mt6,0.3085399449035813,0.2739516375880012,0.0345883073155801
BACH1,allograft_mt6,0.8707882534775889,0.7965947096381879,0.07419354383940102
BACH2,allograft_mt6,0.8932770575821526,0.3038890563762436,0.589388001205909
CREB1,allograft_mt6,1.0,1.0,0.0
CUX2,allograft_mt6,0.3576222435282838,0.3809523809523809,-0.023330137424097064
EGR1,allograft_mt6,0.4480664749121125,0.4480664749121125,0.0
EHF,allograft_mt6,0.6089840217063611,0.0,0.6089840217063611
EPCAM,allograft_mt6,0.33794587945879456,0.3379458794587945,5.551115123125783e-17
ESR1,allograft_mt6,1.0,1.0,0.0
ETS1,allograft_mt6,0.2071148628278565,0.2071148628278565,0.0
