gene,dataset,mean_shift_in_gemm_sds,std_ratio,dataset_mean,dataset_std
PBX1,organoid_celltag_WT,38.21990445533778,7.584363379016926,2.6298014042233504,0.5183458906286195
JUNB,human_RU1066,33.95720188579912,6.972683229757075,4.076747593819696,0.8378239618754724
PBX1,celltag_fate_dpt_RPM,32.137046319566544,4.339945153640867,2.214074419585837,0.29660930305200184
PBX1,tbo_allograft_5khvg_RPM_CTpreCre,31.69512202600092,6.750672676594897,2.1838715363520977,0.46136811569086866
PBX1,organoid_shGFP,31.442134164679896,6.450311530386134,2.166581328625833,0.4408402271837657
PBX1,organoid_shRORB1,31.276749443740027,7.576756155441193,2.1552782717721604,0.5178259823802247
PBX1,rpr2_allograft_RPR2,31.10343932425212,2.730853586426649,2.1434335613130795,0.1866375150680293
PBX1,tbo_allograft_5khvg,30.848151715948664,5.237494466586469,2.125986179630577,0.3579514322133023
PBX1,tbo_allograft_5khvg_RPM_CTpostCre,30.3706109804855,4.072249542069272,2.093349125541116,0.278313908532622
JUNB,human_RU1108,29.338005377828615,5.663860064343954,3.52171398746382,0.6805583334641526
JUNB,human_RU1231,29.08954189140408,3.9165688546343898,3.491859101515581,0.4706072435277098
PBX1,rpr2_allograft,28.90194834030245,4.2876026439902235,1.9929748151059354,0.2930320054692327
PBX1,rpr2_allograft_RPM,27.0711208023829,4.481997310075603,1.867848699266623,0.30631771862536317
PBX1,celltag_fate_dpt,26.237411069339167,8.848471715176384,1.8108696236996613,0.6047401373982895
JUNB,human_RU1229,26.12084704611485,5.04805077322295,3.135146542673844,0.6065638950182946
FOS,human_RU1231,24.853463573587067,2.8458106513294865,4.309058481586402,0.4930296542246152
JUNB,allograft_TKO-luc,24.106293756521318,8.818491393644035,2.8930817646134583,1.0596126560943753
PBX1,organoid_celltag,23.228237682193665,9.514119722800558,1.6052106143052494,0.6502331988609962
FOS,human_RU1108,22.939452450115734,3.806102287696272,3.9774607901003978,0.659397804267037
FOS,human_RU1229,22.898808660419576,4.060775940290435,3.9704193540965957,0.7035193844642159
ZEB1,celltag_fate_dpt_RPM,22.497478948967476,7.779154939209451,1.343237536015572,0.4613150573733905
PBX1,organoid_shRORB2,22.411609130570543,10.25742483847338,1.5493989353613122,0.7010336593529325
JUN,human_RU1066,22.364220482529664,3.8768818026944776,4.98270124525706,0.8650180271899727
PBX1,organoid_celltag_RPM,22.29179205751764,6.100841594520415,1.5412101547952404,0.4169560465212982
BACH2,celltag_fate_dpt_RPM,22.179839631722356,9.12501731225371,0.9842815367276905,0.407448583333098
FOS,human_RU1293,21.907441699782826,5.817119813646191,3.798667481011117,1.0078016149687545
NFYC,allograft_3L,21.77397867784461,4.488162290481102,1.9229403189722132,0.39579846233603444
FOS,human_RU1066,21.681292573744145,4.434188489757338,3.759487704464157,0.7682121847602549
BACH2,tbo_allograft_5khvg_RPM_CTpostCre,21.08635222691482,7.5321250037104095,0.9354553396109886,0.3363230509303699
BACH2,tbo_allograft_5khvg,20.84541241032573,7.413721941020681,0.9246969395358533,0.3310361393000275
PBX1,cgrp_k5_K5,20.528198887842557,4.344040655326066,1.420679106036304,0.2968892061054946
ZEB1,tbo_allograft_5khvg_RPM_CTpreCre,20.437723828441545,10.63879850603391,1.221091099927603,0.6308960268239275
BACH2,tbo_allograft_5khvg_RPM_CTpreCre,20.418079502354086,7.18139399547149,0.905615749659003,0.3206622748958922
ZEB1,tbo_allograft_5khvg,20.041168359947605,8.318857378596185,1.1975747912630266,0.49332018694541463
PBX1,cgrp_k5,19.92634532858235,4.536865757349257,1.3795460136971585,0.3100676489422776
ZEB1,cgrp_k5_CGRP,19.906887749429465,3.851067052957144,1.189611758256307,0.22837380568540772
ZEB1,tbo_allograft_5khvg_RPM_CTpostCre,19.817581549608466,6.655718778416664,1.184315772379156,0.3946936799845332
FOS,human_RU426,19.493732888691106,5.378175858315403,3.380498401499272,0.9317556607449128
PBX1,organoid_celltag_RPMA,19.089440022895587,5.320943509557848,1.3223485398461294,0.36365467536496576
ZEB1,rpr2_allograft_RPR2,18.72116807266981,3.889764647821732,1.1192968789426003,0.23066862862371826
ZEB1,cgrp_k5,18.61728166517412,6.32752559362777,1.1131362658157635,0.3752313528997059
JUN,human_RU1229,18.47072041208091,2.289170386019469,4.113975315190573,0.5107645143682291
PBX1,cgrp_k5_CGRP,18.344704472665967,4.651077452109939,1.2714503177046945,0.31787333541620333
ZEB1,cgrp_k5_K5,18.12655457694206,6.982616517682037,1.0840354448870761,0.41407918528978715
ZEB1,rpr2_allograft,18.05806777885969,6.245058500509726,1.0799740794259713,0.3703409358697768
JUNB,human_RU1293,18.004942387029654,5.962436276133171,2.159955332687489,0.7164346663535397
FOS,human_RU1152,17.934398105989725,4.355362341833253,3.110347508509777,0.7545557496644364
BACH2,rpr2_allograft_RPM,17.719839658989113,6.686666029458957,0.7851344438103406,0.2985717733670479
ZEB1,rpr2_allograft_RPM,17.506613202319908,7.62795252727465,1.0472720312467998,0.452348537245976
JUN,human_RU1293,17.28107585590662,4.16359519860828,3.8485393180642316,0.9289901235097324
JUNB,human_RU1152,17.27058650345375,4.478095803740382,2.071716567848955,0.5380792220613194
JUN,human_RU1231,16.758399539759257,2.505666871514264,3.731918678369081,0.5590696658552083
PBX1,celltag_fate_dpt_RPMA,16.68069877128385,5.186433094549526,1.1577254769777443,0.354461692726606
ZEB1,celltag_fate_dpt,16.464545040614595,10.23574871428745,0.9854758930337558,0.6069945954657875
JUN,human_RU426,16.130202616987248,3.5714061657229745,3.591754058842795,0.7968596601579836
BACH2,celltag_fate_dpt,16.08472194229118,10.856493565786897,0.7121234703016365,0.4847621403857097
BACH2,rpr2_allograft,15.87040232604231,5.9165916517628725,0.7025537104827888,0.2641865548500331
JUN,human_RU1080,15.82109040541797,4.046533083841044,3.5227842916329335,0.9028709780913027
JUND,human_RU1229,15.78056096603308,2.042892075353203,3.7759861442653477,0.48780893708681866
JUNB,human_RU426,15.498246949654432,5.579549339955319,1.8587557179403202,0.6704277219322219
JUNB,human_RU1145,15.490752416949736,4.388893312639947,1.8578551895675044,0.5273608254211308
JUNB,organoid_celltag_RPMA,15.447505964900039,2.853921396999228,1.8526587805812613,0.34292160606274674
FOS,allograft_TKO-luc,15.3245951454349,6.016480154165305,2.658205602780523,1.0423403007053904
JUNB,organoid_celltag,15.082875324329411,2.918434653081239,1.8088454768877393,0.35067339257349006
JUND,human_RU1080,14.916081017955499,2.9948750787697698,3.569562589300172,0.715126778603759
JUNB,human_RU1311,14.908036998065858,10.236119417130864,1.7878372459999998,1.2299520631729342
JUND,human_RU1293,14.863172787454946,2.6203485212650963,3.5569289763966827,0.625696013204391
JUND,human_RU1152,14.741418557832628,2.248111833241559,3.5278560742818614,0.5368120308735647
JUNB,organoid_celltag_WT,14.520300716713619,2.838568178847882,1.741247613759283,0.3410767934367833
ZEB1,human_RU1231,14.411086446072856,5.351665476281602,0.8637028499773372,0.3173614467800959
PBX1,human_RU1181,14.373022602428657,3.8586359375040824,1.0000096082553873,0.26371469583995627
FOS,human_RU1311,14.299022615116666,9.318259695037078,2.4805276993793104,1.6143654368828164
PBX1,human_RU1229,14.16388280283172,2.8045951347440137,0.9857161533837648,0.19167730900045718
JUND,human_RU426,14.088058959515598,2.8954029803423422,3.37184457713246,0.6913744819508437
FOS,human_RU1080,14.060251160677778,4.795254878705314,2.4391611356672387,0.8307660432933188
JUNB,organoid_celltag_RPM,14.040489828375248,2.9815748620200364,1.683594477058184,0.3582601964284232
JUN,human_RU1152,13.816466736416222,2.8407652593635033,3.0755084396291297,0.6338375234077468
JUND,human_RU1231,13.75200977693318,1.3787069578978703,3.2916015743120193,0.3292124844970494
BACH2,rpr2_allograft_RPR2,13.646533867908378,3.778876748434458,0.6032539478873753,0.1687337048306078
JUNB,allograft_mt6,13.554428701589954,2.9154275214926515,1.6251903239455094,0.35031206153084654
FOS,organoid_celltag_RPMA,13.41046614947002,4.882732215228562,2.326587490176653,0.8459212754091304
JUND,human_RU1066,13.363420818728267,2.6124067199367595,3.1988129395365674,0.6237996420199952
EPCAM,human_RU1181,13.26431370505629,1.9067814919644044,3.387694754977075,0.48486794262172206
JUNB,allograft_1L,13.160699900567497,7.069279038660512,1.57788064227672,0.8494307251041044
JUNB,human_RU1080,13.019302911597,4.477005491804135,1.5608906569879932,0.5379482123142815
NFYC,allograft_mt5,13.000134726277043,2.4293165856930465,1.1491995939160098,0.2142346258699269
PBX1,human_RU1152,12.924998767526453,3.9636901964235935,0.9010458367633177,0.2708945263257448
JUN,human_RU1311,12.885942408766136,6.814371483083971,2.867887893241379,1.5204369069854338
FOS,organoid_celltag,12.809352147937714,5.010234116490585,2.222445976690296,0.8680106643369666
ZEB1,human_RU1215,12.636394806737663,2.4390361253282027,0.7584610876242672,0.14463834425258223
FOS,human_RU779,12.532738666692572,5.216436493606393,2.174523375462963,0.9037347159853804
JUN,human_RU1181,12.457330146094257,2.7582899742589673,2.772255023127006,0.6154354642158797
JUNB,human_RU779,12.24764697545205,4.5467318230485985,1.46816999087963,0.546326391727476
FOS,organoid_celltag_WT,12.181014660225905,4.677843997693009,2.113588061579819,0.810424898656496
NR6A1,tbo_allograft_5khvg_RPM_CTpreCre,12.130221160203021,2.390109077904465,1.207018017867538,0.23644976240712792
NR6A1,celltag_fate_dpt_RPM,12.085094060455022,2.3001882200616968,1.2025536642896284,0.22755403222103576
JUN,human_RU779,11.956406202032918,3.5020726758988365,2.6604878184722223,0.7813898259875972
FOS,human_RU1144,11.897235695239715,6.922819688508497,2.0644240580232234,1.1993613825607714
PBX1,human_RU1144,11.779925288659845,5.694456533192658,0.8227869107893281,0.3891820573246721
NR6A1,tbo_allograft_5khvg,11.729888370916727,2.1089320487470165,1.1674137195593122,0.20863335756048762
EGR1,human_RU1066,11.729300645587873,3.7123221901534924,2.6680825151230994,0.8361556064929084
NFIB,rpr2_allograft_RPR2,11.700499027095342,0.7875408059222166,3.7849615676136095,0.25444940339634986
