gene,worst_abs_mean_shift,worst_std_ratio,n_datasets_shift_gt3sd,n_datasets_std_collapse
PBX1,38.21990445533778,0.11362432646275589,38,0
JUNB,33.95720188579912,0.14136137060301748,45,0
FOS,24.853463573587067,0.16863926087610737,42,0
ZEB1,22.497478948967476,0.03457734244571639,27,4
JUN,22.364220482529664,0.27192673581015764,43,0
BACH2,22.179839631722356,0.11412190419686816,18,0
NFYC,21.77397867784461,0.5233394475868338,39,0
JUND,15.78056096603308,0.06607722341791133,45,1
EPCAM,13.26431370505629,0.15010312924797206,38,0
NR6A1,12.130221160203021,0.04527667410362312,19,10
EGR1,11.729300645587873,0.2909981365638407,26,0
NFIB,11.700499027095342,0.21818426058822188,39,0
RBPJ,11.538963516888622,0.10663123255446098,32,0
NFIX,10.877121808164757,0.1295522713399201,26,0
TFDP1,10.63976401269394,0.32903497070820625,45,0
SIX1,10.490026345030685,0.11432432321422972,12,0
KMT2A,10.345184776072088,0.26936600512150466,31,0
FOXO3,9.878419824310988,0.27620784439094437,31,0
NFKB1,9.567612921599919,0.08909834678668863,16,2
PKNOX2,9.238792076322914,0.000237801816461629,4,16
TCF4,8.691658243591796,0.026736144723058616,30,1
NCAM1,8.09169903907654,0.0128619375910337,24,5
SOX11,7.91897332901049,0.0030825375706952686,28,6
STAT1,7.80481947590272,0.048306953066347295,5,5
CUX2,7.4537674747208005,0.0025634646898488084,5,18
BACH1,7.232026616104921,0.11428845574120688,27,0
HES1,7.206512931105011,0.012744032338567671,5,4
THRB,6.971052407468642,0.005032945630830555,4,25
ZBTB20,6.75856573903434,0.13084007885881122,19,0
EHF,6.750963909212846,0.025180357821966155,5,12
GRHL2,6.23391237192082,0.005248652878844625,6,15
ASCL1,6.0744559831415845,0.0004908665371983085,14,5
ETS1,5.802226206015034,0.07865055845146615,3,2
TEAD1,5.640684436038423,0.13971931478166671,17,0
NFIA,5.605826214688289,0.054031125384703955,9,10
PROX1,5.52762928295485,0.0026633745168112887,17,4
HSF2,5.467865580258365,0.16071984807332068,18,0
TCF7L1,5.448121628037372,0.017443481240737187,5,6
SMAD3,4.9307405692251205,0.006735146249938275,1,14
LMX1B,4.70142215015071,0.0005500826956599963,3,22
MEIS2,4.667385525437687,0.09101498639029833,9,1
RUNX1,3.857031543617103,0.006381930446774526,1,20
RORA_RORB,3.7364167623000277,0.07195073702589817,5,1
TCF7L2,3.499336203483343,0.0055510393844951655,1,11
CREB1,3.461973302280692,0.1306277962864732,4,0
NFATC2,3.1074821853297694,0.013147612648327686,1,14
ICAM1,3.0389728597430907,0.0056552943117879,1,15
SOX9,2.975234152612584,0.006424375022033397,0,20
REST,2.8449349963315753,0.0034743359282633666,0,16
TBX15,2.5416193582842777,0.025746077563112004,0,17
STAT2,2.468657297536546,0.05959460552136971,0,1
SIX4,1.6841523084387604,0.035957641989767225,0,8
ESR1,0.6455208116550378,0.007316935955613002,0,32
