name,n_cells,baseline_r2,r2_7777,baseline_r2_median,r2_7777_median,baseline_auc,auc_7777
organoid_celltag_RPM,1191,0.26611459865588005,0.2635383235226791,0.318628918020598,0.3175621178713982,0.767194501549931,0.7673327542253069
tbo_allograft_5khvg_RPM_CTpreCre,1599,0.20716812801946077,0.20270520331453484,0.2167560973671323,0.2140230281662353,0.7401253883688382,0.7394681157690575
organoid_celltag_WT,1767,0.3154401413376259,0.3140759307575638,0.3854053217299189,0.38631999746430923,0.7902233671809392,0.7904853288764492
tbo_allograft_5khvg_RPM_CTpostCre,2836,0.0856178276254684,0.0783880683901997,0.0762885384274207,0.07966298526535065,0.6905197177296631,0.6906671763314053
organoid_celltag_RPMA,6131,0.22908731118796802,0.2261238766814491,0.240420150106185,0.23998173674544265,0.7534277118742438,0.753619839406892
