gene,dataset,mean_shift_in_gemm_sds,std_ratio,dataset_mean,dataset_std
TEAD1,allograft_1L,0.297807938498292,0.27984968900800306,0.08683773534787481,0.0662397624955265
TCF7L1,allograft_1L,0.3385404888059958,0.2521788855530934,0.03527075860897944,0.02434567545752617
TFDP1,allograft_1L,2.472433173084795,1.6019779671429044,0.41435948810274253,0.2689734333637404
NFYC,allograft_1L,2.8300575488366833,1.3639142484145932,0.25232897112081554,0.12027977763318295
EGR1,allograft_1L,4.447384480888062,2.549116412649073,1.027919103855897,0.5741575948588352
HSF2,allograft_1L,0.5510197014459431,0.36148044241339006,0.0817259004943526,0.048161219395772475
CREB1,allograft_1L,0.5637987920757356,0.15331038577161094,0.15301023110997242,0.0384008758787193
TCF4,allograft_1L,0.8595995765640472,0.6603162040943192,0.3146192372154655,0.22671239868476192
NFKB1,allograft_1L,1.1090229514512875,1.2422852225250125,0.10885017605076841,0.11395775147158482
SIX1,allograft_1L,0.49015368623684863,0.3912032836907975,0.12979006773555316,0.09975498552716947
ZEB1,allograft_1L,0.2515547088979795,0.8089923561698497,0.024022287402119858,0.04797440828952749
SMAD3,allograft_1L,0.11254997298035159,0.13648252036506683,0.013206587431455244,0.01636265584067697
ESR1,allograft_1L,-0.03413873194988258,0.03783959455589851,0.0004906136590784813,0.006515197601771172
SOX11,allograft_1L,1.9935870012828873,1.4244201422658518,0.6654862768272984,0.4810135300269364
STAT1,allograft_1L,0.7299098484467819,0.9698387039216476,0.11076869425920434,0.1361329704118128
ASCL1,allograft_1L,2.02447999636572,1.5778077554224577,1.4565644624978136,1.1049821260020012
GRHL2,allograft_1L,0.31997830206835076,0.30130143249370217,0.06360105471231922,0.04649213900940663
THRB,allograft_1L,0.05672540066878505,0.06401219418726017,0.009442485437150124,0.0070007379060948805
NFIA,allograft_1L,0.0634315789150307,0.11798665780504007,0.023486611553726118,0.03657888018125675
FOXO3,allograft_1L,1.292773995178305,0.6586928847309204,0.1116804094115686,0.05404167574296283
STAT2,allograft_1L,0.329538545711235,0.4875881111494134,0.053766728544608205,0.056129347918825095
EHF,allograft_1L,0.9413117931779642,0.7592350506972235,0.21461762242814678,0.1582279066610793
LMX1B,allograft_1L,0.21965322795263753,0.24429230099160754,0.032186027920140636,0.025242050554672175
ZBTB20,allograft_1L,0.3080707390040682,0.403374276572844,0.16930351113891162,0.17547645645746052
TBX15,allograft_1L,0.2722981981362926,0.24283895035194833,0.03925324993794391,0.02821335551463092
MEIS2,allograft_1L,1.5744765714003075,1.1926891699536428,0.7602253701917753,0.5562874020404669
NFIX,allograft_1L,0.369798810733804,0.5798335837550217,0.057503578579719654,0.09410032247296538
REST,allograft_1L,0.3240821391901822,0.4457891961518871,0.06879963487103147,0.09493300316927275
NFATC2,allograft_1L,0.1634882956013123,0.07975674335355967,0.03710303020266649,0.010973879508286264
KMT2A,allograft_1L,1.2303782249853725,0.7552544591165705,0.26164681679494184,0.1486366613430638
RBPJ,allograft_1L,1.0056753990668816,0.5133175678914453,0.16617336150206713,0.07756203331701403
HES1,allograft_1L,0.45456364412896755,0.30998079015320534,0.11894207571035435,0.08335297624945147
JUNB,allograft_1L,13.160699900567497,7.069279038660512,1.57788064227672,0.8494307251041044
ICAM1,allograft_1L,0.4981071735800477,0.7719517413916251,0.10627128938370918,0.16674784508253124
RUNX1,allograft_1L,0.18162283978787414,0.2768454146645469,0.08773921433459009,0.11946629710435172
SIX4,allograft_1L,0.29420202800318157,0.2525643457208863,0.09965198806807493,0.07450120593169682
NFIB,allograft_1L,1.4225168834638902,1.0290536138590254,0.46421119518953047,0.33248064879973754
JUN,allograft_1L,7.222224409488658,2.1509870776774287,1.6041872132540942,0.47993276378724925
NCAM1,allograft_1L,2.1300283732816347,1.6219339657597358,0.5889283233172273,0.43574275527026074
PROX1,allograft_1L,1.194621568384913,0.9535925567093729,0.4300742467699923,0.33012220714733315
TCF7L2,allograft_1L,0.20686888140844822,0.39914426836157035,0.0462827382850495,0.09026623234754048
PKNOX2,allograft_1L,0.35864655225012915,0.24310708796161376,0.01757400928498735,0.014637820137340643
ETS1,allograft_1L,0.6266542899406659,1.1274790919471276,0.08342936361236854,0.14660178894012033
BACH2,allograft_1L,0.3785275249620274,0.2925175561623718,0.010813385519515044,0.013061439751831178
JUND,allograft_1L,6.611667356394055,1.4505368544648671,1.5866055597786022,0.3463642792091341
NR6A1,allograft_1L,0.22307898029926604,0.20696118094754837,0.02906301764864409,0.020474346763056997
PBX1,allograft_1L,0.6976405377733826,0.6422069958367003,0.06537900819713979,0.0438910084590452
EPCAM,allograft_1L,6.843777758844205,5.068127454307988,1.7550420006431344,1.288754134687633
BACH1,allograft_1L,1.655974990976063,1.5581997594864754,0.10361458048545952,0.1016888046178192
SOX9,allograft_1L,-0.0026158540159132286,0.0476692113161466,0.0021389132444357708,0.0135303223479182
CUX2,allograft_1L,0.3949122299210572,0.429899422571172,0.0597041435305935,0.05356387125509152
FOS,allograft_1L,7.177870413049909,4.8831921719224995,1.2468056995598167,0.846000961768328
RORA_RORB,allograft_1L,0.6405858764226529,0.5263760392884073,0.1534164367456779,0.11110768373156123
TEAD1,allograft_2L,0.7800771649083267,0.2742892814949182,0.20098972575937185,0.06492362712889206
TCF7L1,allograft_2L,0.7900037111904082,0.25697278578897204,0.07885560144414933,0.0248084847806084
TFDP1,allograft_2L,4.208380863544495,1.1822840652042186,0.7058265494603656,0.1985064780861943
NFYC,allograft_2L,11.025787503918485,2.498546573724956,0.9750874419592291,0.22033982462102522
EGR1,allograft_2L,4.328485616840951,1.6460920415692513,1.0011385749345862,0.37076229348093787
HSF2,allograft_2L,1.1558351072178839,0.4097543791863453,0.16230743142546172,0.054592913582317555
CREB1,allograft_2L,0.640591601581909,0.18526964676737767,0.1722451389825398,0.0464059670439213
TCF4,allograft_2L,5.135304884915179,1.0030519080513103,1.7826362274315537,0.3443869810699928
NFKB1,allograft_2L,0.1145977221490656,0.35324688807972826,0.01762920595216072,0.03240416963028787
SIX1,allograft_2L,0.6710794176758887,0.19566581618219003,0.17592527281593565,0.04989385691568855
ZEB1,allograft_2L,2.2581958629701533,0.766245279630862,0.14301898901720353,0.045439445273592
SMAD3,allograft_2L,0.033714189834421475,0.04751577920285509,0.0037551002805975954,0.00569658546763556
ESR1,allograft_2L,0.03265892517152837,0.038339277676901706,0.011991792268126498,0.006601232727406473
SOX11,allograft_2L,4.426491559442302,0.8441000744299814,1.4870556825205716,0.2850448013545328
STAT1,allograft_2L,0.3323101394159041,0.28243608416426697,0.054958971254358495,0.03964459547065949
ASCL1,allograft_2L,1.4719983189396098,0.422262426579941,1.0696463627474426,0.29572198022828017
GRHL2,allograft_2L,-0.08046404860312648,0.030754904850250262,0.0018110350679186914,0.004745617369571572
THRB,allograft_2L,0.011032001315302738,0.02053945078959511,0.0044451952024729385,0.002246311246454766
NFIA,allograft_2L,0.0097377813236693,0.07814763006632607,0.006840161649055949,0.02422776312020603
FOXO3,allograft_2L,0.7537533004847923,0.2827251301924859,0.06745709642820007,0.023195847661981052
STAT2,allograft_2L,0.16246938835098082,0.16810882883746114,0.03453434234496794,0.01935206935173326
EHF,allograft_2L,-0.08795419799184878,0.08355811419170403,0.00011408622985939988,0.017413876612992756
