gene,sample,transferability_baseline,transferability_adaptive,n_regulators_dropped
ASCL1,allograft_mt3,0.08764367816091954,0.0,3
BACH1,allograft_mt3,0.40555555555555556,0.4363885088919289,2
BACH2,allograft_mt3,0.47311095983662355,0.6691626957113683,1
CUX2,allograft_mt3,0.6731517509727627,0.7385976855003403,4
EGR1,allograft_mt3,0.4840466926070039,0.5731790333560245,4
EHF,allograft_mt3,0.5690946221919673,1.0,2
EPCAM,allograft_mt3,0.26953405017921145,0.4084411164057182,3
ETS1,allograft_mt3,0.33310580204778156,0.5745405037440435,1
FOS,allograft_mt3,0.16482582837723025,0.22640218878248974,4
FOXO3,allograft_mt3,0.6781292984869326,0.049693669162695714,1
GRHL2,allograft_mt3,0.087465564738292,0.0,3
HES1,allograft_mt3,0.38748241912798875,0.36078965282505104,3
HSF2,allograft_mt3,0.38860482103725347,0.5923076923076923,1
ICAM1,allograft_mt3,0.43580599144079885,0.4403292181069959,2
JUN,allograft_mt3,0.5408532176428055,0.264280798348245,2
JUNB,allograft_mt3,0.4247787610619469,0.4247787610619469,0
KMT2A,allograft_mt3,0.4514637904468413,0.44452008168822327,4
LMX1B,allograft_mt3,0.11485557083906466,0.34785568413886997,1
MEIS2,allograft_mt3,0.27978216473791695,0.23008849557522124,2
NCAM1,allograft_mt3,0.308095952023988,0.6671204901293397,4
NFATC2,allograft_mt3,0.134785568413887,0.1817562968005446,1
NFIA,allograft_mt3,0.20604182804027885,0.291268758526603,3
NFIB,allograft_mt3,0.4604377104377104,0.506357516828721,1
NFIX,allograft_mt3,0.21721027064538515,0.19877467665078286,2
NFKB1,allograft_mt3,0.3290190735694823,0.31722260040844114,2
PBX1,allograft_mt3,0.12397820163487738,0.0,2
PKNOX2,allograft_mt3,0.22398345968297725,0.34717494894486045,2
PROX1,allograft_mt3,0.7134104833219878,0.5228046289993192,1
REST,allograft_mt3,0.24098025867937373,0.46834581347855686,2
RORA_RORB,allograft_mt3,0.1597269624573379,0.0,2
RUNX1,allograft_mt3,0.3269230769230769,0.7227520435967303,3
SIX1,allograft_mt3,0.5430974071478627,0.4717494894486045,2
SIX4,allograft_mt3,0.4422560429722471,0.6485929993136582,4
SMAD3,allograft_mt3,0.10284920083391244,0.03063308373042886,2
SOX11,allograft_mt3,0.226775956284153,0.4091218515997277,2
STAT2,allograft_mt3,0.43405443126308446,0.6637168141592921,3
TBX15,allograft_mt3,0.16678966789667896,1.0,4
TCF7L1,allograft_mt3,0.49789915966386555,1.0,4
TCF7L2,allograft_mt3,0.17461430575035064,0.07760381211708646,2
TEAD1,allograft_mt3,0.40486409155937053,0.6385296119809394,2
THRB,allograft_mt3,0.0,0.0,0
ZBTB20,allograft_mt3,0.36363636363636365,0.7072838665759019,4
ASCL1,allograft_mt6,0.27395163758800123,0.173952366596322,3
BACH1,allograft_mt6,0.7965947096381879,0.7627682079178,1
BACH2,allograft_mt6,0.3038890563762436,0.3038890563762436,0
CUX2,allograft_mt6,0.38095238095238093,0.32676568657168836,2
EGR1,allograft_mt6,0.4480664749121125,0.31464080024249774,2
EHF,allograft_mt6,0.0,0.0,0
EPCAM,allograft_mt6,0.33794587945879456,0.5079891468194151,3
ETS1,allograft_mt6,0.2071148628278565,0.4522158577027434,1
FOS,allograft_mt6,0.3303243062520896,0.39340792258844876,3
FOXO3,allograft_mt6,0.7974607013301088,1.0,2
GRHL2,allograft_mt6,0.32559541754597526,0.32559541754597526,0
HES1,allograft_mt6,0.5158658204895739,0.4552306300874284,1
HSF2,allograft_mt6,0.5593323216995447,0.7274645764244799,3
ICAM1,allograft_mt6,0.48095385568287397,0.44641221374045803,1
JUN,allograft_mt6,0.36615384615384616,0.3653904130238167,3
JUNB,allograft_mt6,0.23304190533614713,0.15797407295749172,1
KMT2A,allograft_mt6,0.2444933920704846,0.25844390832328107,3
LMX1B,allograft_mt6,0.18212020537601933,0.5598432318359964,2
MEIS2,allograft_mt6,0.36237564063913175,0.2927343985529093,1
NCAM1,allograft_mt6,0.40582959641255606,0.2279167922821827,3
NFATC2,allograft_mt6,0.10159782936388302,0.25113053964425686,1
NFIA,allograft_mt6,0.7280534351145038,0.7280534351145038,0
NFIB,allograft_mt6,0.4268292682926829,0.43426930440331846,1
NFIX,allograft_mt6,0.19661733615221988,0.19661733615221988,0
NFKB1,allograft_mt6,0.2484172444980404,0.2484172444980404,0
PBX1,allograft_mt6,0.38227313837805244,0.38227313837805244,0
PKNOX2,allograft_mt6,0.344889960807959,0.344889960807959,0
PROX1,allograft_mt6,0.0,0.0,0
REST,allograft_mt6,0.241483268013265,0.0,1
RORA_RORB,allograft_mt6,0.44933655006031364,0.44933655006031364,0
RUNX1,allograft_mt6,0.3323809523809524,0.4252039891205802,2
SIX1,allograft_mt6,0.17652411282984531,0.17652411282984531,0
SIX4,allograft_mt6,0.5363457760314342,0.1897810218978102,1
SMAD3,allograft_mt6,0.6737224070154219,0.6737224070154219,0
SOX11,allograft_mt6,0.35363280072354536,0.6388302683147422,2
STAT2,allograft_mt6,0.7104784978800727,0.7104784978800727,0
TBX15,allograft_mt6,0.548268464603126,0.4501364049712034,1
TCF7L1,allograft_mt6,0.3180559827745309,0.3180559827745309,0
TCF7L2,allograft_mt6,0.3659872223912382,0.13325293940307506,2
TEAD1,allograft_mt6,0.4233015677835844,0.5392305362011511,1
THRB,allograft_mt6,1.0,1.0,0
ZBTB20,allograft_mt6,0.3491963441537977,0.33252939403075066,3
ASCL1,allograft_3L,0.07287933094384708,0.0,2
BACH1,allograft_3L,0.037564029595902104,0.13659078289838977,2
BACH2,allograft_3L,0.21876735147140478,1.0,2
CUX2,allograft_3L,0.5691937424789411,0.7512493059411438,4
EGR1,allograft_3L,0.5932611311672683,0.5235980011104941,4
EHF,allograft_3L,0.24430871737923376,1.0,2
EPCAM,allograft_3L,0.5151162790697674,0.575235980011105,3
ETS1,allograft_3L,0.441976679622432,0.5002776235424764,2
FOS,allograft_3L,0.18386876281613124,0.1020066889632107,4
FOXO3,allograft_3L,0.43808995002776235,0.10049972237645752,2
GRHL2,allograft_3L,0.359800111049417,1.0,3
HES1,allograft_3L,0.22874720357941836,1.0,4
HSF2,allograft_3L,0.3888559573206876,0.437813720022309,2
ICAM1,allograft_3L,0.4395539906103286,0.111358574610245,2
JUN,allograft_3L,0.234375,0.2848417545807885,3
JUNB,allograft_3L,0.24375347029428096,0.24375347029428096,0
KMT2A,allograft_3L,0.2515262515262515,0.29271007234279356,3
LMX1B,allograft_3L,0.15824541921154914,0.0,2
MEIS2,allograft_3L,0.1532481954469739,0.16379789006107717,2
NCAM1,allograft_3L,0.3192771084337349,0.2065519156024431,5
NFATC2,allograft_3L,0.27040533037201553,0.0,2
NFIA,allograft_3L,0.31123388581952116,0.17827298050139276,3
NFIB,allograft_3L,0.4191461836998706,0.42939481268011526,2
NFIX,allograft_3L,0.04018109790605546,0.5174902831760133,2
NFKB1,allograft_3L,0.188268156424581,1.0,3
PBX1,allograft_3L,0.43966480446927375,0.45363686840644085,3
PKNOX2,allograft_3L,0.5019673974142776,0.5019673974142776,0
PROX1,allograft_3L,0.8200999444752916,0.5036091060521932,1
REST,allograft_3L,0.21932259855635758,0.4852859522487507,2
RORA_RORB,allograft_3L,0.2931726907630522,0.5302609661299278,3
RUNX1,allograft_3L,0.44408322496749025,0.6191004997223765,3
SIX1,allograft_3L,0.48867497168742924,0.38127090301003347,1
SIX4,allograft_3L,0.2793548387096774,0.30191873589164786,3
SMAD3,allograft_3L,0.12372304199772985,0.06496390893947807,2
SOX11,allograft_3L,0.20947075208913649,0.49250416435313715,2
STAT2,allograft_3L,0.4546998867497169,0.5707940033314826,3
TBX15,allograft_3L,0.40174927113702624,1.0,5
TCF7L1,allograft_3L,0.42650462962962965,1.0,4
TCF7L2,allograft_3L,0.2261904761904762,0.3931149361465852,2
TEAD1,allograft_3L,0.42780748663101603,0.7329261521377013,2
THRB,allograft_3L,0.5119378123264853,0.5119378123264853,0
ZBTB20,allograft_3L,0.44582814445828145,0.8767351471404775,5
ASCL1,allograft_2LR,0.2135523613963039,0.34558823529411764,3
BACH1,allograft_2LR,0.8600337268128162,0.5016711229946524,3
BACH2,allograft_2LR,0.4161096256684492,0.32620320855614976,1
CUX2,allograft_2LR,0.5615164520743919,0.7760695187165776,4
EGR1,allograft_2LR,0.45243204577968527,0.8800133689839572,4
EHF,allograft_2LR,0.0,1.0,2
EPCAM,allograft_2LR,0.36,0.15508021390374332,4
ETS1,allograft_2LR,0.5134408602150538,0.29211229946524064,2
FOS,allograft_2LR,0.2364620938628159,0.23659517426273458,4
FOXO3,allograft_2LR,0.4090909090909091,1.0,2
GRHL2,allograft_2LR,0.789261744966443,1.0,4
HES1,allograft_2LR,0.43457786747393207,0.41711229946524064,3
HSF2,allograft_2LR,0.09833795013850416,0.4983288770053476,5
ICAM1,allograft_2LR,0.5410176531671859,0.5157085561497327,3
JUN,allograft_2LR,0.42667574004763525,1.0,5
JUNB,allograft_2LR,0.21156417112299467,0.050467914438502674,1
KMT2A,allograft_2LR,0.17155835080363382,0.0,5
LMX1B,allograft_2LR,0.2302807486631016,0.5635026737967914,2
MEIS2,allograft_2LR,0.18148395721925134,0.2540106951871658,2
NCAM1,allograft_2LR,0.33869839048285516,0.0,5
NFATC2,allograft_2LR,0.5481283422459893,0.5635026737967914,1
NFIA,allograft_2LR,0.34767025089605735,0.47794117647058826,3
NFIB,allograft_2LR,0.7083024462564863,0.5774313791934937,3
NFIX,allograft_2LR,0.23926174496644295,0.19050802139037434,2
NFKB1,allograft_2LR,0.2801608579088472,0.0,2
PBX1,allograft_2LR,0.407171581769437,0.4662433155080214,2
PKNOX2,allograft_2LR,0.2682108089963075,0.2682108089963075,0
PROX1,allograft_2LR,0.8993983957219251,0.5043449197860963,1
REST,allograft_2LR,0.25434491978609625,0.25434491978609625,1
RORA_RORB,allograft_2LR,0.4675848169297951,0.2570187165775401,3
RUNX1,allograft_2LR,0.30628366247755834,0.3860294117647059,3
SIX1,allograft_2LR,0.5152941176470588,0.5431149732620321,2
SIX4,allograft_2LR,0.5817394442439553,0.2026936026936027,3
SMAD3,allograft_2LR,0.3227211796246649,0.24866310160427807,1
SOX11,allograft_2LR,0.46604215456674475,0.5571524064171123,2
STAT2,allograft_2LR,0.34893184130213634,0.4588903743315508,3
TBX15,allograft_2LR,0.5772946859903382,0.0892379679144385,4
TCF7L1,allograft_2LR,0.3422040259297168,0.5213903743315508,3
TCF7L2,allograft_2LR,0.14439946018893388,0.13870320855614973,3
TEAD1,allograft_2LR,0.851608439986164,0.14538770053475936,4
THRB,allograft_2LR,0.42312834224598933,0.42312834224598933,0
ZBTB20,allograft_2LR,0.6779780841286673,0.7650401069518716,5
ASCL1,allograft_mt5,0.0735775016350556,0.15302835051546393,3
BACH1,allograft_mt5,0.6081871345029239,0.834729381443299,2
BACH2,allograft_mt5,0.2345360824742268,0.0,2
CUX2,allograft_mt5,0.6630061770761839,0.4426546391752577,4
EGR1,allograft_mt5,0.6839396019217571,0.8505154639175257,4
EHF,allograft_mt5,0.6433634020618557,1.0,2
EPCAM,allograft_mt5,0.1776532630191167,0.6282216494845361,3
ETS1,allograft_mt5,0.3489046391752577,0.8714561855670103,2
FOS,allograft_mt5,0.3179190751445087,0.2106958762886598,5
FOXO3,allograft_mt5,0.32055412371134023,0.0,2
GRHL2,allograft_mt5,0.44007731958762886,0.7799613402061856,2
HES1,allograft_mt5,0.21701164294954722,0.46713917525773196,4
HSF2,allograft_mt5,0.700367033700367,0.4052835051546392,4
ICAM1,allograft_mt5,0.4503022162525185,0.1659134925758554,2
JUN,allograft_mt5,0.5021459227467812,0.6066365979381443,4
JUNB,allograft_mt5,0.26836340206185566,0.15141752577319587,1
KMT2A,allograft_mt5,0.1855111712931618,0.0,4
LMX1B,allograft_mt5,0.2615979381443299,1.0,3
MEIS2,allograft_mt5,0.2657860824742268,0.4848582474226804,3
NCAM1,allograft_mt5,0.4233425414364641,0.5612113402061856,5
NFATC2,allograft_mt5,0.38240979381443296,0.0,2
NFIA,allograft_mt5,0.5612386917188588,0.05315721649484536,3
NFIB,allograft_mt5,0.4522058823529412,0.8522875816993464,3
NFIX,allograft_mt5,0.10543442889684347,0.09536082474226804,2
NFKB1,allograft_mt5,0.25579896907216493,1.0,3
PBX1,allograft_mt5,0.7799613402061856,1.0,3
PKNOX2,allograft_mt5,0.23432449903038138,0.24001288659793815,1
PROX1,allograft_mt5,0.8524484536082474,0.0,1
REST,allograft_mt5,0.15399484536082475,1.0,2
RORA_RORB,allograft_mt5,0.4582113821138211,0.7380798969072165,2
RUNX1,allograft_mt5,0.5996615905245347,0.49871134020618557,4
SIX1,allograft_mt5,0.15888456549935148,0.3075928917609047,1
SIX4,allograft_mt5,0.5378368401624215,0.4215846103684382,3
SMAD3,allograft_mt5,0.14267100977198696,0.3746778350515464,2
SOX11,allograft_mt5,0.2641265741039716,0.046713917525773196,2
STAT2,allograft_mt5,0.7987666342096722,0.9471649484536082,2
TBX15,allograft_mt5,0.5480800787659993,0.6501288659793815,4
TCF7L1,allograft_mt5,0.5872911889944317,0.5798969072164949,3
TCF7L2,allograft_mt5,0.39453125,0.47744845360824745,2
TEAD1,allograft_mt5,0.7726072607260726,0.37306701030927836,3
THRB,allograft_mt5,0.4900128865979381,0.4900128865979381,0
ZBTB20,allograft_mt5,0.5176271186440679,0.9800257731958762,4
ASCL1,allograft_2L,0.2,0.4804705882352941,2
BACH1,allograft_2L,0.5037986704653371,0.4814117647058824,4
BACH2,allograft_2L,0.3764705882352941,0.4136470588235294,1
CUX2,allograft_2L,0.5099439061703213,0.7943529411764706,5
EGR1,allograft_2L,0.4467108618052014,0.7943529411764706,5
EHF,allograft_2L,0.33741176470588236,1.0,2
EPCAM,allograft_2L,0.28773125608568645,0.33976470588235297,3
ETS1,allograft_2L,0.38203309692671394,0.272,2
FOS,allograft_2L,0.07609921082299888,0.05656759348034516,3
FOXO3,allograft_2L,0.42023529411764704,1.0,2
GRHL2,allograft_2L,0.793022159358793,1.0,4
HES1,allograft_2L,0.34272076372315036,0.27247058823529413,3
HSF2,allograft_2L,0.4337231968810916,1.0,4
ICAM1,allograft_2L,0.2993062438057483,0.10588235294117647,3
JUN,allograft_2L,0.6570871894788115,1.0,6
JUNB,allograft_2L,0.2842352941176471,0.0,1
KMT2A,allograft_2L,0.10900945744151319,0.11811764705882354,4
LMX1B,allograft_2L,0.3668555240793201,0.7284705882352941,2
MEIS2,allograft_2L,0.26494117647058824,0.2983529411764706,2
NCAM1,allograft_2L,0.4324596774193548,0.1312941176470588,5
NFATC2,allograft_2L,0.5581176470588235,0.5581176470588235,0
NFIA,allograft_2L,0.5648854961832062,0.05364705882352941,4
NFIB,allograft_2L,0.6562841530054645,0.34110787172011664,2
NFIX,allograft_2L,0.2119047619047619,0.1816470588235294,2
NFKB1,allograft_2L,0.3647502356267672,0.0,3
PBX1,allograft_2L,0.5711592836946278,1.0,3
PKNOX2,allograft_2L,0.4301330798479088,0.4301330798479088,0
PROX1,allograft_2L,0.9204705882352942,0.5035294117647059,1
REST,allograft_2L,0.1251764705882353,0.1943529411764706,1
RORA_RORB,allograft_2L,0.5345402572653645,0.10023529411764706,2
RUNX1,allograft_2L,0.3047962867457452,0.35341176470588237,3
SIX1,allograft_2L,0.49282982791587,0.6790588235294117,3
SIX4,allograft_2L,0.5431309904153354,0.17672833495618306,2
SMAD3,allograft_2L,0.15664931377188832,0.288,2
SOX11,allograft_2L,0.7183231276495525,0.48423529411764704,1
STAT2,allograft_2L,0.505938242280285,0.0,3
TBX15,allograft_2L,0.6633216256899147,0.15294117647058825,4
TCF7L1,allograft_2L,0.4408759124087591,0.7016470588235294,4
TCF7L2,allograft_2L,0.14820143884892087,0.19247058823529412,3
TEAD1,allograft_2L,0.8834622823984526,0.5134117647058823,5
THRB,allograft_2L,0.45647058823529413,0.45647058823529413,0
ZBTB20,allograft_2L,0.4163754368447329,0.8851764705882353,4
ASCL1,allograft_mt4Rf,0.3407258064516129,0.5630293971101146,1
BACH1,allograft_mt4Rf,0.6225758329189458,0.4431197218082464,4
BACH2,allograft_mt4Rf,0.10581222056631892,0.45181321410829606,1
CUX2,allograft_mt4Rf,0.5506721820062047,1.0,5
EGR1,allograft_mt4Rf,0.5876421923474664,0.4960258320914059,5
EHF,allograft_mt4Rf,0.13760556383507203,1.0,2
EPCAM,allograft_mt4Rf,0.49061796347260445,0.11574764033780427,2
